"Process","PID","CommandLine","Hostname","Investigated"
"System","4","","DESKTOP-NBVE6KH","false"
"Registry","120","","DESKTOP-NBVE6KH","false"
"smss.exe","420","\SystemRoot\System32\smss.exe","DESKTOP-NBVE6KH","false"
"csrss.exe","580","%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16","DESKTOP-NBVE6KH","false"
"wininit.exe","680","wininit.exe","DESKTOP-NBVE6KH","false"
"csrss.exe","692","%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16","DESKTOP-NBVE6KH","false"
"services.exe","756","C:\WINDOWS\system32\services.exe","DESKTOP-NBVE6KH","false"
"lsass.exe","768","C:\WINDOWS\system32\lsass.exe","DESKTOP-NBVE6KH","false"
"svchost.exe","896","c:\windows\system32\svchost.exe -k dcomlaunch -p -s PlugPlay","DESKTOP-NBVE6KH","false"
"svchost.exe","920","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","DESKTOP-NBVE6KH","false"
"fontdrvhost.ex","928","""fontdrvhost.exe""","DESKTOP-NBVE6KH","false"
"svchost.exe","1012","c:\windows\system32\svchost.exe -k rpcss -p","DESKTOP-NBVE6KH","false"
"svchost.exe","392","c:\windows\system32\svchost.exe -k dcomlaunch -p -s LSM","DESKTOP-NBVE6KH","false"
"winlogon.exe","540","winlogon.exe","DESKTOP-NBVE6KH","false"
"fontdrvhost.ex","1004","""fontdrvhost.exe""","DESKTOP-NBVE6KH","false"
"LogonUI.exe","1064","","DESKTOP-NBVE6KH","false"
"dwm.exe","1072","""dwm.exe""","DESKTOP-NBVE6KH","false"
"svchost.exe","1116","c:\windows\system32\svchost.exe -k networkservice -s TermService","DESKTOP-NBVE6KH","false"
"svchost.exe","1224","c:\windows\system32\svchost.exe -k localservice -p -s bthserv","DESKTOP-NBVE6KH","false"
"svchost.exe","1228","c:\windows\system32\svchost.exe -k localservice -p -s BthAvctpSvc","DESKTOP-NBVE6KH","false"
"svchost.exe","1240","c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s lmhosts","DESKTOP-NBVE6KH","false"
"svchost.exe","1248","c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s NcbService","DESKTOP-NBVE6KH","false"
"svchost.exe","1388","c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s EventLog","DESKTOP-NBVE6KH","false"
"svchost.exe","1412","C:\WINDOWS\system32\svchost.exe -k LocalService -p","DESKTOP-NBVE6KH","false"
"svchost.exe","1452","c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s hidserv","DESKTOP-NBVE6KH","false"
"svchost.exe","1628","c:\windows\system32\svchost.exe -k localservice -p -s nsi","DESKTOP-NBVE6KH","false"
"svchost.exe","1652","c:\windows\system32\svchost.exe -k netsvcs -s CertPropSvc","DESKTOP-NBVE6KH","false"
"svchost.exe","1680","c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s Dhcp","DESKTOP-NBVE6KH","false"
"svchost.exe","1716","c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s TimeBrokerSvc","DESKTOP-NBVE6KH","false"
"NVDisplay.Cont","1800","""C:\Program Files\NVIDIA Corporation\Display.NvContainer\NVDisplay.Container.exe"" -s NVDisplay.ContainerLocalSystem -f ""C:\ProgramData\NVIDIA\NVDisplay.ContainerLocalSystem.log"" -l 3 -d ""C:\Program Files\NVIDIA Corporation\Display.NvContainer\plugins\LocalSystem"" -r -p 30000","DESKTOP-NBVE6KH","false"
"svchost.exe","1860","c:\windows\system32\svchost.exe -k networkservice -p -s NlaSvc","DESKTOP-NBVE6KH","false"
"svchost.exe","1868","c:\windows\system32\svchost.exe -k networkservice -p -s LanmanWorkstation","DESKTOP-NBVE6KH","false"
"svchost.exe","1936","c:\windows\system32\svchost.exe -k netsvcs -p -s Schedule","DESKTOP-NBVE6KH","false"
"svchost.exe","1952","c:\windows\system32\svchost.exe -k localservicenetworkrestricted -s BTAGService","DESKTOP-NBVE6KH","false"
"svchost.exe","1996","c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s DeviceAssociationService","DESKTOP-NBVE6KH","false"
"svchost.exe","2004","c:\windows\system32\svchost.exe -k netsvcs -p -s lfsvc","DESKTOP-NBVE6KH","false"
"svchost.exe","1384","c:\windows\system32\svchost.exe -k netsvcs -p -s Themes","DESKTOP-NBVE6KH","false"
"svchost.exe","1552","c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s SysMain","DESKTOP-NBVE6KH","false"
"svchost.exe","1532","c:\windows\system32\svchost.exe -k netsvcs -p -s SessionEnv","DESKTOP-NBVE6KH","false"
"svchost.exe","1564","c:\windows\system32\svchost.exe -k netsvcs -p -s ProfSvc","DESKTOP-NBVE6KH","false"
"svchost.exe","1660","c:\windows\system32\svchost.exe -k localservice -p -s EventSystem","DESKTOP-NBVE6KH","false"
"svchost.exe","2196","c:\windows\system32\svchost.exe -k localservice -p -s netprofm","DESKTOP-NBVE6KH","false"
