"Pid","Base","Size","LoadCount","LoadTime","Path","Hostname","Investigated"
"4","0","0","0","","Error reading PEB for pid","DESKTOP-NBVE6KH","false"
"120","0","0","0","","Error reading PEB for pid","DESKTOP-NBVE6KH","false"
"420","1.407E+14","151552","65535","2019-02-13 23:33:01 UTC+0000","\SystemRoot\System32\smss.exe","DESKTOP-NBVE6KH","false"
"420","1.40734E+14","1970176","65535","2019-02-13 23:33:01 UTC+0000","C:\WINDOWS\SYSTEM32\ntdll.dll","DESKTOP-NBVE6KH","false"
"580","1.407E+14","28672","65535","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\system32\csrss.exe","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","1970176","65535","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\SYSTEM32\ntdll.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","94208","6","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\SYSTEM32\CSRSRV.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","81920","6","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\system32\basesrv.DLL","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","90112","6","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\system32\winsrv.DLL","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","2568192","65535","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\System32\kernelbase.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","729088","65535","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\System32\kernel32.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","126976","6","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\SYSTEM32\winsrvext.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","1638400","6","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\System32\USER32.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","131072","6","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\System32\win32u.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","163840","6","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\System32\GDI32.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","1646592","6","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\System32\gdi32full.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","651264","6","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\System32\msvcp_win.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","1024000","6","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\System32\ucrtbase.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","3284992","6","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\System32\combase.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","1196032","6","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\System32\RPCRT4.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","499712","65535","2019-02-13 23:33:03 UTC+0000","C:\WINDOWS\System32\bcryptPrimitives.dll","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","53248","6","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\system32\sxssrv.DLL","DESKTOP-NBVE6KH","false"
"580","1.40734E+14","630784","6","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\system32\sxs.dll","DESKTOP-NBVE6KH","false"
"680","1.40698E+14","372736","65535","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\system32\wininit.exe","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","1970176","65535","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\SYSTEM32\ntdll.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","729088","65535","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\System32\KERNEL32.DLL","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","2568192","65535","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\System32\KERNELBASE.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","1024000","6","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\System32\ucrtbase.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","1196032","6","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\System32\RPCRT4.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","372736","6","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\System32\sechost.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","126976","6","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\System32\profapi.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","57344","6","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\SYSTEM32\wininitext.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","647168","6","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\System32\msvcrt.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","659456","6","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\System32\ADVAPI32.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","1638400","65535","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\System32\USER32.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","131072","65535","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\System32\win32u.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","163840","6","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\System32\GDI32.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","1646592","6","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\System32\gdi32full.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","196608","6","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\system32\SspiCli.dll","DESKTOP-NBVE6KH","false"
"680","1.40734E+14","163840","6","2019-02-13 23:33:04 UTC+0000","C:\WINDOWS\system32\USERENV.dll","DESKTOP-NBVE6KH","false"
