"Pid","Process","Base","InLoad","InInit","InMem","MappedPath","Hostname","Investigated"
"4","System","1998585856","False","False","False","\Windows\SysWOW64\ntdll.dll","DESKTOP-NBVE6KH","false"
"4","System","1.40734E+14","False","False","False","\Windows\System32\ntdll.dll","DESKTOP-NBVE6KH","false"
"4","System","1.40734E+14","False","False","False","\Windows\System32\vertdll.dll","DESKTOP-NBVE6KH","false"
"420","smss.exe","1.40734E+14","True","True","True","\Windows\System32\ntdll.dll","DESKTOP-NBVE6KH","false"
"420","smss.exe","1.407E+14","True","False","True","\Windows\System32\smss.exe","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\combase.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\rpcrt4.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\winsrvext.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\sxs.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\bcryptprimitives.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\KernelBase.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\ntdll.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\gdi32.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\win32u.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\msvcp_win.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\gdi32full.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\basesrv.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.407E+14","True","False","True","\Windows\System32\csrss.exe","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\ucrtbase.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\csrsrv.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\sxssrv.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\user32.dll","DESKTOP-NBVE6KH","false"
"580","csrss.exe","1.40734E+14","True","True","True","\Windows\System32\winsrv.dll","DESKTOP-NBVE6KH","false"
"680","wininit.exe","1.40734E+14","True","True","True","\Windows\System32\bcrypt.dll","DESKTOP-NBVE6KH","false"
"680","wininit.exe","1.40734E+14","True","True","True","\Windows\System32\ntdll.dll","DESKTOP-NBVE6KH","false"
"680","wininit.exe","1.40734E+14","True","True","True","\Windows\System32\wininitext.dll","DESKTOP-NBVE6KH","false"
"680","wininit.exe","1.40734E+14","True","True","True","\Windows\System32\bcryptprimitives.dll","DESKTOP-NBVE6KH","false"
"680","wininit.exe","1.40734E+14","True","True","True","\Windows\System32\fwbase.dll","DESKTOP-NBVE6KH","false"
"680","wininit.exe","1.40734E+14","True","True","True","\Windows\System32\ws2_32.dll","DESKTOP-NBVE6KH","false"
"680","wininit.exe","1.40734E+14","True","True","True","\Windows\System32\profext.dll","DESKTOP-NBVE6KH","false"
"680","wininit.exe","1.40734E+14","True","True","True","\Windows\System32\FirewallAPI.dll","DESKTOP-NBVE6KH","false"
"680","wininit.exe","1.40734E+14","True","True","True","\Windows\System32\profapi.dll","DESKTOP-NBVE6KH","false"
"680","wininit.exe","1.40734E+14","True","True","True","\Windows\System32\mswsock.dll","DESKTOP-NBVE6KH","false"
"680","wininit.exe","1.40734E+14","True","True","True","\Windows\System32\gdi32full.dll","DESKTOP-NBVE6KH","false"
