"Offset(P)","Proto","LocalAddr","ForeignAddr","State","PID","Owner","Created","Hostname","Investigated"
"1.4078E+14","UDPv4","0.0.0.0:3702","*:*","","4052","dasHost.exe","2019-02-13 23:35:07 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::3702","*:*","","4052","dasHost.exe","2019-02-13 23:35:07 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","127.0.0.1:65000","*:*","","3424","nvcontainer.ex","2019-02-13 23:33:12 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","127.0.0.1:51666","*:*","","3424","nvcontainer.ex","2019-02-13 23:33:12 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:5353","*:*","","2844","svchost.exe","2019-02-13 23:33:15 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.23.1:139","0.0.0.0:0","LISTENING","4","System","2019-02-13 23:33:11 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","0.0.0.0:49687","0.0.0.0:0","LISTENING","768","lsass.exe","2019-02-13 23:33:14 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60055","23.43.62.202:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60029","162.254.195.45:27020","ESTABLISHED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:5355","*:*","","2844","svchost.exe","2019-02-15 02:03:16 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::5355","*:*","","2844","svchost.exe","2019-02-15 02:03:16 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:62140","*:*","","2844","svchost.exe","2019-02-15 02:04:00 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::62140","*:*","","2844","svchost.exe","2019-02-15 02:04:00 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60062","23.43.62.169:443","CLOSED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60049","172.226.180.72:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60494","31.13.93.49:443","CLOSE_WAIT","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60052","23.43.62.169:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:54424","192.168.35.40:8009","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","0.0.0.0:49668","0.0.0.0:0","LISTENING","3164","spoolsv.exe","2019-02-13 23:33:05 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","0.0.0.0:912","0.0.0.0:0","LISTENING","4180","vmware-authd.e","2019-02-13 23:33:06 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60458","185.199.110.154:443","CLOSED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","127.0.0.1:60077","*:*","","6636","nvcontainer.ex","2019-02-13 23:33:16 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:58688","*:*","","4052","dasHost.exe","2019-02-13 23:35:07 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::58688","*:*","","4052","dasHost.exe","2019-02-13 23:35:07 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","127.0.0.1:51668","*:*","","3424","nvcontainer.ex","2019-02-13 23:33:12 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","192.168.157.1:138","*:*","","4","System","2019-02-13 23:33:15 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:3702","*:*","","4052","dasHost.exe","2019-02-13 23:35:07 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::3702","*:*","","4052","dasHost.exe","2019-02-13 23:35:07 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","127.0.0.1:51667","*:*","","3424","nvcontainer.ex","2019-02-13 23:33:12 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","192.168.23.1:137","*:*","","4","System","2019-02-13 23:33:11 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","127.0.0.1:65000","0.0.0.0:0","LISTENING","3424","nvcontainer.ex","2019-02-13 23:33:12 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","127.0.0.1:58754","*:*","","6648","nvcontainer.ex","2019-02-13 23:33:20 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:0","*:*","","2844","svchost.exe","2019-02-13 23:33:15 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::0","*:*","","2844","svchost.exe","2019-02-13 23:33:15 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6","fe80::cc3d:937b:53ac:ad96:54253","*:*","","12008","svchost.exe","2019-02-13 23:33:33 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:0","*:*","","13888","chrome.exe","2019-02-15 02:00:26 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::0","*:*","","13888","chrome.exe","2019-02-15 02:00:26 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:5355","*:*","","2844","svchost.exe","2019-02-15 02:03:16 UTC+0000","DESKTOP-NBVE6KH","false"
