"Offset (P)","Name","PID","pslist","psscan","thrdproc","pspcid","csrss","session","deskthrd","Exit Time","Hostname","Investigated"
"0x116ec5400L","conhost.exe","6320","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x40aaf5080L","nvcontainer.ex","6648","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x13ba6e400L","RuntimeBroker.","8680","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x116e90080L","OVRServer_x64.","6324","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x184dc1580L","svchost.exe","1228","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x1d1694080L","powershell_ise","8048","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x28909d580L","Discord.exe","588","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x184df5080L","svchost.exe","1388","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x194503580L","svchost.exe","3380","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x144ba1080L","Microsoft.Note","10276","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x15f07a080L","svchost.exe","12436","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x184f26580L","svchost.exe","2264","True","True","True","True","True","True","False","","DESKTOP-NBVE6KH","false"
"0x40cc28080L","RuntimeBroker.","11040","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x1a22f9080L","svchost.exe","3432","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x183b87580L","svchost.exe","920","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x184d5a080L","svchost.exe","1116","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x1a2339580L","svchost.exe","3396","True","True","True","True","True","True","False","","DESKTOP-NBVE6KH","false"
"0x184f2a580L","svchost.exe","1564","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x1a230b580L","SecurityHealth","3580","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x13cb5e080L","SettingSyncHos","9124","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x2a7a66080L","slack.exe","13088","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x196516080L","svchost.exe","2408","True","True","True","True","True","True","False","","DESKTOP-NBVE6KH","false"
"0x184f2e580L","svchost.exe","1552","True","True","True","True","True","True","False","","DESKTOP-NBVE6KH","false"
"0x19450f580L","svchost.exe","1028","True","True","True","True","True","True","False","","DESKTOP-NBVE6KH","false"
"0x1ad7be580L","svchost.exe","4080","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x13009e080L","ShellExperienc","7972","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x1dd032580L","SearchProtocol","252","False","True","True","True","True","False","True","","DESKTOP-NBVE6KH","false"
"0x29ce69080L","Discord.exe","12592","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x196513580L","svchost.exe","2416","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x194466080L","svchost.exe","2828","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x116ef4580L","svchost.exe","7380","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x3ef4ee080L","steamwebhelper","12304","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x116ea8080L","explorer.exe","2432","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x16dae8080L","conhost.exe","4268","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x1ddb09080L","svchost.exe","6056","False","True","True","True","True","False","True","","DESKTOP-NBVE6KH","false"
"0x194517580L","svchost.exe","2952","True","True","True","True","True","True","False","","DESKTOP-NBVE6KH","false"
"0x184eea080L","NVDisplay.Cont","1800","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x1f254b080L","svchost.exe","688","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x183bd9580L","svchost.exe","896","True","True","True","True","True","True","False","","DESKTOP-NBVE6KH","false"
"0x1ec42c080L","nvsphelper64.e","2116","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x1ad7ae080L","vmware-authd.e","4180","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x184dbe080L","svchost.exe","1240","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x1d1654080L","conhost.exe","11664","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x38849080L","AppVShNotify.e","6040","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x184f95080L","svchost.exe","1952","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x1a22fc580L","svchost.exe","3408","True","True","True","True","True","True","False","","DESKTOP-NBVE6KH","false"
"0x32d246080L","AppVShNotify.e","11952","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x40f181080L","NisSrv.exe","5308","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x116e4f080L","ctfmon.exe","6204","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0xc23a4580L","steamwebhelper","380","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x184fb4080L","svchost.exe","1996","True","True","True","True","True","True","False","","DESKTOP-NBVE6KH","false"
"0x184f32580L","svchost.exe","1384","True","True","True","True","True","True","False","","DESKTOP-NBVE6KH","false"
"0x184ff6080L","svchost.exe","1660","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x100365580L","svchost.exe","7376","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x1003b7080L","svchost.exe","5892","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x184eb8080L","svchost.exe","1716","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x184d27580L","svchost.exe","1652","True","True","True","True","True","True","False","","DESKTOP-NBVE6KH","false"
"0x40cf7b580L","steamwebhelper","2476","True","True","True","True","True","True","False","","DESKTOP-NBVE6KH","false"
"0x219036580L","Discord.exe","11356","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x184f5b080L","svchost.exe","1868","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x10a896080L","svchost.exe","6824","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x21914a580L","NVIDIA Share.e","3464","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x40cc4c080L","Microsoft.Phot","15292","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
"0x13cb9d080L","RuntimeBroker.","8820","True","True","True","True","True","True","True","","DESKTOP-NBVE6KH","false"
