"Offset(V)","DueTime","Period(ms)","Signaled","Routine","Module","Hostname","Investigated"
"1.84466E+19","0x000000de:0xb80173d1","0","-","1.84467E+19","netbt.sys","DESKTOP-NBVE6KH","false"
"1.84466E+19","0x000000de:0xab2a5fea","0","Yes","1.84467E+19","ntoskrnl.exe","DESKTOP-NBVE6KH","false"
"1.84466E+19","0x0001adcc:0x8ec67993","0","-","1.84467E+19","ntoskrnl.exe","DESKTOP-NBVE6KH","false"
"1.84466E+19","0x0001adcc:0x8ec67993","0","-","1.84467E+19","ntoskrnl.exe","DESKTOP-NBVE6KH","false"
"1.84467E+19","0x000000de:0xaf47e815","0","-","1.84467E+19","WdFilter.sys","DESKTOP-NBVE6KH","false"
"1.84466E+19","0x000000de:0xb048008a","0","-","1.84467E+19","ndis.sys","DESKTOP-NBVE6KH","false"
"1.84466E+19","0x000000de:0xb049fc4f","0","-","1.84467E+19","ndis.sys","DESKTOP-NBVE6KH","false"
"1.84467E+19","0x000000de:0x834adb2b","0","-","1.84467E+19","ntoskrnl.exe","DESKTOP-NBVE6KH","false"
"1.84466E+19","0x000000de:0xad28beae","0","-","1.84467E+19","ndis.sys","DESKTOP-NBVE6KH","false"
"1.84466E+19","0x000000de:0xb048008a","0","-","1.84467E+19","ndis.sys","DESKTOP-NBVE6KH","false"
"1.84466E+19","0x000000de:0xb049fc4f","0","-","1.84467E+19","ndis.sys","DESKTOP-NBVE6KH","false"
"1.84467E+19","0x000000de:0x834adb2b","0","-","1.84467E+19","ntoskrnl.exe","DESKTOP-NBVE6KH","false"
"1.84466E+19","0x000000df:0x301b4eea","0","-","1.84467E+19","afd.sys","DESKTOP-NBVE6KH","false"
"1.84467E+19","0x000000de:0x678da586","30000","Yes","1.84467E+19","ntoskrnl.exe","DESKTOP-NBVE6KH","false"
"1.84466E+19","0x000000de:0xbab24c66","0","-","1.84467E+19","ntoskrnl.exe","DESKTOP-NBVE6KH","false"
"1.84466E+19","0x000000de:0xac658c26","1000","Yes","1.84467E+19","USBPORT.SYS","DESKTOP-NBVE6KH","false"
"1.84467E+19","0x000000de:0x802fd1b4","1000","Yes","1.84467E+19","Ndu.sys","DESKTOP-NBVE6KH","false"
"1.84466E+19","0x000000de:0xb048008a","0","-","1.84467E+19","ndis.sys","DESKTOP-NBVE6KH","false"
"1.84466E+19","0x000000de:0xb049fc4f","0","-","1.84467E+19","ndis.sys","DESKTOP-NBVE6KH","false"
