Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000077660000 False  False  False \Windows\System32\ntdll.dll
       4 System               0x0000000077840000 False  False  False \Windows\SysWOW64\ntdll.dll
     248 smss.exe             0x0000000048040000 True   False  True  \Windows\System32\smss.exe
     248 smss.exe             0x0000000077660000 True   True   True  \Windows\System32\ntdll.dll
     328 csrss.exe            0x00000000003e0000 False  False  False \Windows\Fonts\vgasys.fon
     328 csrss.exe            0x00000000023e0000 False  False  False \Windows\Fonts\vgaoem.fon
     328 csrss.exe            0x000000004a350000 True   False  True  \Windows\System32\csrss.exe
     328 csrss.exe            0x000007fefd5d0000 True   True   True  \Windows\System32\sxssrv.dll
     328 csrss.exe            0x0000000002400000 False  False  False \Windows\Fonts\cga40woa.fon
     328 csrss.exe            0x0000000077440000 True   True   True  \Windows\System32\user32.dll
     328 csrss.exe            0x000007fefea50000 True   True   True  \Windows\System32\msvcrt.dll
     328 csrss.exe            0x0000000002660000 False  False  False \Windows\Fonts\ega40woa.fon
     328 csrss.exe            0x000007feff8a0000 True   True   True  \Windows\System32\lpk.dll
     328 csrss.exe            0x000007fefd4c0000 True   True   True  \Windows\System32\sxs.dll
     328 csrss.exe            0x0000000077540000 True   True   True  \Windows\System32\kernel32.dll
     328 csrss.exe            0x000007feff770000 True   True   True  \Windows\System32\rpcrt4.dll
     328 csrss.exe            0x000007fefe980000 True   True   True  \Windows\System32\usp10.dll
     328 csrss.exe            0x000007fefd5e0000 True   True   True  \Windows\System32\winsrv.dll
     328 csrss.exe            0x00000000023f0000 False  False  False \Windows\Fonts\dosapp.fon
     328 csrss.exe            0x0000000002410000 False  False  False \Windows\Fonts\cga80woa.fon
     328 csrss.exe            0x000007fefee70000 True   True   True  \Windows\System32\gdi32.dll
     328 csrss.exe            0x000007fefd620000 True   True   True  \Windows\System32\basesrv.dll
     328 csrss.exe            0x000007fefd640000 True   True   True  \Windows\System32\csrsrv.dll
     328 csrss.exe            0x0000000077660000 True   True   True  \Windows\System32\ntdll.dll
     328 csrss.exe            0x000007fefd770000 True   True   True  \Windows\System32\KernelBase.dll
     328 csrss.exe            0x000007fefd4b0000 True   True   True  \Windows\System32\cryptbase.dll
     388 wininit.exe          0x0000000077440000 True   True   True  \Windows\System32\user32.dll
     388 wininit.exe          0x0000000077660000 True   True   True  \Windows\System32\ntdll.dll
     388 wininit.exe          0x00000000ff230000 True   False  True  \Windows\System32\wininit.exe
     388 wininit.exe          0x000007fefd170000 True   True   True  \Windows\System32\secur32.dll
     388 wininit.exe          0x000007fefd4b0000 True   True   True  \Windows\System32\cryptbase.dll
     388 wininit.exe          0x000007fefcdf0000 True   True   True  \Windows\System32\mswsock.dll
     388 wininit.exe          0x0000000077540000 True   True   True  \Windows\System32\kernel32.dll
     388 wininit.exe          0x000007fefd420000 True   True   True  \Windows\System32\sspicli.dll
     388 wininit.exe          0x000007fefea50000 True   True   True  \Windows\System32\msvcrt.dll
     388 wininit.exe          0x000007fefee70000 True   True   True  \Windows\System32\gdi32.dll
     388 wininit.exe          0x000007feff690000 True   True   True  \Windows\System32\advapi32.dll
     388 wininit.exe          0x000007feff8a0000 True   True   True  \Windows\System32\lpk.dll
     388 wininit.exe          0x000007feff8b0000 True   True   True  \Windows\System32\sechost.dll
     388 wininit.exe          0x000007fefd560000 True   True   True  \Windows\System32\RpcRtRemote.dll
     388 wininit.exe          0x000007feff770000 True   True   True  \Windows\System32\rpcrt4.dll
     388 wininit.exe          0x000007fefd580000 True   True   True  \Windows\System32\profapi.dll
     388 wininit.exe          0x000007fefd450000 True   True   True  \Windows\System32\apphelp.dll
