Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x438c9980         TCPv4    127.0.0.1:12055                127.0.0.1:58369      CLOSED           0        ??32????xe     
0x62b01490         TCPv4    127.0.0.1:57654                127.0.0.1:49999      CLOSED           1492     java.exe       
0x62b01cf0         TCPv4    -:57647                        -:139                CLOSED           4        System         
0x66b8ccf0         TCPv4    127.0.0.1:49999                127.0.0.1:64822      CLOSED           4324     java.exe       
0x8caa9cf0         TCPv4    -:64815                        10.10.254.1:61613    CLOSED           1480     rubyw.exe      
0xa9d22010         TCPv4    172.116.1.110:5985             172.116.3.254:9999   ESTABLISHED      4        System         
0x13b455c50        UDPv4    172.116.1.110:137              *:*                                   4        System         2019-06-25 18:57:00 UTC+0000
0x13b432890        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        768      svchost.exe    
0x13b432890        TCPv6    :::3389                        :::0                 LISTENING        768      svchost.exe    
0x13b79d5d0        TCPv4    0.0.0.0:6849                   0.0.0.0:0            LISTENING        2292     chromedriver_w 
0x13b7ab500        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        768      svchost.exe    
0x13ba85320        UDPv4    0.0.0.0:123                    *:*                                   932      svchost.exe    2019-06-25 20:37:54 UTC+0000
0x13ba85320        UDPv6    :::123                         *:*                                   932      svchost.exe    2019-06-25 20:37:54 UTC+0000
0x13c06bec0        UDPv6    ::1:1900                       *:*                                   2280     svchost.exe    2019-06-25 20:37:54 UTC+0000
0x13ba650d0        TCPv4    -:0                            72.134.177.50:0      CLOSED           968      svchost.exe    
0x13ba78b00        TCPv4    172.116.1.110:60617            10.101.1.50:443      CLOSED           5036     esensor.exe    
0x13beb5200        TCPv4    172.116.1.110:64806            172.116.4.10:8080    ESTABLISHED      1284     chrome.exe     
0x13bf24b60        TCPv4    172.116.1.110:64833            10.10.200.207:5672   SYN_SENT         1492     java.exe       
0x13c04dcf0        TCPv4    127.0.0.1:12970                127.0.0.1:64450      ESTABLISHED      1284     chrome.exe     
0x13c122650        TCPv4    172.116.1.110:5985             172.116.3.254:43905  ESTABLISHED      4        System         
0x13c1de110        TCPv4    127.0.0.1:64464                127.0.0.1:12970      ESTABLISHED      2292     chromedriver_w 
0x13c29b690        TCPv4    172.116.1.110:5985             172.116.3.254:37040  ESTABLISHED      4        System         
