Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb8b10 System                    4      0    125      871 ------      0 2019-06-24 18:20:59 UTC+0000                                 
0xfffffa8031535b10 smss.exe                252      4      3       35 ------      0 2019-06-24 18:20:59 UTC+0000                                 
0xfffffa8031a62b10 csrss.exe               352    344      9     1547      0      0 2019-06-24 18:21:05 UTC+0000                                 
0xfffffa8031aa4b10 wininit.exe             408    344      3       89      0      0 2019-06-24 18:21:06 UTC+0000                                 
0xfffffa8031b2fb10 services.exe            512    408      9      378      0      0 2019-06-24 18:21:06 UTC+0000                                 
0xfffffa8031b41b10 lsass.exe               520    408     12     1663      0      0 2019-06-24 18:21:06 UTC+0000                                 
0xfffffa8031b46b10 lsm.exe                 528    408      9      239      0      0 2019-06-24 18:21:06 UTC+0000                                 
0xfffffa8031df7b10 svchost.exe             632    512     10      379      0      0 2019-06-24 18:21:10 UTC+0000                                 
0xfffffa80313821e0 svchost.exe             708    512      8      397      0      0 2019-06-24 18:21:11 UTC+0000                                 
0xfffffa8031e64b10 svchost.exe             808    512     16      467      0      0 2019-06-24 18:21:11 UTC+0000                                 
0xfffffa8031e7ab10 svchost.exe             852    512     41     1167      0      0 2019-06-24 18:21:11 UTC+0000                                 
0xfffffa8031e8f4e0 svchost.exe             888    512     15      666      0      0 2019-06-24 18:21:12 UTC+0000                                 
0xfffffa8031e9e5c0 svchost.exe             956    512      7      244      0      0 2019-06-24 18:21:12 UTC+0000                                 
0xfffffa8031ebeb10 svchost.exe             996    512     23      625      0      0 2019-06-24 18:21:12 UTC+0000                                 
0xfffffa8031a9d320 svchost.exe             588    512     18      314      0      0 2019-06-24 18:21:14 UTC+0000                                 
0xfffffa8031c39320 spoolsv.exe            1104    512     13      352      0      0 2019-06-24 18:21:15 UTC+0000                                 
0xfffffa8031b46060 svchost.exe            1156    512     10       99      0      0 2019-06-24 18:21:15 UTC+0000                                 
0xfffffa8031b8d340 svchost.exe            1180    512     10      156      0      0 2019-06-24 18:21:15 UTC+0000                                 
0xfffffa8030f37370 inetinfo.exe           1356    512      6      222      0      0 2019-06-24 18:21:16 UTC+0000                                 
0xfffffa8031f49b10 rubyw.exe              1380    512     12      177      0      0 2019-06-24 18:21:17 UTC+0000                                 
0xfffffa8032073600 MSExchangeADTo         1512    512     11      360      0      0 2019-06-24 18:21:21 UTC+0000                                 
0xfffffa8030f54600 exfba.exe              1556    512      7      190      0      0 2019-06-24 18:21:21 UTC+0000                                 
0xfffffa8032078b10 msftesql.exe           1588    512     13      869      0      0 2019-06-24 18:21:21 UTC+0000                                 
0xfffffa803207eb10 SMSvcHost.exe          1644    512      9      361      0      0 2019-06-24 18:21:21 UTC+0000                                 
0xfffffa8032109060 ruby.exe               1708    512     10      118      0      0 2019-06-24 18:21:22 UTC+0000                                 
0xfffffa80321ddb10 svchost.exe            1832    512      9      501      0      0 2019-06-24 18:21:25 UTC+0000                                 
0xfffffa8032086b10 VGAuthService.         1876    512      3       99      0      0 2019-06-24 18:21:25 UTC+0000                                 
0xfffffa8032082b10 vmtoolsd.exe           1900    512      9      523      0      0 2019-06-24 18:21:25 UTC+0000                                 
0xfffffa8032217600 svchost.exe            1928    512     17      202      0      0 2019-06-24 18:21:25 UTC+0000                                 
0xfffffa8032220b10 winlogbeat.exe         1948    512     23      211      0      0 2019-06-24 18:21:25 UTC+0000                                 
0xfffffa803211cb10 Microsoft.Exch         1736    512     26      534      0      0 2019-06-24 18:21:29 UTC+0000                                 
0xfffffa8032354b10 Microsoft.Exch         2268    512     11      291      0      0 2019-06-24 18:21:32 UTC+0000                                 
0xfffffa8032279400 Microsoft.Exch         2316    512     22      419      0      0 2019-06-24 18:21:32 UTC+0000                                 
0xfffffa8032391290 WmiPrvSE.exe           2412    632     12      556      0      0 2019-06-24 18:21:32 UTC+0000                                 
0xfffffa80323adb10 MsExchangeFDS.         2480    512     21      454      0      0 2019-06-24 18:21:32 UTC+0000                                 
0xfffffa80323beb10 MSExchangeMail         2568    512     25      685      0      0 2019-06-24 18:21:33 UTC+0000                                 
0xfffffa80323d7b10 MSExchangeMail         2676    512     24      521      0      0 2019-06-24 18:21:33 UTC+0000                                 
0xfffffa80323e4b10 MSExchangeMail         2764    512     22      640      0      0 2019-06-24 18:21:34 UTC+0000                                 
0xfffffa803244fb10 Microsoft.Exch         2864    512     17      315      0      0 2019-06-24 18:21:34 UTC+0000                                 
0xfffffa8032469b10 msexchangerepl         2940    512     30      732      0      0 2019-06-24 18:21:35 UTC+0000                                 
0xfffffa80324c4900 Microsoft.Exch         1176    512     28      864      0      0 2019-06-24 18:21:36 UTC+0000                                 
0xfffffa80324ef600 Microsoft.Exch         3080    512     37      710      0      0 2019-06-24 18:21:36 UTC+0000                                 
0xfffffa8032500b10 Microsoft.Exch         3132    512     34      897      0      0 2019-06-24 18:21:36 UTC+0000                                 
0xfffffa803251eb10 MSExchangeThro         3228    512     18      330      0      0 2019-06-24 18:21:37 UTC+0000                                 
0xfffffa803256db10 MSExchangeTran         3336    512     17      342      0      0 2019-06-24 18:21:37 UTC+0000                                 
0xfffffa80325bfb10 MSExchangeTran         3556    512     23      441      0      0 2019-06-24 18:21:37 UTC+0000                                 
0xfffffa80326759c0 EdgeTransport.         3780   3336     45     1377      0      0 2019-06-24 18:21:38 UTC+0000                                 
