Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec86d0 System                    4      0    100      790 ------      0 2019-06-24 13:28:32 UTC+0000                                 
0xfffffa8032012b10 smss.exe                260      4      2       33 ------      0 2019-06-24 13:28:33 UTC+0000                                 
0xfffffa8031f03b10 csrss.exe               352    340     10      644      0      0 2019-06-24 13:31:22 UTC+0000                                 
0xfffffa8031c1a400 csrss.exe               404    396      0 --------      1      0 2019-06-24 13:31:57 UTC+0000   2019-06-24 20:28:18 UTC+0000  
0xfffffa8031c7c060 wininit.exe             412    340      3       77      0      0 2019-06-24 13:31:57 UTC+0000                                 
0xfffffa8031e99600 winlogon.exe            448    396      0 --------      1      0 2019-06-24 13:31:58 UTC+0000   2019-06-24 20:28:18 UTC+0000  
0xfffffa803104c580 services.exe            508    412      9      262      0      0 2019-06-24 13:32:17 UTC+0000                                 
0xfffffa8031f35b10 lsass.exe               516    412      9      981      0      0 2019-06-24 13:32:18 UTC+0000                                 
0xfffffa8031ed7b10 lsm.exe                 524    412     10      262      0      0 2019-06-24 13:32:18 UTC+0000                                 
0xfffffa8031f7fb10 svchost.exe             624    508     11      389      0      0 2019-06-24 13:32:52 UTC+0000                                 
0xfffffa8031fe5b10 svchost.exe             708    508      8      401      0      0 2019-06-24 13:33:07 UTC+0000                                 
0xfffffa8030f39b10 svchost.exe             808    508     21      956      0      0 2019-06-24 13:33:12 UTC+0000                                 
0xfffffa80324d5340 svchost.exe             852    508     18      507      0      0 2019-06-24 13:33:25 UTC+0000                                 
0xfffffa8032511b10 svchost.exe             876    508     16      705      0      0 2019-06-24 13:33:25 UTC+0000                                 
0xfffffa8032639b10 svchost.exe             900    508     33     1104      0      0 2019-06-24 13:33:25 UTC+0000                                 
0xfffffa8032630b10 svchost.exe            1012    508      6      237      0      0 2019-06-24 13:33:49 UTC+0000                                 
0xfffffa8031c3ab10 svchost.exe             800    508     27      715      0      0 2019-06-24 13:34:09 UTC+0000                                 
0xfffffa803277c1d0 spoolsv.exe            1084    508     15      356      0      0 2019-06-24 13:34:35 UTC+0000                                 
0xfffffa803278b250 svchost.exe            1116    508     18      322      0      0 2019-06-24 13:34:40 UTC+0000                                 
0xfffffa8032805b10 svchost.exe            1264    508     10      161      0      0 2019-06-24 13:35:01 UTC+0000                                 
0xfffffa803107cb10 prunsrv.exe            1464    508      8       63      0      0 2019-06-24 13:36:38 UTC+0000                                 
0xfffffa80328ac700 conhost.exe            1496    352      2       35      0      0 2019-06-24 13:36:46 UTC+0000                                 
0xfffffa80327e0b10 java.exe               1540   1464     34      419      0      1 2019-06-24 13:36:53 UTC+0000                                 
0xfffffa80329bbb10 sysmon.exe             1812    508      8      230      0      0 2019-06-24 13:39:52 UTC+0000                                 
0xfffffa8032b61b10 vmtoolsd.exe           2028    508     10      303      0      0 2019-06-24 13:42:24 UTC+0000                                 
0xfffffa8032bb86e0 taskeng.exe            2036    900      4       95      0      0 2019-06-24 13:42:35 UTC+0000                                 
0xfffffa8032c95b10 winlogbeat.exe          704    508     19      174      0      0 2019-06-24 13:42:55 UTC+0000                                 
0xfffffa8032d3f740 dllhost.exe            2368    508      0 --------      0      0 2019-06-24 13:46:11 UTC+0000   2019-06-24 13:50:33 UTC+0000  
0xfffffa80324c0060 svchost.exe            2468    508      5      102      0      0 2019-06-24 13:46:12 UTC+0000                                 
0xfffffa8032c31060 svchost.exe            2488    508     17      402      0      0 2019-06-24 13:46:12 UTC+0000                                 
0xfffffa8031d9fb10 dllhost.exe            2668    508     13      194      0      0 2019-06-24 13:46:33 UTC+0000                                 
0xfffffa8032de5b10 WmiPrvSE.exe           2932    624      0 --------      0      0 2019-06-24 13:46:41 UTC+0000   2019-06-24 14:18:28 UTC+0000  
0xfffffa8032ddcb10 WmiPrvSE.exe           2968    624      9      323      0      0 2019-06-24 13:46:42 UTC+0000                                 
0xfffffa8032e24b10 msdtc.exe              1884    508     12      147      0      0 2019-06-24 13:46:48 UTC+0000                                 
0xfffffa8032e392e0 unsecapp.exe           2064    624      3       75      0      0 2019-06-24 13:46:55 UTC+0000                                 
0xfffffa8032e472d0 taskhost.exe           2704    508      0 --------      1      0 2019-06-24 13:47:21 UTC+0000   2019-06-24 20:28:17 UTC+0000  
0xfffffa8032ee1b10 VSSVC.exe              2232    508      0 --------      0      0 2019-06-24 13:47:29 UTC+0000   2019-06-24 13:50:34 UTC+0000  
0xfffffa8032ecbb10 WmiApSrv.exe           1312    508      0 --------      0      0 2019-06-24 13:47:39 UTC+0000   2019-06-24 13:50:06 UTC+0000  
0xfffffa8032f19b10 dwm.exe                2820    852      0 --------      1      0 2019-06-24 13:47:44 UTC+0000   2019-06-24 20:28:18 UTC+0000  
0xfffffa8032efdb10 explorer.exe           2848   1412      0 --------      1      0 2019-06-24 13:47:45 UTC+0000   2019-06-24 20:28:16 UTC+0000  
0xfffffa8032f3db10 sppsvc.exe             1760    508      0 --------      0      0 2019-06-24 13:48:22 UTC+0000   2019-06-24 13:58:50 UTC+0000  
0xfffffa8032f32b10 cmd.exe                1844   2848      0 --------      1      0 2019-06-24 13:48:25 UTC+0000   2019-06-24 20:28:11 UTC+0000  
0xfffffa8032e64060 conhost.exe            1628    404      0 --------      1      0 2019-06-24 13:48:25 UTC+0000   2019-06-24 20:28:11 UTC+0000  
0xfffffa80324cfb10 vmtoolsd.exe           1424   2848      0 --------      1      0 2019-06-24 13:48:25 UTC+0000   2019-06-24 20:28:11 UTC+0000  
0xfffffa8033031b10 java.exe                872   1844      0 --------      1      0 2019-06-24 13:48:42 UTC+0000   2019-06-24 20:28:11 UTC+0000  
0xfffffa80330a7060 splwow64.exe           3344   3096      0 --------      1      0 2019-06-24 13:49:58 UTC+0000   2019-06-24 20:28:11 UTC+0000  
0xfffffa80332c6690 svchost.exe            3428    508     10      187      0      0 2019-06-24 18:23:04 UTC+0000                                 
0xfffffa8031149480 taskeng.exe             932    900      0 --------      0      0 2019-06-24 20:24:26 UTC+0000   2019-06-24 20:29:34 UTC+0000  
0xfffffa8032f778f0 csrss.exe              4020    208      0 --------      2      0 2019-06-24 20:28:18 UTC+0000   2019-06-25 15:04:23 UTC+0000  
0xfffffa80313d1440 winlogon.exe            736    208      0 --------      2      0 2019-06-24 20:28:18 UTC+0000   2019-06-25 15:04:23 UTC+0000  
0xfffffa8032dfa060 LogonUI.exe            1448    736      0 --------      2      0 2019-06-24 20:28:18 UTC+0000   2019-06-24 20:28:23 UTC+0000  
0xfffffa8033087620 dllhost.exe            3100    624      0 --------      0      0 2019-06-24 20:28:19 UTC+0000   2019-06-24 20:28:24 UTC+0000  
0xfffffa803218f060 cmd.exe                2240   2952      0 --------      2      0 2019-06-24 20:28:21 UTC+0000   2019-06-25 14:58:34 UTC+0000  
0xfffffa80313b5060 java.exe               2788   2240      0 --------      2      0 2019-06-24 20:28:32 UTC+0000   2019-06-25 14:58:34 UTC+0000  
0xfffffa8032f58890 OUTLOOK.EXE             496    624      0 --------      2      0 2019-06-24 20:28:46 UTC+0000   2019-06-25 15:04:21 UTC+0000  
0xfffffa803237a310 chromedriver_w         3104   2788      0 --------      2      0 2019-06-24 20:29:10 UTC+0000   2019-06-25 14:58:34 UTC+0000  
0xfffffa8032f576b0 chrome.exe             3320   3104      0 --------      2      0 2019-06-24 20:29:11 UTC+0000   2019-06-25 15:04:16 UTC+0000  
0xfffffa80320cdb10 esensor.exe            2448    508     47      738      0      0 2019-06-25 01:40:57 UTC+0000                                 
0xfffffa80337f6370 cmd.exe                1764   2952      0 --------      2      0 2019-06-25 14:54:48 UTC+0000   2019-06-25 14:55:18 UTC+0000  
0xfffffa80316af1a0 cmd.exe                4520   2952      0 --------      2      0 2019-06-25 14:56:10 UTC+0000   2019-06-25 15:00:15 UTC+0000  
0xfffffa803220bb10 cmd.exe                1624   2952      0 --------      2      0 2019-06-25 15:00:24 UTC+0000   2019-06-25 15:04:11 UTC+0000  
0xfffffa80339419e0 taskhost.exe           1796    508      0 --------      0      0 2019-06-25 15:03:07 UTC+0000   2019-06-25 15:05:08 UTC+0000  
0xfffffa8033e61600 csrss.exe              4468   4904      9      384      3      0 2019-06-25 15:04:23 UTC+0000                                 
0xfffffa80348a0a10 winlogon.exe           2256   4904      3      122      3      0 2019-06-25 15:04:23 UTC+0000                                 
0xfffffa8033d831b0 LogonUI.exe            3012   2256      0 --------      3      0 2019-06-25 15:04:23 UTC+0000   2019-06-25 15:04:31 UTC+0000  
0xfffffa8033fddb10 dllhost.exe            2400    624      0 --------      0      0 2019-06-25 15:04:24 UTC+0000   2019-06-25 15:04:29 UTC+0000  
0xfffffa8033c3e060 taskhost.exe            864    508     13      249      3      0 2019-06-25 15:04:26 UTC+0000                                 
0xfffffa8032fa6b10 dwm.exe                1836    852      3       93      3      0 2019-06-25 15:04:27 UTC+0000                                 
0xfffffa8032d7d060 explorer.exe           4916   4584     22      685      3      0 2019-06-25 15:04:27 UTC+0000                                 
0xfffffa803222f5c0 cmd.exe                2008   4916      1       28      3      0 2019-06-25 15:04:28 UTC+0000                                 
0xfffffa8033137890 conhost.exe            1728   4468      2       58      3      0 2019-06-25 15:04:28 UTC+0000                                 
0xfffffa8032ff1060 vmtoolsd.exe           3372   4916      6      149      3      0 2019-06-25 15:04:28 UTC+0000                                 
0xfffffa8033f25b10 java.exe               3976   2008     37      504      3      1 2019-06-25 15:04:39 UTC+0000                                 
0xfffffa803387e060 OUTLOOK.EXE            3416    624     40    33551      3      1 2019-06-25 15:05:03 UTC+0000                                 
0xfffffa80342c11e0 EXCEL.EXE              2392    624     10      410      3      1 2019-06-25 15:06:30 UTC+0000                                 
0xfffffa80324edb10 WINWORD.EXE             408    624     11      509      3      1 2019-06-25 15:06:38 UTC+0000                                 
0xfffffa8032ff8b10 splwow64.exe           4568    408      8       81      3      0 2019-06-25 15:06:38 UTC+0000                                 
0xfffffa803111ab10 chromedriver_w         4540   3976      7      103      3      1 2019-06-25 15:07:00 UTC+0000                                 
0xfffffa803171db10 chrome.exe             3524   4540     26      690      3      1 2019-06-25 15:07:01 UTC+0000                                 
0xfffffa8033c3a3f0 chrome.exe             2140   3524      5      185      3      1 2019-06-25 15:07:03 UTC+0000                                 
0xfffffa8033dce7c0 chrome.exe             4420   3524      8      150      3      1 2019-06-25 15:07:03 UTC+0000                                 
0xfffffa8034367890 POWERPNT.EXE           3940    624      9      417      3      1 2019-06-25 15:08:21 UTC+0000                                 
0xfffffa80347f0b10 csrss.exe              2900   3312     12      311      4      0 2019-06-25 15:58:37 UTC+0000                                 
0xfffffa8034802060 winlogon.exe           1596   3312      3      110      4      0 2019-06-25 15:58:37 UTC+0000                                 
