Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8003cd9890 System                    4      0    102      630 ------      0 2019-06-24 13:37:19 UTC+0000                                 
0xfffffa800431e7e0 smss.exe                248      4      2       32 ------      0 2019-06-24 13:37:22 UTC+0000                                 
0xfffffa800477a880 csrss.exe               344    336      9      912      0      0 2019-06-24 13:41:49 UTC+0000                                 
0xfffffa80047bb9e0 csrss.exe               396    388     11      173      1      0 2019-06-24 13:42:12 UTC+0000                                 
0xfffffa80047c3920 wininit.exe             404    336      3       88      0      0 2019-06-24 13:42:13 UTC+0000                                 
0xfffffa8004771b30 winlogon.exe            436    388      3      126      1      0 2019-06-24 13:42:15 UTC+0000                                 
0xfffffa8004677340 services.exe            500    404     10      279      0      0 2019-06-24 13:42:35 UTC+0000                                 
0xfffffa80046c2340 lsass.exe               508    404      8      759      0      0 2019-06-24 13:42:49 UTC+0000                                 
0xfffffa80046a3060 lsm.exe                 516    404     10      200      0      0 2019-06-24 13:42:50 UTC+0000                                 
0xfffffa80047ffb30 svchost.exe             620    500      9      373      0      0 2019-06-24 13:43:52 UTC+0000                                 
0xfffffa80042fab30 vmacthlp.exe            692    500      3       61      0      0 2019-06-24 13:44:21 UTC+0000                                 
0xfffffa80042feb30 svchost.exe             736    500      8      289      0      0 2019-06-24 13:44:35 UTC+0000                                 
0xfffffa8004304b30 svchost.exe             844    500     16      380      0      0 2019-06-24 13:44:45 UTC+0000                                 
0xfffffa8004306b30 svchost.exe             888    500     32     1077      0      0 2019-06-24 13:44:55 UTC+0000                                 
0xfffffa8004495b30 svchost.exe             948    500     11      297      0      0 2019-06-24 13:45:27 UTC+0000                                 
0xfffffa8004491780 svchost.exe             140    500      6      220      0      0 2019-06-24 13:46:07 UTC+0000                                 
0xfffffa80044a3060 svchost.exe             352    500     23      609      0      0 2019-06-24 13:46:28 UTC+0000                                 
0xfffffa8004848060 svchost.exe            1020    500     19      306      0      0 2019-06-24 13:47:33 UTC+0000                                 
0xfffffa80043d7550 taskeng.exe             392    888      5      102      0      0 2019-06-24 13:47:45 UTC+0000                                 
0xfffffa8004814060 cmd.exe                 564    392      1       27      0      0 2019-06-24 13:48:05 UTC+0000                                 
0xfffffa8004235790 conhost.exe            1036    344      2       37      0      0 2019-06-24 13:48:07 UTC+0000                                 
0xfffffa8004ba7b30 spoolsv.exe            1188    500     12      296      0      0 2019-06-24 13:48:35 UTC+0000                                 
0xfffffa8004bb7b30 ruby.exe               1208    564      1       40      0      0 2019-06-24 13:48:40 UTC+0000                                 
0xfffffa8004ae9060 dfsrs.exe              1380    500     11      211      0      0 2019-06-24 13:49:33 UTC+0000                                 
0xfffffa80050adb30 svchost.exe            1236    500      3       54      0      0 2019-06-24 13:56:19 UTC+0000                                 
0xfffffa8005056120 svchost.exe             676    500     19      189      0      0 2019-06-24 13:56:21 UTC+0000                                 
0xfffffa8005081b30 tomcat8.exe            1276    500     32      453      0      0 2019-06-24 13:56:26 UTC+0000                                 
0xfffffa80050ac060 conhost.exe            1260    344      2       32      0      0 2019-06-24 13:56:31 UTC+0000                                 
0xfffffa80050e6630 httpd.exe              1596    500      5      128      0      0 2019-06-24 13:57:57 UTC+0000                                 
0xfffffa800512a060 mysqld.exe             1652    500     22      528      0      0 2019-06-24 13:58:27 UTC+0000                                 
0xfffffa80051f1b30 dfssvc.exe              340    500     12      149      0      0 2019-06-24 13:59:37 UTC+0000                                 
0xfffffa8005228b30 httpd.exe              1580   1596     67      175      0      0 2019-06-24 14:00:10 UTC+0000                                 
