Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8003cd9040 System                    4      0    117      671 ------      0 2019-06-24 07:54:12 UTC+0000                                 
0xfffffa800454e950 smss.exe                248      4      3       35 ------      0 2019-06-24 07:54:13 UTC+0000                                 
0xfffffa8003dc7060 csrss.exe               328    320      9      676      0      0 2019-06-24 07:54:38 UTC+0000                                 
0xfffffa8004130060 wininit.exe             388    320      3       85      0      0 2019-06-24 07:54:46 UTC+0000                                 
0xfffffa8004cc85c0 services.exe            484    388      7      260      0      0 2019-06-24 07:54:54 UTC+0000                                 
0xfffffa800419a370 lsass.exe               492    388      9      963      0      0 2019-06-24 07:54:58 UTC+0000                                 
0xfffffa800419c520 lsm.exe                 500    388      9      252      0      0 2019-06-24 07:54:58 UTC+0000                                 
0xfffffa8004d0d5a0 svchost.exe             604    484     10      370      0      0 2019-06-24 07:55:17 UTC+0000                                 
0xfffffa8004d2bb30 vmacthlp.exe            664    484      3       60      0      0 2019-06-24 07:55:23 UTC+0000                                 
0xfffffa8004d374a0 svchost.exe             708    484      7      301      0      0 2019-06-24 07:55:29 UTC+0000                                 
0xfffffa8004d71b30 svchost.exe             804    484     15      652      0      0 2019-06-24 07:55:31 UTC+0000                                 
0xfffffa8004d7b060 svchost.exe             844    484     37     1005      0      0 2019-06-24 07:55:33 UTC+0000                                 
0xfffffa8004d97150 svchost.exe             896    484     20      768      0      0 2019-06-24 07:55:36 UTC+0000                                 
0xfffffa8003d2d7b0 svchost.exe             952    484      7      242      0      0 2019-06-24 07:55:38 UTC+0000                                 
0xfffffa8004dc79e0 svchost.exe             996    484     21      582      0      0 2019-06-24 07:55:39 UTC+0000                                 
0xfffffa80046819d0 svchost.exe             344    484     17      302      0      0 2019-06-24 07:55:49 UTC+0000                                 
0xfffffa80050c66e0 spoolsv.exe            1084    484     12      379      0      0 2019-06-24 07:56:09 UTC+0000                                 
0xfffffa800512ab30 svchost.exe            1208    484      3       53      0      0 2019-06-24 07:56:27 UTC+0000                                 
0xfffffa8005162b30 VGAuthService.         1240    484      3       96      0      0 2019-06-24 07:56:29 UTC+0000                                 
0xfffffa8005144b30 vmtoolsd.exe           1304    484      9      280      0      0 2019-06-24 07:56:40 UTC+0000                                 
0xfffffa800519b470 ManagementAgen         1400    484     10      105      0      0 2019-06-24 07:56:54 UTC+0000                                 
