Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffe00190846900 System                    4      0    112        0 ------      0 2019-06-26 13:27:08 UTC+0000                                 
0xffffe001918270c0 smss.exe                248      4      2        0 ------      0 2019-06-26 13:27:08 UTC+0000                                 
0xffffe00191cd5080 csrss.exe               360    352      9        0      0      0 2019-06-26 13:27:11 UTC+0000                                 
0xffffe00191c0d080 csrss.exe               428    420      9        0      1      0 2019-06-26 13:27:12 UTC+0000                                 
0xffffe00191c0b600 wininit.exe             436    352      1        0      0      0 2019-06-26 13:27:12 UTC+0000                                 
0xffffe00191cac900 winlogon.exe            464    420      2        0      1      0 2019-06-26 13:27:12 UTC+0000                                 
0xffffe00191fbd080 services.exe            528    436      4        0      0      0 2019-06-26 13:27:12 UTC+0000                                 
0xffffe00191fb4080 lsass.exe               536    436     35        0      0      0 2019-06-26 13:27:12 UTC+0000                                 
0xffffe00192037900 svchost.exe             692    528      7        0      0      0 2019-06-26 13:27:16 UTC+0000                                 
0xffffe00191fb3080 svchost.exe             740    528      6        0      0      0 2019-06-26 13:27:16 UTC+0000                                 
0xffffe001920d8080 LogonUI.exe             824    464      8        0      1      0 2019-06-26 13:27:16 UTC+0000                                 
0xffffe001920cd1c0 dwm.exe                 832    464      6        0      1      0 2019-06-26 13:27:16 UTC+0000                                 
0xffffe001920c9080 vmacthlp.exe            852    528      1        0      0      0 2019-06-26 13:27:16 UTC+0000                                 
0xffffe0019205c900 svchost.exe             908    528     18        0      0      0 2019-06-26 13:27:17 UTC+0000                                 
0xffffe00192137640 svchost.exe             952    528     40        0      0      0 2019-06-26 13:27:17 UTC+0000                                 
0xffffe00192169900 svchost.exe             980    528     15        0      0      0 2019-06-26 13:27:17 UTC+0000                                 
0xffffe0019217e900 svchost.exe             312    528     20        0      0      0 2019-06-26 13:27:17 UTC+0000                                 
0xffffe0019220d080 svchost.exe            1036    528     18        0      0      0 2019-06-26 13:27:17 UTC+0000                                 
0xffffe00192397900 spoolsv.exe            1372    528     10        0      0      0 2019-06-26 13:27:39 UTC+0000                                 
0xffffe00191eaa900 Microsoft.Acti         1400    528     11        0      0      0 2019-06-26 13:27:39 UTC+0000                                 
0xffffe001923c3900 dfsrs.exe              1440    528     23        0      0      0 2019-06-26 13:27:41 UTC+0000                                 
0xffffe001923bb900 svchost.exe            1472    528      8        0      0      0 2019-06-26 13:27:41 UTC+0000                                 
0xffffe001923e9900 dns.exe                1492    528     17        0      0      0 2019-06-26 13:27:41 UTC+0000                                 
0xffffe00192b9a900 esensor.exe            1508    528     64        0      0      0 2019-06-26 13:27:41 UTC+0000                                 
0xffffe00193139900 ismserv.exe            1640    528      6        0      0      0 2019-06-26 13:27:41 UTC+0000                                 
0xffffe00190a7b900 rubyw.exe              1668    528     10        0      0      0 2019-06-26 13:27:41 UTC+0000                                 
0xffffe00193642900 ruby.exe               1804    528      9        0      0      0 2019-06-26 13:27:46 UTC+0000                                 
0xffffe00193700480 VGAuthService.         1948    528      2        0      0      0 2019-06-26 13:27:48 UTC+0000                                 
0xffffe001936ef900 vmtoolsd.exe           1968    528      9        0      0      0 2019-06-26 13:27:49 UTC+0000                                 
0xffffe0019371d380 dfssvc.exe             2028    528     14        0      0      0 2019-06-26 13:27:49 UTC+0000                                 
0xffffe001937e6900 WmiPrvSE.exe           2124    692     11        0      0      0 2019-06-26 13:27:54 UTC+0000                                 
0xffffe001955f00c0 svchost.exe            2620    528     22        0      0      0 2019-06-26 13:28:00 UTC+0000                                 
0xffffe001955980c0 vds.exe                2668    528     11        0      0      0 2019-06-26 13:28:00 UTC+0000                                 
0xffffe0019558d900 svchost.exe            2748    528     10        0      0      0 2019-06-26 13:28:00 UTC+0000                                 
0xffffe001955d1900 svchost.exe            2792    528      3        0      0      0 2019-06-26 13:28:00 UTC+0000                                 
0xffffe00195700900 dllhost.exe            2188    528     12        0      0      0 2019-06-26 13:28:01 UTC+0000                                 
0xffffe0019573b900 msdtc.exe              1800    528      9        0      0      0 2019-06-26 13:28:02 UTC+0000                                 
0xffffe00195737080 WmiPrvSE.exe           1344    692      6        0      0      0 2019-06-26 13:28:02 UTC+0000                                 
0xffffe001978bc900 TrustedInstall         2992    528      7        0      0      0 2019-06-26 13:43:04 UTC+0000                                 
0xffffe001978b7900 TiWorker.exe           3360    692      5        0      0      0 2019-06-26 13:43:04 UTC+0000                                 
0xffffe00197b2a780 wsmprovhost.ex         3764    692     15        0      0      0 2019-06-26 13:43:20 UTC+0000                                 
0xffffe00197cb54c0 DumpIt-64.exe          4124   3764      4        0      0      0 2019-06-26 13:43:42 UTC+0000                                 
0xffffe00197cd9080 conhost.exe            4756   4124      2        0      0      0 2019-06-26 13:43:42 UTC+0000                                 
