Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffce0d1a6cb6c0 System                    4      0    144        0 ------      0 2019-06-24 13:18:52 UTC+0000                                 
0xffffce0d1be57040 smss.exe                292      4      3        0 ------      0 2019-06-24 13:18:56 UTC+0000                                 
0xffffce0d1c5a9080 csrss.exe               376    368     10        0      0      0 2019-06-24 13:22:05 UTC+0000                                 
0xffffce0d1cb23080 wininit.exe             448    368      3        0      0      0 2019-06-24 13:22:12 UTC+0000                                 
0xffffce0d1c5a7480 services.exe            576    448      7        0      0      0 2019-06-24 13:23:16 UTC+0000                                 
0xffffce0d1c1ed800 lsass.exe               600    448      9        0      0      0 2019-06-24 13:23:26 UTC+0000                                 
0xffffce0d1cafc800 svchost.exe             688    576     31        0      0      0 2019-06-24 13:25:28 UTC+0000                                 
0xffffce0d1c0f2280 svchost.exe             756    576     15        0      0      0 2019-06-24 13:25:54 UTC+0000                                 
0xffffce0d1bd02780 svchost.exe             908    576     67        0      0      0 2019-06-24 13:26:23 UTC+0000                                 
0xffffce0d1caf0800 svchost.exe             988    576     19        0      0      0 2019-06-24 13:26:26 UTC+0000                                 
0xffffce0d1bd24080 svchost.exe             796    576     55        0      0      0 2019-06-24 13:27:54 UTC+0000                                 
0xffffce0d1a9d1800 svchost.exe             660    576     27        0      0      0 2019-06-24 13:27:55 UTC+0000                                 
0xffffce0d1a9d0080 svchost.exe             712    576     17        0      0      0 2019-06-24 13:27:55 UTC+0000                                 
0xffffce0d1ba59080 svchost.exe             872    576     34        0      0      0 2019-06-24 13:27:55 UTC+0000                                 
0xffffce0d1c109800 svchost.exe            1464    576      6        0      0      0 2019-06-24 13:29:07 UTC+0000                                 
0xffffce0d1c5fc800 svchost.exe            1584    576     10        0      0      0 2019-06-24 13:29:26 UTC+0000                                 
0xffffce0d1c838800 spoolsv.exe            1732    576     12        0      0      0 2019-06-24 13:29:38 UTC+0000                                 
0xffffce0d1cbb8080 svchost.exe            1236    576     14        0      0      0 2019-06-24 13:31:06 UTC+0000                                 
0xffffce0d1c8ed080 svchost.exe            1604    576     10        0      0      0 2019-06-24 13:31:44 UTC+0000                                 
0xffffce0d1b55b040 MemCompression         1480      4      0        0 ------      0 2019-06-24 13:32:41 UTC+0000                                 
0xffffce0d1ad80800 vmtoolsd.exe            308    576      7        0      0      0 2019-06-24 13:40:00 UTC+0000                                 
0xffffce0d1b519800 prunsrv.exe             584    576      8        0      0      0 2019-06-24 13:40:00 UTC+0000                                 
0xffffce0d1ad09800 conhost.exe             248    584      4        0      0      0 2019-06-24 13:40:03 UTC+0000                                 
0xffffce0d1d355680 java.exe               2924    584     32        0      0      1 2019-06-24 13:40:12 UTC+0000                                 
0xffffce0d1ade8800 svchost.exe            2872    576      7        0      0      0 2019-06-24 13:40:32 UTC+0000                                 
0xffffce0d1adc5800 svchost.exe            3064    576      4        0      0      0 2019-06-24 13:40:40 UTC+0000                                 
0xffffce0d1b526080 dllhost.exe            2452    576     12        0      0      0 2019-06-24 13:41:45 UTC+0000                                 
0xffffce0d1ad05800 msdtc.exe              2344    576      9        0      0      0 2019-06-24 13:42:21 UTC+0000                                 
0xffffce0d1b088080 SearchIndexer.         3992    576     19        0      0      0 2019-06-24 13:46:39 UTC+0000                                 
0xffffce0d1aac1800 WmiPrvSE.exe           4548    688      4        0      0      0 2019-06-24 14:00:44 UTC+0000                                 
0xffffce0d1ab1e080 MsMpEng.exe            2968    576     26        0      0      0 2019-06-24 14:01:48 UTC+0000                                 
0xffffce0d1c2b4080 NisSrv.exe             4904    576     11        0      0      0 2019-06-24 14:02:09 UTC+0000                                 
0xffffce0d1b13e5c0 esensor.exe            3360    576     45        0      0      0 2019-06-25 01:46:21 UTC+0000                                 
0xffffce0d1cc3d080 MpCmdRun.exe           4992    384      6        0      0      0 2019-06-25 14:06:42 UTC+0000                                 
0xffffce0d1b7a3080 smss.exe                280    292      0 --------    164      0 2019-06-25 22:01:39 UTC+0000   2019-06-25 22:01:39 UTC+0000  
0xffffce0d1f8e9080 csrss.exe               252    280     12        0    164      0 2019-06-25 22:01:39 UTC+0000                                 
0xffffce0d1b1ab080 winlogon.exe           2664    280      6        0    164      0 2019-06-25 22:01:39 UTC+0000                                 
0xffffce0d1f046080 dwm.exe                3340   2664     12        0    164      0 2019-06-25 22:01:39 UTC+0000                                 
0xffffce0d1cf42800 sihost.exe             4268    908     10        0    164      0 2019-06-25 22:01:50 UTC+0000                                 
0xffffce0d1d54e080 svchost.exe            5176    576     10        0    164      0 2019-06-25 22:01:50 UTC+0000                                 
0xffffce0d1aae9080 svchost.exe            7028    576      4        0      0      0 2019-06-25 22:01:50 UTC+0000                                 
0xffffce0d1f260080 taskhostw.exe          2556    908     15        0    164      0 2019-06-25 22:01:50 UTC+0000                                 
0xffffce0d1d9df080 RuntimeBroker.         6824    688      9        0    164      0 2019-06-25 22:01:50 UTC+0000                                 
0xffffce0d1ac50080 userinit.exe           5080   2664      0 --------    164      0 2019-06-25 22:01:53 UTC+0000   2019-06-25 22:02:16 UTC+0000  
0xffffce0d1d0a4080 explorer.exe            508   5080     55        0    164      0 2019-06-25 22:01:53 UTC+0000                                 
0xffffce0d1e133080 ShellExperienc         2788    688     27        0    164      0 2019-06-25 22:01:54 UTC+0000                                 
0xffffce0d1d47b080 SearchUI.exe           4840    688     32        0    164      0 2019-06-25 22:01:54 UTC+0000                                 
0xffffce0d1e29c080 MSASCuiL.exe           3028    508      5        0    164      0 2019-06-25 22:02:05 UTC+0000                                 
0xffffce0d1f120080 cmd.exe                1004    508      1        0    164      0 2019-06-25 22:02:05 UTC+0000                                 
0xffffce0d1b674800 conhost.exe            1160   1004      4        0    164      0 2019-06-25 22:02:05 UTC+0000                                 
0xffffce0d1d1cb080 vmtoolsd.exe            764    508      6        0    164      0 2019-06-25 22:02:05 UTC+0000                                 
0xffffce0d1f166800 OneDrive.exe           4612    508     14        0    164      1 2019-06-25 22:02:06 UTC+0000                                 
0xffffce0d1d52c080 java.exe               5436   1004     23        0    164      1 2019-06-25 22:02:15 UTC+0000                                 
0xffffce0d1af3b080 wsmprovhost.ex         5832    688     18        0      0      0 2019-06-25 22:02:22 UTC+0000                                 
0xffffce0d1b728200 OUTLOOK.EXE            6160    688     13        0    164      1 2019-06-25 22:02:26 UTC+0000                                 
0xffffce0d1d5b1080 SearchProtocol         7148   3992      5        0      0      0 2019-06-25 22:06:18 UTC+0000                                 
0xffffce0d1ea54580 DumpIt-64.exe          2032   5832      6        0      0      0 2019-06-25 22:09:28 UTC+0000                                 
0xffffce0d1cc89800 conhost.exe            6108   2032      5        0      0      0 2019-06-25 22:09:28 UTC+0000                                 
0xffffce0d1b0d0600 WmiPrvSE.exe           2352    688      8        0      0      0 2019-06-25 22:09:28 UTC+0000                                 
