Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffc7063942a500 System                    4      0    198        0 ------      0 2019-06-24 21:48:16 UTC+0000                                 
0xffffc7063accb040 smss.exe                284      4      2        0 ------      0 2019-06-24 21:48:16 UTC+0000                                 
0xffffc7063a033080 csrss.exe               368    360     10        0      0      0 2019-06-24 21:48:22 UTC+0000                                 
0xffffc7063b258080 wininit.exe             440    360      1        0      0      0 2019-06-24 21:48:22 UTC+0000                                 
0xffffc7063b341800 services.exe            564    440      5        0      0      0 2019-06-24 21:48:22 UTC+0000                                 
0xffffc7063b3402c0 lsass.exe               572    440      7        0      0      0 2019-06-24 21:48:22 UTC+0000                                 
0xffffc7063b3805c0 svchost.exe             648    564     19        0      0      0 2019-06-24 21:48:22 UTC+0000                                 
0xffffc7063adb5680 svchost.exe             716    564     11        0      0      0 2019-06-24 21:48:23 UTC+0000                                 
0xffffc7063b282800 svchost.exe             892    564     47        0      0      0 2019-06-24 21:48:23 UTC+0000                                 
0xffffc7063b288800 svchost.exe             900    564     55        0      0      0 2019-06-24 21:48:23 UTC+0000                                 
0xffffc7063bfce800 svchost.exe            1004    564     35        0      0      0 2019-06-24 21:48:23 UTC+0000                                 
0xffffc7063b27e800 svchost.exe            1012    564     17        0      0      0 2019-06-24 21:48:23 UTC+0000                                 
0xffffc7063bfcc800 svchost.exe              68    564     25        0      0      0 2019-06-24 21:48:23 UTC+0000                                 
0xffffc7063bfca800 svchost.exe             360    564     21        0      0      0 2019-06-24 21:48:23 UTC+0000                                 
0xffffc7063c0d6080 svchost.exe            1472    564      5        0      0      0 2019-06-24 21:48:23 UTC+0000                                 
0xffffc7063b885800 svchost.exe            1600    564     10        0      0      0 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063b8f05c0 spoolsv.exe            1784    564     16        0      0      0 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063c17e640 svchost.exe            1976    564     12        0      0      0 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063c170600 prunsrv.exe            1992    564      7        0      0      0 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063c198800 TaniumClient.e         2036    564      9        0      0      1 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063b887080 rubyw.exe               796    564     10        0      0      0 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063c1c3800 mdm.exe                1204    564      3        0      0      1 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063c1c1800 conhost.exe            1140   1992      3        0      0      0 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063c186800 svchost.exe            1332    564      7        0      0      0 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063c1bb800 VGAuthService.         2084    564      2        0      0      0 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063c1ba4c0 vmtoolsd.exe           2092    564      9        0      0      0 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063c1b7800 ruby.exe               2100    564      9        0      0      0 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063c1b5800 winlogbeat.exe         2108    564     18        0      0      0 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063c1b3800 MsMpEng.exe            2124    564     29        0      0      0 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063c096800 java.exe               2220   1992     31        0      0      1 2019-06-24 21:48:24 UTC+0000                                 
0xffffc7063b60c040 MemCompression         2476      4      0        0 ------      0 2019-06-24 21:48:26 UTC+0000                                 
0xffffc7063b654800 NisSrv.exe             2888    564     10        0      0      0 2019-06-24 21:48:27 UTC+0000                                 
0xffffc7063c896400 svchost.exe            2600    564      4        0      0      0 2019-06-24 21:48:30 UTC+0000                                 
0xffffc7063c98e5c0 WmiPrvSE.exe           3164    648      6        0      0      0 2019-06-24 21:48:31 UTC+0000                                 
0xffffc7063cd2b800 dllhost.exe            3728    564     10        0      0      0 2019-06-24 21:48:36 UTC+0000                                 
0xffffc7063ce02300 msdtc.exe              3848    564      9        0      0      0 2019-06-24 21:48:36 UTC+0000                                 
0xffffc7063c993080 svchost.exe            2760    564      7        0      0      0 2019-06-24 21:50:11 UTC+0000                                 
0xffffc7063ad19800 SearchIndexer.         4224    564     18        0      0      0 2019-06-24 21:50:28 UTC+0000                                 
0xffffc70639fa2080 esensor.exe             852    564     48        0      0      0 2019-06-25 01:47:52 UTC+0000                                 
0xffffc7063cb70080 cmd.exe                2200   1560      1        0      0      1 2019-06-25 02:02:55 UTC+0000                                 
0xffffc7063a295800 conhost.exe            5980   2200      3        0      0      0 2019-06-25 02:02:55 UTC+0000                                 
0xffffc7063a562080 cscript.exe            4036   2200      3        0      0      1 2019-06-25 02:02:55 UTC+0000                                 
0xffffc7063c81a080 TaniumEndpoint         4688   5928     12        0      0      0 2019-06-25 02:29:17 UTC+0000                                 
0xffffc7063b88e800 conhost.exe            3676   4688      3        0      0      0 2019-06-25 02:29:17 UTC+0000                                 
0xffffc7063b9fb080 smss.exe               5608    284      0 --------      4      0 2019-06-25 14:17:23 UTC+0000   2019-06-25 14:17:23 UTC+0000  
0xffffc70639d70080 csrss.exe              3976   5608     12        0      4      0 2019-06-25 14:17:23 UTC+0000                                 
0xffffc70639818080 winlogon.exe           1920   5608      2        0      4      0 2019-06-25 14:17:23 UTC+0000                                 
0xffffc7063aec7080 dwm.exe                5796   1920     10        0      4      0 2019-06-25 14:17:23 UTC+0000                                 
