[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffff800018c9b00 with 401 entries
  Entry 0x0000: 0xfffff80001cda190 (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x0001: 0xfffff80001bc0a00 (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0002: 0xfffff800018c0dd0 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0003: 0xfffff80001be3b10 (NtReadFile) owned by ntoskrnl.exe
  Entry 0x0004: 0xfffff80001be1bb0 (NtDeviceIoControlFile) owned by ntoskrnl.exe
  Entry 0x0005: 0xfffff80001bdcee0 (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0006: 0xfffff80001b82dc0 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x0007: 0xfffff80001b7ff10 (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x0008: 0xfffff80001bd7da0 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x0009: 0xfffff80001ca9e20 (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x000a: 0xfffff80001b96330 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x000b: 0xfffff80001be2d60 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x000c: 0xfffff80001bdc2a0 (NtClose) owned by ntoskrnl.exe
  Entry 0x000d: 0xfffff80001baed58 (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x000e: 0xfffff80001ba9740 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x000f: 0xfffff80001ba6e00 (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0010: 0xfffff80001baa9a0 (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x0011: 0xfffff80001bb9074 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x0012: 0xfffff80001b78c50 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0013: 0xfffff80001ba2f30 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x0014: 0xfffff80001ba13d0 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x0015: 0xfffff80001bc7d50 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
