Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffffa80316aef58 0x00000192:0x5a335b5e      21600000 Yes        0xfffff88002eada1c dxgkrnl.sys
0xfffff88008048260 0x0000016e:0x16a19dcb             0 -          0xfffff8800800ccb0 HTTP.sys
0xfffff88002d1c760 0x0000016e:0x0e1fdec0             0 -          0xfffff88002d00010 afd.sys
0xfffff8800133e9d0 0x0000016d:0x20010200         10000 Yes        0xfffff880012db700 cng.sys
0xfffff80001c39fe0 0x0000016d:0x1f070292         15000 Yes        0xfffff80001a3dee0 ntoskrnl.exe
0xfffffa803265c250 0x0000016e:0x15636239             0 -          0xfffff88008601010 srv.sys
0xfffffa8031770278 0x0000016e:0x144f4aa0             0 -          0xfffff88000f77160 NDIS.SYS
0xfffffa8031443b30 0x0000016e:0x14046ea8            10 -          0xfffff88001686dc0 tcpip.sys
0xfffff880033b7710 0x0000016e:0x0dd39380             0 -          0xfffff880033b182c luafv.sys
0xfffff880014850e8 0x0000016d:0x1d788260             0 -          0xfffff88001442780 Ntfs.sys
0xfffff8800133e9d0 0x0000016d:0x20010200         10000 Yes        0xfffff880012db700 cng.sys
0xfffffa803265c250 0x0000016e:0x15636239             0 -          0xfffff88008601010 srv.sys
0xfffff88002de8480 0x0000016f:0x22645b80             0 -          0xfffff88002de4c3c dfsc.sys
0xfffffa80313c7b30 0x0000016e:0x1490ff10             0 -          0xfffff8800121c1c0 storport.sys
0xfffff80001c8f6e0 0x0000016d:0x1c66b405             0 -          0xfffff80001a6b390 ntoskrnl.exe
0xfffff80001c087d8 0x0000016d:0x235d8af2         15000 Yes        0xfffff80001a3fb20 ntoskrnl.exe
0xfffff880009c4ad8 0x0000016d:0x237558bc         15000 Yes        0xfffff80001a3fb20 ntoskrnl.exe
0xfffffa80313cbc80 0x0000016e:0x1495311d          1000 Yes        0xfffff8800121c010 storport.sys
0xfffff880033b7710 0x0000016e:0x0dd39380             0 -          0xfffff880033b182c luafv.sys
0xfffffa8031716278 0x0000016e:0x142423ba             0 -          0xfffff88000f77160 NDIS.SYS
0xfffffa8031716278 0x0000016e:0x142423ba             0 -          0xfffff88000f77160 NDIS.SYS
