Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000077830000 False  False  False \Windows\SysWOW64\ntdll.dll
       4 System               0x00007ffb79830000 False  False  False \Windows\System32\ntdll.dll
     208 smss.exe             0x00007ffb79830000 True   True   True  \Windows\System32\ntdll.dll
     308 csrss.exe            0x0000003242f80000 False  False  False \Windows\Fonts\vgasys.fon
     308 csrss.exe            0x00007ffb76bd0000 True   True   True  \Windows\System32\sxssrv.dll
     308 csrss.exe            0x00007ffb769c0000 True   True   True  \Windows\System32\bcryptprimitives.dll
     308 csrss.exe            0x0000003245340000 False  False  False \Windows\Fonts\cga40woa.fon
     308 csrss.exe            0x00007ffb796b0000 True   True   True  \Windows\System32\user32.dll
     308 csrss.exe            0x00007ffb76a20000 True   True   True  \Windows\System32\cryptbase.dll
     308 csrss.exe            0x0000003245350000 False  False  False \Windows\Fonts\cga80woa.fon
     308 csrss.exe            0x0000003245330000 False  False  False \Windows\Fonts\dosapp.fon
     308 csrss.exe            0x00007ffb76be0000 True   True   True  \Windows\System32\winsrv.dll
     308 csrss.exe            0x0000003245320000 False  False  False \Windows\Fonts\vgaoem.fon
     308 csrss.exe            0x00007ffb76a30000 True   True   True  \Windows\System32\sxs.dll
     308 csrss.exe            0x0000003245360000 False  False  False \Windows\Fonts\ega40woa.fon
     376 csrss.exe            0x00007ffb76bd0000 True   True   True  \Windows\System32\sxssrv.dll
     376 csrss.exe            0x00000044884a0000 False  False  False \Windows\Fonts\vgasys.fon
     376 csrss.exe            0x00007ffb76be0000 True   True   True  \Windows\System32\winsrv.dll
     376 csrss.exe            0x00007ffb76a30000 True   True   True  \Windows\System32\sxs.dll
     376 csrss.exe            0x00007ffb769c0000 True   True   True  \Windows\System32\bcryptprimitives.dll
     376 csrss.exe            0x00007ffb76a20000 True   True   True  \Windows\System32\cryptbase.dll
     384 wininit.exe          0x00007ffb76410000 True   True   True  \Windows\System32\mswsock.dll
     384 wininit.exe          0x00007ffb76990000 True   True   True  \Windows\System32\sspicli.dll
     384 wininit.exe          0x00007ffb78950000 True   True   True  \Windows\System32\sechost.dll
     384 wininit.exe          0x00007ffb77120000 True   True   True  \Windows\System32\rpcrt4.dll
     384 wininit.exe          0x00007ffb78b00000 True   True   True  \Windows\System32\msvcrt.dll
     384 wininit.exe          0x00007ffb770c0000 True   True   True  \Windows\System32\ws2_32.dll
     384 wininit.exe          0x00007ffb76b30000 True   True   True  \Windows\System32\wininitext.dll
     412 winlogon.exe         0x00007ffb758d0000 True   True   True  \Windows\System32\dpapi.dll
     412 winlogon.exe         0x00007ffb77260000 True   True   True  \Windows\System32\combase.dll
     412 winlogon.exe         0x00007ffb76cd0000 True   True   True  \Windows\System32\crypt32.dll
     412 winlogon.exe         0x00007ffb78dd0000 True   True   True  \Windows\System32\msctf.dll
     412 winlogon.exe         0x00007ffb78d90000 True   True   True  \Windows\System32\imm32.dll
     412 winlogon.exe         0x00007ffb75920000 True   True   True  \Windows\System32\uxtheme.dll
