Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000077ca0000 False  False  False \Windows\System32\ntdll.dll
       4 System               0x0000000077e80000 False  False  False \Windows\SysWOW64\ntdll.dll
     256 smss.exe             0x00000000476e0000 True   False  True  \Windows\System32\smss.exe
     256 smss.exe             0x0000000077ca0000 True   True   True  \Windows\System32\ntdll.dll
     360 csrss.exe            0x00000000000b0000 False  False  False \Windows\Fonts\vgasys.fon
     360 csrss.exe            0x0000000000b30000 False  False  False \Windows\Fonts\vgaoem.fon
     360 csrss.exe            0x0000000000be0000 False  False  False \Windows\Fonts\cga80woa.fon
     360 csrss.exe            0x0000000049930000 True   False  True  \Windows\System32\csrss.exe
     360 csrss.exe            0x000007feff6e0000 True   True   True  \Windows\System32\usp10.dll
     360 csrss.exe            0x000007feff8c0000 True   True   True  \Windows\System32\msvcrt.dll
     360 csrss.exe            0x0000000077ba0000 True   True   True  \Windows\System32\user32.dll
     360 csrss.exe            0x000007fefd960000 True   True   True  \Windows\System32\winsrv.dll
     360 csrss.exe            0x0000000000b40000 False  False  False \Windows\Fonts\dosapp.fon
     360 csrss.exe            0x000007fefd9a0000 True   True   True  \Windows\System32\basesrv.dll
     360 csrss.exe            0x000007fefd9c0000 True   True   True  \Windows\System32\csrsrv.dll
     360 csrss.exe            0x000007fefd840000 True   True   True  \Windows\System32\cryptbase.dll
     360 csrss.exe            0x0000000077ca0000 True   True   True  \Windows\System32\ntdll.dll
     360 csrss.exe            0x000007fefff40000 True   True   True  \Windows\System32\gdi32.dll
     360 csrss.exe            0x000007fefd950000 True   True   True  \Windows\System32\sxssrv.dll
     360 csrss.exe            0x0000000000bf0000 False  False  False \Windows\Fonts\ega40woa.fon
     360 csrss.exe            0x0000000002e00000 False  False  False \Windows\System32\en-US\KernelBase.dll.mui
     360 csrss.exe            0x0000000000b90000 False  False  False \Windows\Fonts\cga40woa.fon
     360 csrss.exe            0x000007feff1b0000 True   True   True  \Windows\System32\lpk.dll
     360 csrss.exe            0x0000000077a80000 True   True   True  \Windows\System32\kernel32.dll
     360 csrss.exe            0x000007feff560000 True   True   True  \Windows\System32\advapi32.dll
     360 csrss.exe            0x000007fefd850000 True   True   True  \Windows\System32\sxs.dll
     360 csrss.exe            0x000007feff960000 True   True   True  \Windows\System32\rpcrt4.dll
     360 csrss.exe            0x000007fefdb70000 True   True   True  \Windows\System32\KernelBase.dll
     360 csrss.exe            0x000007fefe070000 True   True   True  \Windows\System32\sechost.dll
     444 wininit.exe          0x0000000077a80000 True   True   True  \Windows\System32\kernel32.dll
     444 wininit.exe          0x0000000077ca0000 True   True   True  \Windows\System32\ntdll.dll
     444 wininit.exe          0x0000000077ba0000 True   True   True  \Windows\System32\user32.dll
