Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000077690000 False  False  False \Windows\System32\ntdll.dll
       4 System               0x0000000077870000 False  False  False \Windows\SysWOW64\ntdll.dll
     268 smss.exe             0x0000000047610000 True   False  True  \Windows\System32\smss.exe
     268 smss.exe             0x0000000077690000 True   True   True  \Windows\System32\ntdll.dll
     372 csrss.exe            0x00000000000b0000 False  False  False \Windows\Fonts\vgasys.fon
     372 csrss.exe            0x0000000000c60000 False  False  False \Windows\Fonts\ega40woa.fon
     372 csrss.exe            0x000007feff8c0000 True   True   True  \Windows\System32\sechost.dll
     372 csrss.exe            0x0000000000c40000 False  False  False \Windows\Fonts\cga40woa.fon
     372 csrss.exe            0x000007feff8e0000 True   True   True  \Windows\System32\gdi32.dll
     372 csrss.exe            0x000007fefd230000 True   True   True  \Windows\System32\cryptbase.dll
     372 csrss.exe            0x0000000077590000 True   True   True  \Windows\System32\user32.dll
     372 csrss.exe            0x000007fefd350000 True   True   True  \Windows\System32\winsrv.dll
     372 csrss.exe            0x000007feff770000 True   True   True  \Windows\System32\advapi32.dll
     372 csrss.exe            0x0000000049860000 True   False  True  \Windows\System32\csrss.exe
     372 csrss.exe            0x0000000000c20000 False  False  False \Windows\Fonts\vgaoem.fon
     372 csrss.exe            0x000007fefd3b0000 True   True   True  \Windows\System32\csrsrv.dll
     372 csrss.exe            0x0000000077690000 True   True   True  \Windows\System32\ntdll.dll
     372 csrss.exe            0x000007fefd720000 True   True   True  \Windows\System32\KernelBase.dll
     372 csrss.exe            0x000007feff8b0000 True   True   True  \Windows\System32\lpk.dll
     372 csrss.exe            0x0000000002b90000 False  False  False \Windows\System32\en-US\KernelBase.dll.mui
     372 csrss.exe            0x000007fefd340000 True   True   True  \Windows\System32\sxssrv.dll
     372 csrss.exe            0x000007feff170000 True   True   True  \Windows\System32\rpcrt4.dll
     372 csrss.exe            0x0000000000c30000 False  False  False \Windows\Fonts\dosapp.fon
     372 csrss.exe            0x0000000000c50000 False  False  False \Windows\Fonts\cga80woa.fon
     372 csrss.exe            0x000007feff3e0000 True   True   True  \Windows\System32\usp10.dll
     372 csrss.exe            0x0000000077470000 True   True   True  \Windows\System32\kernel32.dll
     372 csrss.exe            0x000007fefd390000 True   True   True  \Windows\System32\basesrv.dll
     372 csrss.exe            0x000007fefd7c0000 True   True   True  \Windows\System32\msvcrt.dll
     372 csrss.exe            0x000007fefd240000 True   True   True  \Windows\System32\sxs.dll
     448 csrss.exe            0x0000000000220000 False  False  False \Windows\Fonts\vgasys.fon
     448 csrss.exe            0x0000000049860000 True   False  True  \Windows\System32\csrss.exe
     448 csrss.exe            0x000007feff8b0000 True   True   True  \Windows\System32\lpk.dll
