Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000077bd0000 False  False  False \Windows\System32\ntdll.dll
       4 System               0x0000000077db0000 False  False  False \Windows\SysWOW64\ntdll.dll
     240 smss.exe             0x00000000482d0000 True   False  True  \Windows\System32\smss.exe
     240 smss.exe             0x0000000077bd0000 True   True   True  \Windows\System32\ntdll.dll
     344 csrss.exe            0x0000000000750000 False  False  False \Windows\Fonts\vgasys.fon
     344 csrss.exe            0x0000000000d20000 False  False  False \Windows\Fonts\vgaoem.fon
     344 csrss.exe            0x0000000002680000 False  False  False \Windows\System32\en-US\ntdll.dll.mui
     344 csrss.exe            0x000007fefe080000 True   True   True  \Windows\System32\msvcrt.dll
     344 csrss.exe            0x0000000002380000 False  False  False \Windows\Fonts\dosapp.fon
     344 csrss.exe            0x00000000023a0000 False  False  False \Windows\Fonts\cga80woa.fon
     344 csrss.exe            0x00000000779b0000 True   True   True  \Windows\System32\kernel32.dll
     344 csrss.exe            0x000007feffad0000 True   True   True  \Windows\System32\gdi32.dll
     344 csrss.exe            0x000007fefdb90000 True   True   True  \Windows\System32\KernelBase.dll
     344 csrss.exe            0x000000004a340000 True   False  True  \Windows\System32\csrss.exe
     344 csrss.exe            0x000007feff360000 True   True   True  \Windows\System32\rpcrt4.dll
     344 csrss.exe            0x000007fefdfa0000 True   True   True  \Windows\System32\advapi32.dll
     344 csrss.exe            0x0000000077ad0000 True   True   True  \Windows\System32\user32.dll
     344 csrss.exe            0x000007fefd890000 True   True   True  \Windows\System32\winsrv.dll
     344 csrss.exe            0x000007fefd8d0000 True   True   True  \Windows\System32\basesrv.dll
     344 csrss.exe            0x000007fefd8f0000 True   True   True  \Windows\System32\csrsrv.dll
     344 csrss.exe            0x00000000023b0000 False  False  False \Windows\Fonts\ega40woa.fon
     344 csrss.exe            0x0000000077bd0000 True   True   True  \Windows\System32\ntdll.dll
     344 csrss.exe            0x000007fefe360000 True   True   True  \Windows\System32\usp10.dll
     344 csrss.exe            0x000007feffcd0000 True   True   True  \Windows\System32\sechost.dll
     344 csrss.exe            0x0000000002390000 False  False  False \Windows\Fonts\cga40woa.fon
     344 csrss.exe            0x000007fefd770000 True   True   True  \Windows\System32\cryptbase.dll
     344 csrss.exe            0x000007fefd780000 True   True   True  \Windows\System32\sxs.dll
     344 csrss.exe            0x000007fefd880000 True   True   True  \Windows\System32\sxssrv.dll
     344 csrss.exe            0x000007fefdeb0000 True   True   True  \Windows\System32\lpk.dll
     396 wininit.exe          0x00000000779b0000 True   True   True  \Windows\System32\kernel32.dll
     396 wininit.exe          0x0000000077bd0000 True   True   True  \Windows\System32\ntdll.dll
     396 wininit.exe          0x0000000077ad0000 True   True   True  \Windows\System32\user32.dll
     396 wininit.exe          0x000007fefd710000 True   True   True  \Windows\System32\apphelp.dll
     396 wininit.exe          0x000007feffad0000 True   True   True  \Windows\System32\gdi32.dll
     396 wininit.exe          0x000007fefd770000 True   True   True  \Windows\System32\cryptbase.dll
     396 wininit.exe          0x000007fefdb90000 True   True   True  \Windows\System32\KernelBase.dll
     396 wininit.exe          0x00000000ff9a0000 True   False  True  \Windows\System32\wininit.exe
     396 wininit.exe          0x000007feff360000 True   True   True  \Windows\System32\rpcrt4.dll
     396 wininit.exe          0x000007fefe120000 True   True   True  \Windows\System32\nsi.dll
     396 wininit.exe          0x000007fefe430000 True   True   True  \Windows\System32\imm32.dll
     396 wininit.exe          0x000007fefd0b0000 True   True   True  \Windows\System32\mswsock.dll
     396 wininit.exe          0x000007fefcac0000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     396 wininit.exe          0x000007feffcd0000 True   True   True  \Windows\System32\sechost.dll
     396 wininit.exe          0x000007fefd910000 True   True   True  \Windows\System32\profapi.dll
     396 wininit.exe          0x000007fefd0a0000 True   True   True  \Windows\System32\wship6.dll
     396 wininit.exe          0x000007fefd530000 True   True   True  \Windows\System32\secur32.dll
     396 wininit.exe          0x000007fefe360000 True   True   True  \Windows\System32\usp10.dll
     396 wininit.exe          0x000007fefdfa0000 True   True   True  \Windows\System32\advapi32.dll
     396 wininit.exe          0x000007feffbc0000 True   True   True  \Windows\System32\msctf.dll
     396 wininit.exe          0x000007feff290000 True   True   True  \Windows\System32\ws2_32.dll
     396 wininit.exe          0x000007fefccd0000 True   True   True  \Windows\System32\credssp.dll
     396 wininit.exe          0x000007fefd820000 True   True   True  \Windows\System32\RpcRtRemote.dll
     396 wininit.exe          0x000007fefd6e0000 True   True   True  \Windows\System32\sspicli.dll
     396 wininit.exe          0x000007fefe080000 True   True   True  \Windows\System32\msvcrt.dll
     396 wininit.exe          0x000007fefdeb0000 True   True   True  \Windows\System32\lpk.dll
     500 services.exe         0x0000000000cc0000 False  False  False \Windows\System32\en-US\scesrv.dll.mui
     500 services.exe         0x0000000077bd0000 True   True   True  \Windows\System32\ntdll.dll
     500 services.exe         0x000007fefd6b0000 True   True   True  \Windows\System32\scext.dll
     500 services.exe         0x0000000077da0000 True   True   True  \Windows\System32\psapi.dll
     500 services.exe         0x000007fefa4e0000 True   True   True  \Windows\System32\esent.dll
     500 services.exe         0x000007fefcac0000 True   True   True  \Windows\System32\WSHTCPIP.DLL
