Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000076dd0000 False  False  False \Windows\System32\ntdll.dll
       4 System               0x0000000076fb0000 False  False  False \Windows\SysWOW64\ntdll.dll
     240 smss.exe             0x0000000048470000 True   False  True  \Windows\System32\smss.exe
     240 smss.exe             0x0000000076dd0000 True   True   True  \Windows\System32\ntdll.dll
     340 csrss.exe            0x0000000002080000 False  False  False \Windows\Fonts\vgaoem.fon
     340 csrss.exe            0x0000000076cd0000 True   True   True  \Windows\System32\user32.dll
     340 csrss.exe            0x000007fefca90000 True   True   True  \Windows\System32\winsrv.dll
     340 csrss.exe            0x0000000076dd0000 True   True   True  \Windows\System32\ntdll.dll
     340 csrss.exe            0x000007fefe6e0000 True   True   True  \Windows\System32\sechost.dll
     340 csrss.exe            0x000007fefc980000 True   True   True  \Windows\System32\sxs.dll
     340 csrss.exe            0x000007fefe3f0000 True   True   True  \Windows\System32\usp10.dll
     340 csrss.exe            0x000007fefcad0000 True   True   True  \Windows\System32\basesrv.dll
     340 csrss.exe            0x000007fefced0000 True   True   True  \Windows\System32\msvcrt.dll
     340 csrss.exe            0x000007fefec10000 True   True   True  \Windows\System32\rpcrt4.dll
     340 csrss.exe            0x000007fefc970000 True   True   True  \Windows\System32\cryptbase.dll
     340 csrss.exe            0x000007fefce20000 True   True   True  \Windows\System32\KernelBase.dll
     340 csrss.exe            0x0000000076bb0000 True   True   True  \Windows\System32\kernel32.dll
     340 csrss.exe            0x000007fefcaf0000 True   True   True  \Windows\System32\csrsrv.dll
     340 csrss.exe            0x000007fefe090000 True   True   True  \Windows\System32\advapi32.dll
     340 csrss.exe            0x000007fefe5c0000 True   True   True  \Windows\System32\lpk.dll
     340 csrss.exe            0x000007fefca80000 True   True   True  \Windows\System32\sxssrv.dll
     340 csrss.exe            0x000007fefe380000 True   True   True  \Windows\System32\gdi32.dll
     340 csrss.exe            0x0000000049ad0000 True   False  True  \Windows\System32\csrss.exe
     392 wininit.exe          0x0000000076bb0000 True   True   True  \Windows\System32\kernel32.dll
     392 wininit.exe          0x0000000076dd0000 True   True   True  \Windows\System32\ntdll.dll
     392 wininit.exe          0x000007fefc2b0000 True   True   True  \Windows\System32\mswsock.dll
     392 wininit.exe          0x000007fefbcc0000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     392 wininit.exe          0x0000000076cd0000 True   True   True  \Windows\System32\user32.dll
     392 wininit.exe          0x000007fefc8e0000 True   True   True  \Windows\System32\sspicli.dll
     392 wininit.exe          0x00000000ff040000 True   False  True  \Windows\System32\wininit.exe
     392 wininit.exe          0x000007fefe5c0000 True   True   True  \Windows\System32\lpk.dll
     392 wininit.exe          0x000007fefec10000 True   True   True  \Windows\System32\rpcrt4.dll
     392 wininit.exe          0x000007fefce20000 True   True   True  \Windows\System32\KernelBase.dll
     392 wininit.exe          0x000007fefca20000 True   True   True  \Windows\System32\RpcRtRemote.dll
     392 wininit.exe          0x000007fefe090000 True   True   True  \Windows\System32\advapi32.dll
     392 wininit.exe          0x000007fefe4d0000 True   True   True  \Windows\System32\ws2_32.dll
     392 wininit.exe          0x000007fefe6e0000 True   True   True  \Windows\System32\sechost.dll
     392 wininit.exe          0x000007fefcb20000 True   True   True  \Windows\System32\profapi.dll
     392 wininit.exe          0x000007fefbf00000 True   True   True  \Windows\System32\credssp.dll
     392 wininit.exe          0x000007fefc910000 True   True   True  \Windows\System32\apphelp.dll
     392 wininit.exe          0x000007fefc720000 True   True   True  \Windows\System32\secur32.dll
     392 wininit.exe          0x000007fefc970000 True   True   True  \Windows\System32\cryptbase.dll
     392 wininit.exe          0x000007fefe380000 True   True   True  \Windows\System32\gdi32.dll
     392 wininit.exe          0x000007fefe5d0000 True   True   True  \Windows\System32\msctf.dll
     392 wininit.exe          0x000007fefebe0000 True   True   True  \Windows\System32\imm32.dll
     392 wininit.exe          0x000007fefced0000 True   True   True  \Windows\System32\msvcrt.dll
     392 wininit.exe          0x000007fefe3f0000 True   True   True  \Windows\System32\usp10.dll
     392 wininit.exe          0x000007fefe4c0000 True   True   True  \Windows\System32\nsi.dll
     392 wininit.exe          0x000007fefc2a0000 True   True   True  \Windows\System32\wship6.dll
     496 services.exe         0x0000000000be0000 False  False  False \Windows\System32\en-US\scesrv.dll.mui
     496 services.exe         0x0000000076bb0000 True   True   True  \Windows\System32\kernel32.dll
     496 services.exe         0x000007fefc2b0000 True   True   True  \Windows\System32\mswsock.dll
     496 services.exe         0x000007fefe170000 True   True   True  \Windows\System32\ole32.dll
     496 services.exe         0x00000000ff030000 True   False  True  \Windows\System32\services.exe
     496 services.exe         0x000007fefc8e0000 True   True   True  \Windows\System32\sspicli.dll
     496 services.exe         0x000007fefc4e0000 True   True   True  \Windows\System32\authz.dll
     496 services.exe         0x000007fefe5c0000 True   True   True  \Windows\System32\lpk.dll
     496 services.exe         0x0000000076dd0000 True   True   True  \Windows\System32\ntdll.dll
     496 services.exe         0x000007fef6370000 True   True   True  \Windows\System32\esent.dll
     496 services.exe         0x000007fefcdc0000 True   True   True  \Windows\System32\cfgmgr32.dll
     496 services.exe         0x000007fefe3f0000 True   True   True  \Windows\System32\usp10.dll
     496 services.exe         0x000007fefa600000 True   True   True  \Windows\System32\wtsapi32.dll
     496 services.exe         0x000007fefec10000 True   True   True  \Windows\System32\rpcrt4.dll
     496 services.exe         0x000007fefbe80000 True   True   True  \Windows\System32\ubpm.dll
     496 services.exe         0x000007fefce20000 True   True   True  \Windows\System32\KernelBase.dll
     496 services.exe         0x000007fefca40000 True   True   True  \Windows\System32\winsta.dll
     496 services.exe         0x000007fefca20000 True   True   True  \Windows\System32\RpcRtRemote.dll
     496 services.exe         0x000007fefc680000 True   True   True  \Windows\System32\srvcli.dll
     496 services.exe         0x000007fefe090000 True   True   True  \Windows\System32\advapi32.dll
     496 services.exe         0x000007fefce90000 True   True   True  \Windows\System32\devobj.dll
     496 services.exe         0x000007fefe4d0000 True   True   True  \Windows\System32\ws2_32.dll
     496 services.exe         0x000007fefe6e0000 True   True   True  \Windows\System32\sechost.dll
     496 services.exe         0x000007fefc8a0000 True   True   True  \Windows\System32\scext.dll
     496 services.exe         0x000007fefbf00000 True   True   True  \Windows\System32\credssp.dll
     496 services.exe         0x000007fefc910000 True   True   True  \Windows\System32\apphelp.dll
     496 services.exe         0x000007fefc720000 True   True   True  \Windows\System32\secur32.dll
     496 services.exe         0x000007fefc6b0000 True   True   True  \Windows\System32\scesrv.dll
     496 services.exe         0x000007fefc970000 True   True   True  \Windows\System32\cryptbase.dll
     496 services.exe         0x000007fefee20000 True   True   True  \Windows\System32\setupapi.dll
     496 services.exe         0x000007fefcb20000 True   True   True  \Windows\System32\profapi.dll
     496 services.exe         0x0000000076f90000 True   True   True  \Windows\System32\psapi.dll
     496 services.exe         0x000007fefe5d0000 True   True   True  \Windows\System32\msctf.dll
     496 services.exe         0x000007fefebe0000 True   True   True  \Windows\System32\imm32.dll
     496 services.exe         0x000007fefbdf0000 True   True   True  \Windows\System32\SPInf.dll
     496 services.exe         0x000007feff000000 True   True   True  \Windows\System32\oleaut32.dll
     496 services.exe         0x000007fefced0000 True   True   True  \Windows\System32\msvcrt.dll
     496 services.exe         0x000007fefbdd0000 True   True   True  \Windows\System32\devrtl.dll
     496 services.exe         0x000007fefe380000 True   True   True  \Windows\System32\gdi32.dll
     496 services.exe         0x000007fefbcc0000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     496 services.exe         0x0000000076cd0000 True   True   True  \Windows\System32\user32.dll
     496 services.exe         0x000007fefe4c0000 True   True   True  \Windows\System32\nsi.dll
     496 services.exe         0x000007fef9e70000 True   True   True  \Windows\System32\samlib.dll
     496 services.exe         0x000007fefc2a0000 True   True   True  \Windows\System32\wship6.dll
     512 lsass.exe            0x0000000076bb0000 True   True   True  \Windows\System32\kernel32.dll
     512 lsass.exe            0x00000000725d0000 True   True   True  \Windows\winsxs\amd64_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_08e61857a83bc251\msvcr90.dll
     512 lsass.exe            0x000007fefc2b0000 True   True   True  \Windows\System32\mswsock.dll
     512 lsass.exe            0x000007fefbcc0000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     512 lsass.exe            0x00000000ffd90000 True   False  True  \Windows\System32\lsass.exe
     512 lsass.exe            0x000007fefc4e0000 True   True   True  \Windows\System32\authz.dll
     512 lsass.exe            0x000007fefa2c0000 True   True   True  \Windows\System32\winnsi.dll
     512 lsass.exe            0x000007fefc310000 True   True   True  \Windows\System32\cryptsp.dll
     512 lsass.exe            0x000007fefc590000 True   True   True  \Windows\System32\cryptdll.dll
     512 lsass.exe            0x000007fefa100000 True   True   True  \Windows\System32\FWPUCLNT.DLL
     512 lsass.exe            0x000007fef6310000 True   True   True  \Windows\System32\dssenh.dll
     512 lsass.exe            0x000007fefc520000 True   True   True  \Windows\System32\wevtapi.dll
     512 lsass.exe            0x000007fefab30000 True   True   True  \Windows\System32\wkscli.dll
     512 lsass.exe            0x000007fefe5d0000 True   True   True  \Windows\System32\msctf.dll
     512 lsass.exe            0x0000000076dd0000 True   True   True  \Windows\System32\ntdll.dll
     512 lsass.exe            0x000007fefe090000 True   True   True  \Windows\System32\advapi32.dll
     512 lsass.exe            0x000007fefab50000 True   True   True  \Windows\System32\netapi32.dll
     512 lsass.exe            0x000007fefbf10000 True   True   True  \Windows\System32\pcwum.dll
     512 lsass.exe            0x000007fefc460000 True   True   True  \Windows\System32\bcrypt.dll
     512 lsass.exe            0x000007fefc330000 True   True   True  \Windows\System32\kerberos.dll
     512 lsass.exe            0x00000000748a0000 True   True   True  \Windows\System32\msprivs.dll
     512 lsass.exe            0x000007fefced0000 True   True   True  \Windows\System32\msvcrt.dll
     512 lsass.exe            0x000007fefc730000 True   True   True  \Windows\System32\lsasrv.dll
     512 lsass.exe            0x000007fefcd90000 True   True   True  \Windows\System32\userenv.dll
     512 lsass.exe            0x000007fefcb30000 True   True   True  \Windows\System32\crypt32.dll
     512 lsass.exe            0x000007fefc8d0000 True   True   True  \Windows\System32\sspisrv.dll
     512 lsass.exe            0x000007fefbff0000 True   True   True  \Windows\System32\TSpkg.dll
     512 lsass.exe            0x000007fefc5b0000 True   True   True  \Windows\System32\samsrv.dll
     512 lsass.exe            0x000007fefc010000 True   True   True  \Windows\System32\rsaenh.dll
     512 lsass.exe            0x000007fef6600000 True   True   True  \Windows\System32\CertPolEng.dll
     512 lsass.exe            0x000007fefce20000 True   True   True  \Windows\System32\KernelBase.dll
     512 lsass.exe            0x000007fef9c30000 True   True   True  \Windows\System32\rasadhlp.dll
     512 lsass.exe            0x000007fefc240000 True   True   True  \Windows\System32\msv1_0.dll
     512 lsass.exe            0x000007fef9850000 True   True   True  \Windows\System32\ntdsapi.dll
     512 lsass.exe            0x000007fefe6e0000 True   True   True  \Windows\System32\sechost.dll
     512 lsass.exe            0x000007fefca20000 True   True   True  \Windows\System32\RpcRtRemote.dll
     512 lsass.exe            0x000007fefbf00000 True   True   True  \Windows\System32\credssp.dll
     512 lsass.exe            0x000007fefc490000 True   True   True  \Windows\System32\ncrypt.dll
     512 lsass.exe            0x000007fefc2a0000 True   True   True  \Windows\System32\wship6.dll
     512 lsass.exe            0x000007fefc0a0000 True   True   True  \Windows\System32\schannel.dll
     512 lsass.exe            0x000007fefa0b0000 True   True   True  \Windows\System32\pstorsvc.dll
     512 lsass.exe            0x000007fefe4d0000 True   True   True  \Windows\System32\ws2_32.dll
     512 lsass.exe            0x000007fefbec0000 True   True   True  \Windows\System32\scecli.dll
     512 lsass.exe            0x000007fefa4d0000 True   True   True  \Windows\System32\samcli.dll
     512 lsass.exe            0x000007fefa2e0000 True   True   True  \Windows\System32\IPHLPAPI.DLL
     512 lsass.exe            0x000007fefc100000 True   True   True  \Windows\System32\logoncli.dll
     512 lsass.exe            0x000007fefc510000 True   True   True  \Windows\System32\cngaudit.dll
     512 lsass.exe            0x000007fefe380000 True   True   True  \Windows\System32\gdi32.dll
     512 lsass.exe            0x000007fefa510000 True   True   True  \Windows\System32\VMWSU_V1_0.DLL
     512 lsass.exe            0x000007fefca40000 True   True   True  \Windows\System32\winsta.dll
     512 lsass.exe            0x000007fefbf20000 True   True   True  \Windows\System32\efslsaext.dll
     512 lsass.exe            0x000007fefc130000 True   True   True  \Windows\System32\dnsapi.dll
     512 lsass.exe            0x000007fefec10000 True   True   True  \Windows\System32\rpcrt4.dll
     512 lsass.exe            0x000007fefbf40000 True   True   True  \Windows\System32\netutils.dll
     512 lsass.exe            0x000007fefe3f0000 True   True   True  \Windows\System32\usp10.dll
     512 lsass.exe            0x000007fefc720000 True   True   True  \Windows\System32\secur32.dll
     512 lsass.exe            0x000007fefcb10000 True   True   True  \Windows\System32\msasn1.dll
     512 lsass.exe            0x000007fefc970000 True   True   True  \Windows\System32\cryptbase.dll
     512 lsass.exe            0x000007fefcb20000 True   True   True  \Windows\System32\profapi.dll
     512 lsass.exe            0x000007fefc190000 True   True   True  \Windows\System32\netlogon.dll
     512 lsass.exe            0x0000000076cd0000 True   True   True  \Windows\System32\user32.dll
     512 lsass.exe            0x000007fefbfa0000 True   True   True  \Windows\System32\pku2u.dll
     512 lsass.exe            0x000007fefbdb0000 True   True   True  \Windows\System32\gpapi.dll
     512 lsass.exe            0x000007fef9bc0000 True   True   True  \Windows\System32\cryptnet.dll
     512 lsass.exe            0x000007fefa1d0000 True   True   True  \Windows\System32\dhcpcsvc.dll
     512 lsass.exe            0x000007fefebe0000 True   True   True  \Windows\System32\imm32.dll
     512 lsass.exe            0x000007fefed40000 True   True   True  \Windows\System32\Wldap32.dll
     512 lsass.exe            0x000007fefa800000 True   True   True  \Windows\System32\winbrand.dll
     512 lsass.exe            0x000007fefc3f0000 True   True   True  \Windows\System32\negoexts.dll
     512 lsass.exe            0x000007fef6210000 True   True   True  \Windows\System32\psbase.dll
     512 lsass.exe            0x000007fefa1f0000 True   True   True  \Windows\System32\dhcpcsvc6.dll
     512 lsass.exe            0x000007fefc420000 True   True   True  \Windows\System32\netjoin.dll
     512 lsass.exe            0x000007fefc8e0000 True   True   True  \Windows\System32\sspicli.dll
     512 lsass.exe            0x000007fefc680000 True   True   True  \Windows\System32\srvcli.dll
     512 lsass.exe            0x000007fefbf50000 True   True   True  \Windows\System32\bcryptprimitives.dll
     512 lsass.exe            0x000007fefab00000 True   True   True  \Windows\System32\dsrole.dll
     512 lsass.exe            0x000007fefc060000 True   True   True  \Windows\System32\wdigest.dll
     512 lsass.exe            0x000007fefe4c0000 True   True   True  \Windows\System32\nsi.dll
     512 lsass.exe            0x000007fefe5c0000 True   True   True  \Windows\System32\lpk.dll
     512 lsass.exe            0x000007fef8db0000 True   True   True  \Windows\System32\mpr.dll
     512 lsass.exe            0x000007fefaac0000 True   True   True  \Windows\System32\slc.dll
     520 lsm.exe              0x0000000000290000 False  False  False \Windows\System32\en-US\lsm.exe.mui
     520 lsm.exe              0x0000000076dd0000 True   True   True  \Windows\System32\ntdll.dll
     520 lsm.exe              0x000007fefc8c0000 True   True   True  \Windows\System32\sysntfy.dll
     520 lsm.exe              0x0000000076bb0000 True   True   True  \Windows\System32\kernel32.dll
     520 lsm.exe              0x000007fefe5c0000 True   True   True  \Windows\System32\lpk.dll
     520 lsm.exe              0x000007fefc310000 True   True   True  \Windows\System32\cryptsp.dll
     520 lsm.exe              0x000007fefbf10000 True   True   True  \Windows\System32\pcwum.dll
     520 lsm.exe              0x000007fefe520000 True   True   True  \Windows\System32\clbcatq.dll
     520 lsm.exe              0x000007fefed40000 True   True   True  \Windows\System32\Wldap32.dll
     520 lsm.exe              0x000007fefe090000 True   True   True  \Windows\System32\advapi32.dll
     520 lsm.exe              0x00000000ffbc0000 True   False  True  \Windows\System32\lsm.exe
     520 lsm.exe              0x000007fefe170000 True   True   True  \Windows\System32\ole32.dll
     520 lsm.exe              0x000007fefc010000 True   True   True  \Windows\System32\rsaenh.dll
     520 lsm.exe              0x000007fefe6e0000 True   True   True  \Windows\System32\sechost.dll
     520 lsm.exe              0x000007fefce20000 True   True   True  \Windows\System32\KernelBase.dll
     520 lsm.exe              0x000007fefca20000 True   True   True  \Windows\System32\RpcRtRemote.dll
     520 lsm.exe              0x000007fefbc90000 True   True   True  \Windows\System32\ntmarta.dll
     520 lsm.exe              0x000007fefbf00000 True   True   True  \Windows\System32\credssp.dll
     520 lsm.exe              0x000007fefc720000 True   True   True  \Windows\System32\secur32.dll
     520 lsm.exe              0x000007fefec10000 True   True   True  \Windows\System32\rpcrt4.dll
     520 lsm.exe              0x000007fefc970000 True   True   True  \Windows\System32\cryptbase.dll
     520 lsm.exe              0x000007fefe380000 True   True   True  \Windows\System32\gdi32.dll
     520 lsm.exe              0x0000000076cd0000 True   True   True  \Windows\System32\user32.dll
     520 lsm.exe              0x000007fefebe0000 True   True   True  \Windows\System32\imm32.dll
     520 lsm.exe              0x000007feff000000 True   True   True  \Windows\System32\oleaut32.dll
     520 lsm.exe              0x000007fefced0000 True   True   True  \Windows\System32\msvcrt.dll
     520 lsm.exe              0x000007fef7610000 True   True   True  \Windows\System32\lsmproxy.dll
     520 lsm.exe              0x000007fefe3f0000 True   True   True  \Windows\System32\usp10.dll
     520 lsm.exe              0x000007fefc8e0000 True   True   True  \Windows\System32\sspicli.dll
     520 lsm.exe              0x000007fefc670000 True   True   True  \Windows\System32\wmsgapi.dll
     520 lsm.exe              0x000007fefe5d0000 True   True   True  \Windows\System32\msctf.dll
     636 svchost.exe          0x0000000076dd0000 True   True   True  \Windows\System32\ntdll.dll
     636 svchost.exe          0x0000000072680000 True   True   True  \Windows\System32\sfc.dll
     636 svchost.exe          0x000007fefe170000 True   True   True  \Windows\System32\ole32.dll
     636 svchost.exe          0x0000000076bb0000 True   True   True  \Windows\System32\kernel32.dll
     636 svchost.exe          0x000007fefc8e0000 True   True   True  \Windows\System32\sspicli.dll
     636 svchost.exe          0x000007fef8240000 True   True   True  \Windows\System32\wbem\WmiDcPrv.dll
     636 svchost.exe          0x000007fefc310000 True   True   True  \Windows\System32\cryptsp.dll
     636 svchost.exe          0x000007fef9690000 True   True   True  \Windows\System32\sfc_os.dll
     636 svchost.exe          0x000007fefbf10000 True   True   True  \Windows\System32\pcwum.dll
     636 svchost.exe          0x000007fefe520000 True   True   True  \Windows\System32\clbcatq.dll
     636 svchost.exe          0x000007fefcb10000 True   True   True  \Windows\System32\msasn1.dll
     636 svchost.exe          0x000007fefed40000 True   True   True  \Windows\System32\Wldap32.dll
     636 svchost.exe          0x000007fefccb0000 True   True   True  \Windows\System32\wintrust.dll
     636 svchost.exe          0x000007fefe5c0000 True   True   True  \Windows\System32\lpk.dll
     636 svchost.exe          0x000007fefbd80000 True   True   True  \Windows\System32\umpo.dll
     636 svchost.exe          0x000007fefc460000 True   True   True  \Windows\System32\bcrypt.dll
     636 svchost.exe          0x000007fefcdc0000 True   True   True  \Windows\System32\cfgmgr32.dll
     636 svchost.exe          0x000007fefbbd0000 True   True   True  \Windows\System32\FirewallAPI.dll
     636 svchost.exe          0x000007fefe3f0000 True   True   True  \Windows\System32\usp10.dll
     636 svchost.exe          0x000007fefc010000 True   True   True  \Windows\System32\rsaenh.dll
     636 svchost.exe          0x000007fefa600000 True   True   True  \Windows\System32\wtsapi32.dll
     636 svchost.exe          0x000007fefca20000 True   True   True  \Windows\System32\RpcRtRemote.dll
     636 svchost.exe          0x000007fefca40000 True   True   True  \Windows\System32\winsta.dll
     636 svchost.exe          0x000007fef9850000 True   True   True  \Windows\System32\ntdsapi.dll
     636 svchost.exe          0x000007fefe090000 True   True   True  \Windows\System32\advapi32.dll
     636 svchost.exe          0x000007fefcb30000 True   True   True  \Windows\System32\crypt32.dll
     636 svchost.exe          0x000007fef7c90000 True   True   True  \Windows\System32\wbem\wbemsvc.dll
     636 svchost.exe          0x000007fefce20000 True   True   True  \Windows\System32\KernelBase.dll
     636 svchost.exe          0x000007fef84b0000 True   True   True  \Windows\System32\wbemcomn2.dll
     636 svchost.exe          0x000007fefce90000 True   True   True  \Windows\System32\devobj.dll
     636 svchost.exe          0x000007fefe4d0000 True   True   True  \Windows\System32\ws2_32.dll
     636 svchost.exe          0x000007fefe6e0000 True   True   True  \Windows\System32\sechost.dll
     636 svchost.exe          0x000007fefcb20000 True   True   True  \Windows\System32\profapi.dll
     636 svchost.exe          0x000007fefbf00000 True   True   True  \Windows\System32\credssp.dll
     636 svchost.exe          0x000007fef8110000 True   True   True  \Windows\System32\wbem\wbemprox.dll
     636 svchost.exe          0x000007fefc910000 True   True   True  \Windows\System32\apphelp.dll
     636 svchost.exe          0x000007fef3130000 True   True   True  \Windows\System32\msi.dll
     636 svchost.exe          0x000007fefec10000 True   True   True  \Windows\System32\rpcrt4.dll
     636 svchost.exe          0x000007fefc980000 True   True   True  \Windows\System32\sxs.dll
     636 svchost.exe          0x000007fefd240000 True   True   True  \Windows\System32\shell32.dll
     636 svchost.exe          0x000007fefeb60000 True   True   True  \Windows\System32\shlwapi.dll
     636 svchost.exe          0x000007fefc970000 True   True   True  \Windows\System32\cryptbase.dll
