Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000077410000 False  False  False \Windows\System32\ntdll.dll
       4 System               0x00000000775f0000 False  False  False \Windows\SysWOW64\ntdll.dll
     240 smss.exe             0x0000000047ec0000 True   False  True  \Windows\System32\smss.exe
     240 smss.exe             0x0000000077410000 True   True   True  \Windows\System32\ntdll.dll
     380 csrss.exe            0x0000000002360000 False  False  False \Windows\Fonts\ega40woa.fon
     380 csrss.exe            0x00000000000b0000 False  False  False \Windows\Fonts\vgasys.fon
     380 csrss.exe            0x0000000002350000 False  False  False \Windows\Fonts\cga80woa.fon
     380 csrss.exe            0x000007fefd0d0000 True   True   True  \Windows\System32\cryptbase.dll
     380 csrss.exe            0x000007fefcf70000 True   True   True  \Windows\System32\sxs.dll
     380 csrss.exe            0x0000000002460000 False  False  False \Windows\System32\en-US\ntdll.dll.mui
     380 csrss.exe            0x0000000077310000 True   True   True  \Windows\System32\user32.dll
     380 csrss.exe            0x000007fefd100000 True   True   True  \Windows\System32\sxssrv.dll
     380 csrss.exe            0x0000000000ca0000 False  False  False \Windows\Fonts\vgaoem.fon
     380 csrss.exe            0x0000000000cc0000 False  False  False \Windows\Fonts\cga40woa.fon
     380 csrss.exe            0x000007fefd090000 True   True   True  \Windows\System32\winsrv.dll
     380 csrss.exe            0x0000000049980000 True   False  True  \Windows\System32\csrss.exe
     380 csrss.exe            0x000007fefd130000 True   True   True  \Windows\System32\basesrv.dll
     380 csrss.exe            0x000007fefd950000 True   True   True  \Windows\System32\msvcrt.dll
     380 csrss.exe            0x0000000077410000 True   True   True  \Windows\System32\ntdll.dll
     380 csrss.exe            0x000007fefdfc0000 True   True   True  \Windows\System32\lpk.dll
     380 csrss.exe            0x000007fefe4a0000 True   True   True  \Windows\System32\rpcrt4.dll
     380 csrss.exe            0x000007fefe130000 True   True   True  \Windows\System32\sechost.dll
     380 csrss.exe            0x000007fefe1b0000 True   True   True  \Windows\System32\advapi32.dll
     380 csrss.exe            0x0000000000cb0000 False  False  False \Windows\Fonts\dosapp.fon
     380 csrss.exe            0x00000000771f0000 True   True   True  \Windows\System32\kernel32.dll
     380 csrss.exe            0x000007fefd110000 True   True   True  \Windows\System32\csrsrv.dll
     380 csrss.exe            0x000007fefe650000 True   True   True  \Windows\System32\gdi32.dll
     380 csrss.exe            0x000007fefd880000 True   True   True  \Windows\System32\usp10.dll
     380 csrss.exe            0x000007fefd3b0000 True   True   True  \Windows\System32\KernelBase.dll
     440 wininit.exe          0x00000000771f0000 True   True   True  \Windows\System32\kernel32.dll
     440 wininit.exe          0x0000000077410000 True   True   True  \Windows\System32\ntdll.dll
     440 wininit.exe          0x0000000077310000 True   True   True  \Windows\System32\user32.dll
     440 wininit.exe          0x000007fefc8e0000 True   True   True  \Windows\System32\wship6.dll
     440 wininit.exe          0x000007fefdfb0000 True   True   True  \Windows\System32\nsi.dll
     440 wininit.exe          0x000007fefcf10000 True   True   True  \Windows\System32\apphelp.dll
     440 wininit.exe          0x000007fefd160000 True   True   True  \Windows\System32\profapi.dll
     440 wininit.exe          0x00000000ff5a0000 True   False  True  \Windows\System32\wininit.exe
     440 wininit.exe          0x000007fefd0e0000 True   True   True  \Windows\System32\RpcRtRemote.dll
     440 wininit.exe          0x000007fefd0d0000 True   True   True  \Windows\System32\cryptbase.dll
     440 wininit.exe          0x000007fefc8f0000 True   True   True  \Windows\System32\mswsock.dll
     440 wininit.exe          0x000007fefc300000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     440 wininit.exe          0x000007fefe130000 True   True   True  \Windows\System32\sechost.dll
     440 wininit.exe          0x000007fefc550000 True   True   True  \Windows\System32\credssp.dll
     440 wininit.exe          0x000007fefdf60000 True   True   True  \Windows\System32\ws2_32.dll
     440 wininit.exe          0x000007fefe1b0000 True   True   True  \Windows\System32\advapi32.dll
     440 wininit.exe          0x000007fefdfc0000 True   True   True  \Windows\System32\lpk.dll
     440 wininit.exe          0x000007fefe4a0000 True   True   True  \Windows\System32\rpcrt4.dll
     440 wininit.exe          0x000007fefd9f0000 True   True   True  \Windows\System32\msctf.dll
     440 wininit.exe          0x000007fefced0000 True   True   True  \Windows\System32\secur32.dll
     440 wininit.exe          0x000007fefd850000 True   True   True  \Windows\System32\imm32.dll
     440 wininit.exe          0x000007fefd950000 True   True   True  \Windows\System32\msvcrt.dll
     440 wininit.exe          0x000007fefe650000 True   True   True  \Windows\System32\gdi32.dll
     440 wininit.exe          0x000007fefd060000 True   True   True  \Windows\System32\sspicli.dll
     440 wininit.exe          0x000007fefd880000 True   True   True  \Windows\System32\usp10.dll
     440 wininit.exe          0x000007fefd3b0000 True   True   True  \Windows\System32\KernelBase.dll
     536 services.exe         0x0000000000e80000 False  False  False \Windows\System32\en-US\scesrv.dll.mui
     536 services.exe         0x0000000077410000 True   True   True  \Windows\System32\ntdll.dll
