Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x00000000777e0000 False  False  False \Windows\System32\ntdll.dll
       4 System               0x00000000779c0000 False  False  False \Windows\SysWOW64\ntdll.dll
     252 smss.exe             0x0000000047cf0000 True   False  True  \Windows\System32\smss.exe
     252 smss.exe             0x00000000777e0000 True   True   True  \Windows\System32\ntdll.dll
     356 csrss.exe            0x00000000001b0000 False  False  False \Windows\Fonts\vgasys.fon
     356 csrss.exe            0x0000000002470000 False  False  False \Windows\Fonts\vgaoem.fon
     356 csrss.exe            0x00000000024b0000 False  False  False \Windows\Fonts\ega40woa.fon
     356 csrss.exe            0x000007fefd4e0000 True   True   True  \Windows\System32\basesrv.dll
     356 csrss.exe            0x000007fefd390000 True   True   True  \Windows\System32\sxs.dll
     356 csrss.exe            0x000007fefd500000 True   True   True  \Windows\System32\csrsrv.dll
     356 csrss.exe            0x00000000024a0000 False  False  False \Windows\Fonts\cga80woa.fon
     356 csrss.exe            0x00000000777e0000 True   True   True  \Windows\System32\ntdll.dll
     356 csrss.exe            0x0000000002480000 False  False  False \Windows\Fonts\dosapp.fon
     356 csrss.exe            0x000007fefdc10000 True   True   True  \Windows\System32\advapi32.dll
     356 csrss.exe            0x000007fefd380000 True   True   True  \Windows\System32\cryptbase.dll
     356 csrss.exe            0x000007fefde20000 True   True   True  \Windows\System32\msvcrt.dll
     356 csrss.exe            0x000007feff040000 True   True   True  \Windows\System32\lpk.dll
     356 csrss.exe            0x000007feff050000 True   True   True  \Windows\System32\sechost.dll
     356 csrss.exe            0x000007fefd490000 True   True   True  \Windows\System32\sxssrv.dll
     356 csrss.exe            0x000007fefdaa0000 True   True   True  \Windows\System32\usp10.dll
     356 csrss.exe            0x000007fefdf20000 True   True   True  \Windows\System32\gdi32.dll
     356 csrss.exe            0x00000000775c0000 True   True   True  \Windows\System32\user32.dll
     356 csrss.exe            0x0000000002490000 False  False  False \Windows\Fonts\cga40woa.fon
     356 csrss.exe            0x000007fefdcf0000 True   True   True  \Windows\System32\rpcrt4.dll
     356 csrss.exe            0x00000000776c0000 True   True   True  \Windows\System32\kernel32.dll
     356 csrss.exe            0x000007fefd4a0000 True   True   True  \Windows\System32\winsrv.dll
     356 csrss.exe            0x0000000049ee0000 True   False  True  \Windows\System32\csrss.exe
     356 csrss.exe            0x000007fefd700000 True   True   True  \Windows\System32\KernelBase.dll
     428 csrss.exe            0x0000000049ee0000 True   False  True  \Windows\System32\csrss.exe
     428 csrss.exe            0x0000000000170000 False  False  False \Windows\Fonts\vgasys.fon
     428 csrss.exe            0x00000000776c0000 True   True   True  \Windows\System32\kernel32.dll
     428 csrss.exe            0x000007fefd4a0000 True   True   True  \Windows\System32\winsrv.dll
     428 csrss.exe            0x000007fefd390000 True   True   True  \Windows\System32\sxs.dll
     428 csrss.exe            0x000007fefdcf0000 True   True   True  \Windows\System32\rpcrt4.dll
     428 csrss.exe            0x000007fefd490000 True   True   True  \Windows\System32\sxssrv.dll
     428 csrss.exe            0x000007fefd700000 True   True   True  \Windows\System32\KernelBase.dll
     428 csrss.exe            0x000007fefd380000 True   True   True  \Windows\System32\cryptbase.dll
     428 csrss.exe            0x000007fefde20000 True   True   True  \Windows\System32\msvcrt.dll
     428 csrss.exe            0x000007feff040000 True   True   True  \Windows\System32\lpk.dll
