Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
     392 csrss.exe            0x00007ffd1aa00000 True   True   True  \Windows\System32\basesrv.dll
     392 csrss.exe            0x00007ffd1a810000 True   True   True  \Windows\System32\sxs.dll
     392 csrss.exe            0x00007ffd1aa20000 True   True   True  \Windows\System32\csrsrv.dll
     392 csrss.exe            0x00007ffd1b850000 True   True   True  \Windows\System32\rpcrt4.dll
     392 csrss.exe            0x0000002082c70000 False  False  False \Windows\Fonts\vgasys.fon
     392 csrss.exe            0x0000002084eb0000 False  False  False \Windows\Fonts\vgaoem.fon
     392 csrss.exe            0x00007ffd1ac90000 True   True   True  \Windows\System32\sspicli.dll
     392 csrss.exe            0x00007ffd1a790000 True   True   True  \Windows\System32\bcryptprimitives.dll
     392 csrss.exe            0x0000002084ed0000 False  False  False \Windows\Fonts\cga40woa.fon
     392 csrss.exe            0x0000002084ef0000 False  False  False \Windows\Fonts\ega40woa.fon
     392 csrss.exe            0x00007ffd1a9b0000 True   True   True  \Windows\System32\sxssrv.dll
     392 csrss.exe            0x00007ff7aae50000 True   False  True  \Windows\System32\csrss.exe
     392 csrss.exe            0x0000002084ec0000 False  False  False \Windows\Fonts\dosapp.fon
     392 csrss.exe            0x00007ffd1a800000 True   True   True  \Windows\System32\cryptbase.dll
     392 csrss.exe            0x0000002084ee0000 False  False  False \Windows\Fonts\cga80woa.fon
     392 csrss.exe            0x00007ffd1b6d0000 True   True   True  \Windows\System32\user32.dll
     392 csrss.exe            0x00007ffd1b0b0000 True   True   True  \Windows\System32\gdi32.dll
     392 csrss.exe            0x00007ffd1bce0000 True   True   True  \Windows\System32\sechost.dll
     392 csrss.exe            0x00007ffd1a9c0000 True   True   True  \Windows\System32\winsrv.dll
     392 csrss.exe            0x00007ffd1ad20000 True   True   True  \Windows\System32\KernelBase.dll
     392 csrss.exe            0x00007ffd1d730000 True   True   True  \Windows\System32\kernel32.dll
     392 csrss.exe            0x00007ffd1d870000 True   True   True  \Windows\System32\ntdll.dll
     456 csrss.exe            0x00007ffd1d870000 True   True   True  \Windows\System32\ntdll.dll
     456 csrss.exe            0x00007ffd1b0b0000 True   True   True  \Windows\System32\gdi32.dll
     456 csrss.exe            0x00007ffd1ac90000 True   True   True  \Windows\System32\sspicli.dll
     456 csrss.exe            0x00007ffd1a9b0000 True   True   True  \Windows\System32\sxssrv.dll
     456 csrss.exe            0x00007ffd1aa20000 True   True   True  \Windows\System32\csrsrv.dll
     456 csrss.exe            0x00007ffd1a9c0000 True   True   True  \Windows\System32\winsrv.dll
     456 csrss.exe            0x00007ffd1b6d0000 True   True   True  \Windows\System32\user32.dll
     456 csrss.exe            0x00007ffd1a800000 True   True   True  \Windows\System32\cryptbase.dll
     456 csrss.exe            0x00007ffd1bce0000 True   True   True  \Windows\System32\sechost.dll
     456 csrss.exe            0x00007ffd1d730000 True   True   True  \Windows\System32\kernel32.dll
     456 csrss.exe            0x00007ff7aae50000 True   False  True  \Windows\System32\csrss.exe
     456 csrss.exe            0x00007ffd1aa00000 True   True   True  \Windows\System32\basesrv.dll
     456 csrss.exe            0x00007ffd1a790000 True   True   True  \Windows\System32\bcryptprimitives.dll
     456 csrss.exe            0x00007ffd1ad20000 True   True   True  \Windows\System32\KernelBase.dll
     456 csrss.exe            0x000000daa5780000 False  False  False \Windows\Fonts\vgasys.fon
     456 csrss.exe            0x00007ffd1a810000 True   True   True  \Windows\System32\sxs.dll
     456 csrss.exe            0x00007ffd1b850000 True   True   True  \Windows\System32\rpcrt4.dll
     464 wininit.exe          0x00007ffd1d870000 True   True   True  \Windows\System32\ntdll.dll
     464 wininit.exe          0x00007ffd1b0b0000 True   True   True  \Windows\System32\gdi32.dll
     464 wininit.exe          0x00007ffd1a990000 True   True   True  \Windows\System32\profapi.dll
     464 wininit.exe          0x00007ffd1bb10000 True   True   True  \Windows\System32\msvcrt.dll
     464 wininit.exe          0x00007ffd1a910000 True   True   True  \Windows\System32\wininitext.dll
     464 wininit.exe          0x00007ffd1b6d0000 True   True   True  \Windows\System32\user32.dll
     464 wininit.exe          0x00007ffd1a170000 True   True   True  \Windows\System32\mswsock.dll
     464 wininit.exe          0x00007ffd1bce0000 True   True   True  \Windows\System32\sechost.dll
     464 wininit.exe          0x00007ffd1bcd0000 True   True   True  \Windows\System32\nsi.dll
     464 wininit.exe          0x00007ff638f10000 True   False  True  \Windows\System32\wininit.exe
     464 wininit.exe          0x00007ffd1ad20000 True   True   True  \Windows\System32\KernelBase.dll
     464 wininit.exe          0x00007ffd1b990000 True   True   True  \Windows\System32\ws2_32.dll
     464 wininit.exe          0x00007ffd1d730000 True   True   True  \Windows\System32\kernel32.dll
     464 wininit.exe          0x00007ffd1ac90000 True   True   True  \Windows\System32\sspicli.dll
     464 wininit.exe          0x00007ffd1b850000 True   True   True  \Windows\System32\rpcrt4.dll
     492 winlogon.exe         0x00007ffd1b560000 True   True   True  \Windows\System32\msctf.dll
     492 winlogon.exe         0x00007ffd1a790000 True   True   True  \Windows\System32\bcryptprimitives.dll
     492 winlogon.exe         0x00007ffd1b850000 True   True   True  \Windows\System32\rpcrt4.dll
     492 winlogon.exe         0x00007ffd1b260000 True   True   True  \Windows\System32\combase.dll
     492 winlogon.exe         0x00007ffd1d870000 True   True   True  \Windows\System32\ntdll.dll
     492 winlogon.exe         0x00007ffd1ac90000 True   True   True  \Windows\System32\sspicli.dll
     492 winlogon.exe         0x00007ffd18cb0000 True   True   True  \Windows\System32\UXInit.dll
     492 winlogon.exe         0x00007ffd1a920000 True   True   True  \Windows\System32\winlogonext.dll
     492 winlogon.exe         0x00007ffd18ae0000 True   True   True  \Windows\System32\dpapi.dll
     492 winlogon.exe         0x00007ffd1b0b0000 True   True   True  \Windows\System32\gdi32.dll
     492 winlogon.exe         0x00007ffd1d730000 True   True   True  \Windows\System32\kernel32.dll
