Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x00000000777f0000 False  False  False \Windows\SysWOW64\ntdll.dll
     248 smss.exe             0x00007ff7c0620000 True   False  True  \Windows\System32\smss.exe
     348 csrss.exe            0x0000001cb22e0000 False  False  False \Windows\Fonts\cga80woa.fon
     348 csrss.exe            0x0000001cb22c0000 False  False  False \Windows\Fonts\dosapp.fon
     348 csrss.exe            0x00007ff89e4c0000 True   True   True  \Windows\System32\winsrv.dll
     348 csrss.exe            0x00007ff89e300000 True   True   True  \Windows\System32\cryptbase.dll
     348 csrss.exe            0x00007ff89e4b0000 True   True   True  \Windows\System32\sxssrv.dll
     348 csrss.exe            0x0000001cb0640000 False  False  False \Windows\Fonts\vgasys.fon
     348 csrss.exe            0x00007ff89f190000 True   True   True  \Windows\System32\sechost.dll
     348 csrss.exe            0x0000001cb22d0000 False  False  False \Windows\Fonts\cga40woa.fon
     348 csrss.exe            0x00007ff89e820000 True   True   True  \Windows\System32\KernelBase.dll
     348 csrss.exe            0x0000001cb22b0000 False  False  False \Windows\Fonts\vgaoem.fon
     348 csrss.exe            0x0000001cb22f0000 False  False  False \Windows\Fonts\ega40woa.fon
     348 csrss.exe            0x00007ff89e9f0000 True   True   True  \Windows\System32\kernel32.dll
     348 csrss.exe            0x00007ff89e500000 True   True   True  \Windows\System32\basesrv.dll
     348 csrss.exe            0x00007ff89e310000 True   True   True  \Windows\System32\sxs.dll
     348 csrss.exe            0x00007ff8a1370000 True   True   True  \Windows\System32\ntdll.dll
     348 csrss.exe            0x00007ff89e520000 True   True   True  \Windows\System32\csrsrv.dll
     348 csrss.exe            0x00007ff89eb30000 True   True   True  \Windows\System32\gdi32.dll
     348 csrss.exe            0x00007ff89e5c0000 True   True   True  \Windows\System32\sspicli.dll
     348 csrss.exe            0x00007ff89ede0000 True   True   True  \Windows\System32\user32.dll
     348 csrss.exe            0x00007ff8a07f0000 True   True   True  \Windows\System32\rpcrt4.dll
     348 csrss.exe            0x00007ff6b5ef0000 True   False  True  \Windows\System32\csrss.exe
