Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000077b70000 False  False  False \Windows\SysWOW64\ntdll.dll
       4 System               0x00007ffb90490000 False  False  False \Windows\System32\ntdll.dll
     240 smss.exe             0x00007ffb90490000 True   True   True  \Windows\System32\ntdll.dll
     240 smss.exe             0x00007ff6d0680000 True   False  True  \Windows\System32\smss.exe
     352 csrss.exe            0x00007ffb8f860000 True   True   True  \Windows\System32\sechost.dll
     352 csrss.exe            0x00007ffb8d480000 True   True   True  \Windows\System32\cryptbase.dll
     352 csrss.exe            0x00007ffb90490000 True   True   True  \Windows\System32\ntdll.dll
     352 csrss.exe            0x0000004eaaa40000 False  False  False \Windows\Fonts\vgasys.fon
     352 csrss.exe            0x0000004eacdd0000 False  False  False \Windows\Fonts\cga80woa.fon
     352 csrss.exe            0x0000004eacdb0000 False  False  False \Windows\Fonts\dosapp.fon
     352 csrss.exe            0x00007ffb8d5e0000 True   True   True  \Windows\System32\winsrv.dll
     352 csrss.exe            0x00007ffb8d9a0000 True   True   True  \Windows\System32\KernelBase.dll
     352 csrss.exe            0x00007ffb8d410000 True   True   True  \Windows\System32\bcryptprimitives.dll
     352 csrss.exe            0x00007ffb8d620000 True   True   True  \Windows\System32\basesrv.dll
     352 csrss.exe            0x00007ffb8d640000 True   True   True  \Windows\System32\csrsrv.dll
     352 csrss.exe            0x00007ffb8f470000 True   True   True  \Windows\System32\user32.dll
     352 csrss.exe            0x00007ffb8fc80000 True   True   True  \Windows\System32\gdi32.dll
     352 csrss.exe            0x0000004eacda0000 False  False  False \Windows\Fonts\vgaoem.fon
     352 csrss.exe            0x00007ffb8f2c0000 True   True   True  \Windows\System32\kernel32.dll
     352 csrss.exe            0x0000004eacde0000 False  False  False \Windows\Fonts\ega40woa.fon
     352 csrss.exe            0x0000004eacdc0000 False  False  False \Windows\Fonts\cga40woa.fon
     352 csrss.exe            0x00007ffb8d490000 True   True   True  \Windows\System32\sxs.dll
     352 csrss.exe            0x00007ffb8d860000 True   True   True  \Windows\System32\sspicli.dll
     352 csrss.exe            0x00007ffb8d5d0000 True   True   True  \Windows\System32\sxssrv.dll
     352 csrss.exe            0x00007ff7ec220000 True   False  True  \Windows\System32\csrss.exe
     352 csrss.exe            0x00007ffb8f040000 True   True   True  \Windows\System32\rpcrt4.dll
     416 csrss.exe            0x00007ffb8f040000 True   True   True  \Windows\System32\rpcrt4.dll
     416 csrss.exe            0x00007ffb8d490000 True   True   True  \Windows\System32\sxs.dll
     416 csrss.exe            0x00007ffb8d860000 True   True   True  \Windows\System32\sspicli.dll
     416 csrss.exe            0x00007ffb8f470000 True   True   True  \Windows\System32\user32.dll
     416 csrss.exe            0x00007ffb8fc80000 True   True   True  \Windows\System32\gdi32.dll
     416 csrss.exe            0x0000008acdcf0000 False  False  False \Windows\Fonts\vgasys.fon
     416 csrss.exe            0x00007ffb8d410000 True   True   True  \Windows\System32\bcryptprimitives.dll
