Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
     244 smss.exe             0x00007ff6d5710000 True   False  True  \Windows\System32\smss.exe
     368 csrss.exe            0x00007fffba950000 True   True   True  \Windows\System32\basesrv.dll
     368 csrss.exe            0x00007fffbb210000 True   True   True  \Windows\System32\sechost.dll
     368 csrss.exe            0x00007fffba850000 True   True   True  \Windows\System32\cryptbase.dll
     368 csrss.exe            0x00007fffbafa0000 True   True   True  \Windows\System32\kernel32.dll
     368 csrss.exe            0x00007fffba970000 True   True   True  \Windows\System32\csrsrv.dll
     368 csrss.exe            0x00007fffbd7c0000 True   True   True  \Windows\System32\ntdll.dll
     368 csrss.exe            0x0000009f1f3c0000 False  False  False \Windows\Fonts\vgaoem.fon
     368 csrss.exe            0x00007fffba6e0000 True   True   True  \Windows\System32\bcryptprimitives.dll
     368 csrss.exe            0x00007fffbacf0000 True   True   True  \Windows\System32\sspicli.dll
     368 csrss.exe            0x00007fffba900000 True   True   True  \Windows\System32\sxssrv.dll
     368 csrss.exe            0x00007fffbae50000 True   True   True  \Windows\System32\gdi32.dll
     368 csrss.exe            0x00007fffba910000 True   True   True  \Windows\System32\winsrv.dll
     368 csrss.exe            0x00007fffbad20000 True   True   True  \Windows\System32\KernelBase.dll
     368 csrss.exe            0x00007fffbcef0000 True   True   True  \Windows\System32\rpcrt4.dll
     368 csrss.exe            0x00007ff643340000 True   False  True  \Windows\System32\csrss.exe
     368 csrss.exe            0x00007fffba750000 True   True   True  \Windows\System32\sxs.dll
     368 csrss.exe            0x0000009f1d4d0000 False  False  False \Windows\Fonts\vgasys.fon
     368 csrss.exe            0x0000009f1d4a0000 False  False  False \Windows\System32\en-US\csrss.exe.mui
     368 csrss.exe            0x00007fffbd270000 True   True   True  \Windows\System32\user32.dll
     368 csrss.exe            0x0000009f1d4b0000 False  False  False \Windows\System32\en-US\winsrv.dll.mui
     424 csrss.exe            0x00007fffba750000 True   True   True  \Windows\System32\sxs.dll
     424 csrss.exe            0x00007fffbafa0000 True   True   True  \Windows\System32\kernel32.dll
     424 csrss.exe            0x000000a716d30000 False  False  False \Windows\System32\en-US\winsrv.dll.mui
     424 csrss.exe            0x00007fffbd7c0000 True   True   True  \Windows\System32\ntdll.dll
     424 csrss.exe            0x000000a717600000 False  False  False \Windows\Fonts\vgasys.fon
     424 csrss.exe            0x00007fffba6e0000 True   True   True  \Windows\System32\bcryptprimitives.dll
     424 csrss.exe            0x00007fffbb210000 True   True   True  \Windows\System32\sechost.dll
     424 csrss.exe            0x00007fffbacf0000 True   True   True  \Windows\System32\sspicli.dll
     424 csrss.exe            0x00007fffba900000 True   True   True  \Windows\System32\sxssrv.dll
     424 csrss.exe            0x00007fffbae50000 True   True   True  \Windows\System32\gdi32.dll
     424 csrss.exe            0x00007fffba910000 True   True   True  \Windows\System32\winsrv.dll
     424 csrss.exe            0x00007fffbad20000 True   True   True  \Windows\System32\KernelBase.dll
     424 csrss.exe            0x00007fffbcef0000 True   True   True  \Windows\System32\rpcrt4.dll
     424 csrss.exe            0x00007ff643340000 True   False  True  \Windows\System32\csrss.exe
     424 csrss.exe            0x00007fffba950000 True   True   True  \Windows\System32\basesrv.dll
     424 csrss.exe            0x00007fffba970000 True   True   True  \Windows\System32\csrsrv.dll
     424 csrss.exe            0x000000a716d20000 False  False  False \Windows\System32\en-US\csrss.exe.mui
     424 csrss.exe            0x00007fffbd270000 True   True   True  \Windows\System32\user32.dll
     424 csrss.exe            0x00007fffba850000 True   True   True  \Windows\System32\cryptbase.dll
     432 wininit.exe          0x00007fffbd480000 True   True   True  \Windows\System32\ws2_32.dll
     432 wininit.exe          0x00007fffbd3f0000 True   True   True  \Windows\System32\nsi.dll
