Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x00007ffea6c00000 False  False  False \Windows\System32\ntdll.dll
     236 smss.exe             0x00007ffea6c00000 True   True   True  \Windows\System32\ntdll.dll
     236 smss.exe             0x00007ff63e790000 True   False  True  \Windows\System32\smss.exe
     348 csrss.exe            0x0000008dc7190000 False  False  False \Windows\Fonts\vgasys.fon
     348 csrss.exe            0x00007ffea5e60000 True   True   True  \Windows\System32\user32.dll
     348 csrss.exe            0x0000008dc8dc0000 False  False  False \Windows\Fonts\dosapp.fon
     348 csrss.exe            0x0000008dc8df0000 False  False  False \Windows\Fonts\ega40woa.fon
     348 csrss.exe            0x00007ffea62a0000 True   True   True  \Windows\System32\rpcrt4.dll
     348 csrss.exe            0x00007ffea6ac0000 True   True   True  \Windows\System32\kernel32.dll
     348 csrss.exe            0x00007ffea40d0000 True   True   True  \Windows\System32\sspicli.dll
     348 csrss.exe            0x00007ffea3b80000 True   True   True  \Windows\System32\bcryptprimitives.dll
     348 csrss.exe            0x00007ffea3d90000 True   True   True  \Windows\System32\basesrv.dll
     348 csrss.exe            0x00007ffea3db0000 True   True   True  \Windows\System32\csrsrv.dll
     348 csrss.exe            0x00007ffea3c00000 True   True   True  \Windows\System32\sxs.dll
     348 csrss.exe            0x00007ffea5d10000 True   True   True  \Windows\System32\gdi32.dll
     348 csrss.exe            0x00007ffea3d50000 True   True   True  \Windows\System32\winsrv.dll
     348 csrss.exe            0x0000008dc8db0000 False  False  False \Windows\Fonts\vgaoem.fon
     348 csrss.exe            0x0000008dc8de0000 False  False  False \Windows\Fonts\cga80woa.fon
     348 csrss.exe            0x0000008dc8dd0000 False  False  False \Windows\Fonts\cga40woa.fon
     348 csrss.exe            0x00007ffea6730000 True   True   True  \Windows\System32\sechost.dll
     348 csrss.exe            0x00007ffea3d40000 True   True   True  \Windows\System32\sxssrv.dll
     348 csrss.exe            0x00007ffea4160000 True   True   True  \Windows\System32\KernelBase.dll
     348 csrss.exe            0x00007ffea6c00000 True   True   True  \Windows\System32\ntdll.dll
     348 csrss.exe            0x00007ff7a20a0000 True   False  True  \Windows\System32\csrss.exe
     348 csrss.exe            0x00007ffea3bf0000 True   True   True  \Windows\System32\cryptbase.dll
     416 csrss.exe            0x00007ffea6c00000 True   True   True  \Windows\System32\ntdll.dll
     416 csrss.exe            0x00007ffea5d10000 True   True   True  \Windows\System32\gdi32.dll
     416 csrss.exe            0x00007ffea4160000 True   True   True  \Windows\System32\KernelBase.dll
     416 csrss.exe            0x00007ffea3c00000 True   True   True  \Windows\System32\sxs.dll
     416 csrss.exe            0x00007ffea3d40000 True   True   True  \Windows\System32\sxssrv.dll
     416 csrss.exe            0x000000179c6f0000 False  False  False \Windows\Fonts\vgasys.fon
     416 csrss.exe            0x00007ffea3d50000 True   True   True  \Windows\System32\winsrv.dll
     416 csrss.exe            0x00007ffea3db0000 True   True   True  \Windows\System32\csrsrv.dll
     416 csrss.exe            0x00007ffea5e60000 True   True   True  \Windows\System32\user32.dll
     416 csrss.exe            0x00007ffea6730000 True   True   True  \Windows\System32\sechost.dll
     416 csrss.exe            0x00007ffea3d90000 True   True   True  \Windows\System32\basesrv.dll
     416 csrss.exe            0x00007ffea3b80000 True   True   True  \Windows\System32\bcryptprimitives.dll
     416 csrss.exe            0x00007ffea62a0000 True   True   True  \Windows\System32\rpcrt4.dll
     416 csrss.exe            0x00007ff7a20a0000 True   False  True  \Windows\System32\csrss.exe
     416 csrss.exe            0x00007ffea6ac0000 True   True   True  \Windows\System32\kernel32.dll
     416 csrss.exe            0x00007ffea40d0000 True   True   True  \Windows\System32\sspicli.dll
     416 csrss.exe            0x00007ffea3bf0000 True   True   True  \Windows\System32\cryptbase.dll
     428 wininit.exe          0x00007ffea6c00000 True   True   True  \Windows\System32\ntdll.dll
     428 wininit.exe          0x00007ffea5d10000 True   True   True  \Windows\System32\gdi32.dll
     428 wininit.exe          0x00007ffea5e60000 True   True   True  \Windows\System32\user32.dll
     428 wininit.exe          0x00007ffea4520000 True   True   True  \Windows\System32\nsi.dll
     428 wininit.exe          0x00007ffea6ac0000 True   True   True  \Windows\System32\kernel32.dll
     428 wininit.exe          0x00007ffea3550000 True   True   True  \Windows\System32\mswsock.dll
     428 wininit.exe          0x00007ffea3d20000 True   True   True  \Windows\System32\profapi.dll
     428 wininit.exe          0x00007ffea4160000 True   True   True  \Windows\System32\KernelBase.dll
     428 wininit.exe          0x00007ffea6730000 True   True   True  \Windows\System32\sechost.dll
     428 wininit.exe          0x00007ffea64a0000 True   True   True  \Windows\System32\ws2_32.dll
     428 wininit.exe          0x00007ffea40d0000 True   True   True  \Windows\System32\sspicli.dll
     428 wininit.exe          0x00007ffea62a0000 True   True   True  \Windows\System32\rpcrt4.dll
     428 wininit.exe          0x00007ff77c6e0000 True   False  True  \Windows\System32\wininit.exe
     428 wininit.exe          0x00007ffea63e0000 True   True   True  \Windows\System32\msvcrt.dll
     428 wininit.exe          0x00007ffea3ca0000 True   True   True  \Windows\System32\wininitext.dll
     452 winlogon.exe         0x00007ffea3d20000 True   True   True  \Windows\System32\profapi.dll
     452 winlogon.exe         0x00007ffea5e60000 True   True   True  \Windows\System32\user32.dll
     452 winlogon.exe         0x00007ffea62a0000 True   True   True  \Windows\System32\rpcrt4.dll
     452 winlogon.exe         0x00007ffea3cb0000 True   True   True  \Windows\System32\winlogonext.dll
     452 winlogon.exe         0x00007ffea6ac0000 True   True   True  \Windows\System32\kernel32.dll
     452 winlogon.exe         0x00007ffea40d0000 True   True   True  \Windows\System32\sspicli.dll
     452 winlogon.exe         0x00007ffea5a60000 True   True   True  \Windows\System32\advapi32.dll
     452 winlogon.exe         0x00007ffea3b20000 True   True   True  \Windows\System32\winsta.dll
     452 winlogon.exe         0x00007ffea3b80000 True   True   True  \Windows\System32\bcryptprimitives.dll
     452 winlogon.exe         0x00007ffea2ba0000 True   True   True  \Windows\System32\UXInit.dll
     452 winlogon.exe         0x00007ffea3dd0000 True   True   True  \Windows\System32\msasn1.dll
     452 winlogon.exe         0x00007ffea3cd0000 True   True   True  \Windows\System32\powrprof.dll
     452 winlogon.exe         0x00007ffea6c00000 True   True   True  \Windows\System32\ntdll.dll
     452 winlogon.exe         0x00007ffea2a10000 True   True   True  \Windows\System32\uxtheme.dll
     452 winlogon.exe         0x00007ffea6100000 True   True   True  \Windows\System32\imm32.dll
     452 winlogon.exe         0x00007ffea5d10000 True   True   True  \Windows\System32\gdi32.dll
     452 winlogon.exe         0x00007ffea29d0000 True   True   True  \Windows\System32\dpapi.dll
     452 winlogon.exe         0x00007ffea3ef0000 True   True   True  \Windows\System32\crypt32.dll
     452 winlogon.exe         0x00007ffea6500000 True   True   True  \Windows\System32\combase.dll
     452 winlogon.exe         0x00007ffea6730000 True   True   True  \Windows\System32\sechost.dll
     452 winlogon.exe         0x00007ffea6140000 True   True   True  \Windows\System32\msctf.dll
     452 winlogon.exe         0x00007ffea4160000 True   True   True  \Windows\System32\KernelBase.dll
     452 winlogon.exe         0x00007ffea63e0000 True   True   True  \Windows\System32\msvcrt.dll
     452 winlogon.exe         0x00007ff677fd0000 True   False  True  \Windows\System32\winlogon.exe
     452 winlogon.exe         0x00007ffea23d0000 True   True   True  \Windows\System32\apphelp.dll
     452 winlogon.exe         0x00007ffea3bf0000 True   True   True  \Windows\System32\cryptbase.dll
     520 services.exe         0x00007ffea3030000 True   True   True  \Windows\System32\scesrv.dll
     520 services.exe         0x00007ffea2fe0000 True   True   True  \Windows\System32\authz.dll
     520 services.exe         0x00007ffea62a0000 True   True   True  \Windows\System32\rpcrt4.dll
     520 services.exe         0x00007ffe9a0b0000 True   True   True  \Windows\System32\drvstore.dll
     520 services.exe         0x00007ffea6ac0000 True   True   True  \Windows\System32\kernel32.dll
     520 services.exe         0x00007ffea40d0000 True   True   True  \Windows\System32\sspicli.dll
     520 services.exe         0x00007ffe9cae0000 True   True   True  \Windows\System32\devrtl.dll
     520 services.exe         0x00007ffea3930000 True   True   True  \Windows\System32\srvcli.dll
