Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000077280000 False  False  False \Windows\System32\ntdll.dll
       4 System               0x0000000077460000 False  False  False \Windows\SysWOW64\ntdll.dll
     232 smss.exe             0x0000000047a10000 True   False  True  \Windows\System32\smss.exe
     328 csrss.exe            0x00000000002a0000 False  False  False \Windows\Fonts\vgasys.fon
     328 csrss.exe            0x0000000000c80000 False  False  False \Windows\Fonts\cga80woa.fon
     328 csrss.exe            0x0000000000c30000 False  False  False \Windows\Fonts\cga40woa.fon
     328 csrss.exe            0x000007fefd0d0000 True   True   True  \Windows\System32\sxs.dll
     328 csrss.exe            0x000007fefd1e0000 True   True   True  \Windows\System32\sxssrv.dll
     328 csrss.exe            0x000007feff580000 True   True   True  \Windows\System32\lpk.dll
     328 csrss.exe            0x0000000002840000 False  False  False \Windows\Fonts\vgafix.fon
     328 csrss.exe            0x0000000002820000 False  False  False \Windows\Fonts\coure.fon
     328 csrss.exe            0x0000000049a50000 True   False  True  \Windows\System32\csrss.exe
     328 csrss.exe            0x0000000077060000 True   True   True  \Windows\System32\kernel32.dll
     328 csrss.exe            0x0000000000c20000 False  False  False \Windows\Fonts\dosapp.fon
     328 csrss.exe            0x000007fefd960000 True   True   True  \Windows\System32\usp10.dll
     328 csrss.exe            0x0000000077180000 True   True   True  \Windows\System32\user32.dll
     328 csrss.exe            0x0000000000bd0000 False  False  False \Windows\Fonts\vgaoem.fon
     328 csrss.exe            0x000007fefd360000 True   True   True  \Windows\System32\KernelBase.dll
     328 csrss.exe            0x000007feff1b0000 True   True   True  \Windows\System32\gdi32.dll
     328 csrss.exe            0x0000000000c90000 False  False  False \Windows\Fonts\ega40woa.fon
     328 csrss.exe            0x0000000002830000 False  False  False \Windows\Fonts\sserife.fon
     328 csrss.exe            0x000007fefeb00000 True   True   True  \Windows\System32\rpcrt4.dll
     328 csrss.exe            0x0000000077280000 True   True   True  \Windows\System32\ntdll.dll
     328 csrss.exe            0x000007fefd230000 True   True   True  \Windows\System32\basesrv.dll
     328 csrss.exe            0x000007fefd1f0000 True   True   True  \Windows\System32\winsrv.dll
     328 csrss.exe            0x000007fefd250000 True   True   True  \Windows\System32\csrsrv.dll
     328 csrss.exe            0x000007fefec80000 True   True   True  \Windows\System32\msvcrt.dll
     328 csrss.exe            0x000007fefd0c0000 True   True   True  \Windows\System32\cryptbase.dll
     380 wininit.exe          0x0000000077060000 True   True   True  \Windows\System32\kernel32.dll
     380 wininit.exe          0x0000000077280000 True   True   True  \Windows\System32\ntdll.dll
     380 wininit.exe          0x000007feff580000 True   True   True  \Windows\System32\lpk.dll
     380 wininit.exe          0x0000000077180000 True   True   True  \Windows\System32\user32.dll
     380 wininit.exe          0x000007fefec30000 True   True   True  \Windows\System32\ws2_32.dll
     380 wininit.exe          0x000007fefd960000 True   True   True  \Windows\System32\usp10.dll
     380 wininit.exe          0x000007fefed80000 True   True   True  \Windows\System32\imm32.dll
     380 wininit.exe          0x00000000ff100000 True   False  True  \Windows\System32\wininit.exe
     380 wininit.exe          0x000007fefcda0000 True   True   True  \Windows\System32\secur32.dll
     380 wininit.exe          0x000007fefca00000 True   True   True  \Windows\System32\mswsock.dll
     380 wininit.exe          0x000007fefeb00000 True   True   True  \Windows\System32\rpcrt4.dll
     380 wininit.exe          0x000007fefd030000 True   True   True  \Windows\System32\sspicli.dll
     380 wininit.exe          0x000007fefc660000 True   True   True  \Windows\System32\credssp.dll
     380 wininit.exe          0x000007feff2c0000 True   True   True  \Windows\System32\sechost.dll
     380 wininit.exe          0x000007fefd6d0000 True   True   True  \Windows\System32\msctf.dll
     380 wininit.exe          0x000007fefd360000 True   True   True  \Windows\System32\KernelBase.dll
     380 wininit.exe          0x000007feff570000 True   True   True  \Windows\System32\nsi.dll
     380 wininit.exe          0x000007feff1b0000 True   True   True  \Windows\System32\gdi32.dll
     380 wininit.exe          0x000007fefd1d0000 True   True   True  \Windows\System32\profapi.dll
     380 wininit.exe          0x000007fefc3e0000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     380 wininit.exe          0x000007fefc9f0000 True   True   True  \Windows\System32\wship6.dll
     380 wininit.exe          0x000007fefd0c0000 True   True   True  \Windows\System32\cryptbase.dll
     380 wininit.exe          0x000007fefd060000 True   True   True  \Windows\System32\apphelp.dll
     380 wininit.exe          0x000007fefec80000 True   True   True  \Windows\System32\msvcrt.dll
     380 wininit.exe          0x000007fefd1b0000 True   True   True  \Windows\System32\RpcRtRemote.dll
     388 csrss.exe            0x0000000049a50000 True   False  True  \Windows\System32\csrss.exe
     388 csrss.exe            0x00000000001e0000 False  False  False \Windows\Fonts\vgasys.fon
     388 csrss.exe            0x000007feff580000 True   True   True  \Windows\System32\lpk.dll
     388 csrss.exe            0x0000000077180000 True   True   True  \Windows\System32\user32.dll
     388 csrss.exe            0x000007fefeb00000 True   True   True  \Windows\System32\rpcrt4.dll
     388 csrss.exe            0x000007fefd0d0000 True   True   True  \Windows\System32\sxs.dll
     388 csrss.exe            0x000007fefd1f0000 True   True   True  \Windows\System32\winsrv.dll
     388 csrss.exe            0x0000000077280000 True   True   True  \Windows\System32\ntdll.dll
     388 csrss.exe            0x000007fefd0c0000 True   True   True  \Windows\System32\cryptbase.dll
     388 csrss.exe            0x000007fefd230000 True   True   True  \Windows\System32\basesrv.dll
     388 csrss.exe            0x000007fefd250000 True   True   True  \Windows\System32\csrsrv.dll
     388 csrss.exe            0x000007fefd960000 True   True   True  \Windows\System32\usp10.dll
     388 csrss.exe            0x000007fefd360000 True   True   True  \Windows\System32\KernelBase.dll
     388 csrss.exe            0x000007fefec80000 True   True   True  \Windows\System32\msvcrt.dll
     388 csrss.exe            0x000007feff1b0000 True   True   True  \Windows\System32\gdi32.dll
     388 csrss.exe            0x0000000077060000 True   True   True  \Windows\System32\kernel32.dll
     428 winlogon.exe         0x0000000077060000 True   True   True  \Windows\System32\kernel32.dll
     428 winlogon.exe         0x0000000077280000 True   True   True  \Windows\System32\ntdll.dll
     428 winlogon.exe         0x000007fefd1b0000 True   True   True  \Windows\System32\RpcRtRemote.dll
     428 winlogon.exe         0x000007feff2c0000 True   True   True  \Windows\System32\sechost.dll
     428 winlogon.exe         0x0000000077180000 True   True   True  \Windows\System32\user32.dll
     428 winlogon.exe         0x000007fefd6d0000 True   True   True  \Windows\System32\msctf.dll
     428 winlogon.exe         0x000007fefd360000 True   True   True  \Windows\System32\KernelBase.dll
     428 winlogon.exe         0x000007feff580000 True   True   True  \Windows\System32\lpk.dll
     428 winlogon.exe         0x000007fefeb00000 True   True   True  \Windows\System32\rpcrt4.dll
     428 winlogon.exe         0x000007fefaaf0000 True   True   True  \Windows\System32\UXInit.dll
     428 winlogon.exe         0x000007fefd1d0000 True   True   True  \Windows\System32\profapi.dll
     428 winlogon.exe         0x000007fefd960000 True   True   True  \Windows\System32\usp10.dll
     428 winlogon.exe         0x000007feff1b0000 True   True   True  \Windows\System32\gdi32.dll
     428 winlogon.exe         0x000007fefd060000 True   True   True  \Windows\System32\apphelp.dll
     428 winlogon.exe         0x000007fefed80000 True   True   True  \Windows\System32\imm32.dll
     428 winlogon.exe         0x000007fefec80000 True   True   True  \Windows\System32\msvcrt.dll
     428 winlogon.exe         0x000007fefd170000 True   True   True  \Windows\System32\winsta.dll
     428 winlogon.exe         0x00000000ff3a0000 True   False  True  \Windows\System32\winlogon.exe
     484 services.exe         0x0000000077060000 True   True   True  \Windows\System32\kernel32.dll
     484 services.exe         0x0000000077280000 True   True   True  \Windows\System32\ntdll.dll
     484 services.exe         0x000007feff580000 True   True   True  \Windows\System32\lpk.dll
     484 services.exe         0x0000000077180000 True   True   True  \Windows\System32\user32.dll
     484 services.exe         0x000007fefc5e0000 True   True   True  \Windows\System32\ubpm.dll
     484 services.exe         0x000007fefd960000 True   True   True  \Windows\System32\usp10.dll
