Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x2b62b0           TCPv4    127.0.0.1:12859                0.0.0.0:0            LISTENING        6304     chrome.exe     
0x1dbcf0           TCPv4    127.0.0.1:60096                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1dd7e0           TCPv4    127.0.0.1:49998                127.0.0.1:62186      ESTABLISHED      1496     java.exe       
0x1ddcf0           TCPv4    127.0.0.1:49998                127.0.0.1:63533      ESTABLISHED      1496     java.exe       
0x250010           TCPv4    127.0.0.1:51008                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x250cf0           TCPv4    127.0.0.1:49998                127.0.0.1:52943      ESTABLISHED      1496     java.exe       
0x29b9d0           TCPv4    127.0.0.1:49998                127.0.0.1:63536      ESTABLISHED      1496     java.exe       
0x29bcf0           TCPv4    127.0.0.1:49998                127.0.0.1:62130      ESTABLISHED      1496     java.exe       
0x3016e0           TCPv4    127.0.0.1:49998                127.0.0.1:54568      ESTABLISHED      1496     java.exe       
0x301cf0           TCPv4    127.0.0.1:54736                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x359010           TCPv4    127.0.0.1:63907                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x359cf0           TCPv4    127.0.0.1:49998                127.0.0.1:63325      ESTABLISHED      1496     java.exe       
0x3867f0           TCPv4    127.0.0.1:54911                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x3fbcf0           TCPv4    127.0.0.1:49998                127.0.0.1:63863      ESTABLISHED      1496     java.exe       
0x441cf0           TCPv4    127.0.0.1:65216                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x46c550           TCPv4    127.0.0.1:49998                127.0.0.1:64056      ESTABLISHED      1496     java.exe       
0x49d010           TCPv4    127.0.0.1:49998                127.0.0.1:55569      ESTABLISHED      1496     java.exe       
0x49d750           TCPv4    127.0.0.1:56933                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x4b23c0           TCPv4    127.0.0.1:63322                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x502540           TCPv4    127.0.0.1:49998                127.0.0.1:53449      ESTABLISHED      1496     java.exe       
0x518a90           TCPv4    127.0.0.1:49998                127.0.0.1:57599      ESTABLISHED      1496     java.exe       
0x568710           TCPv4    127.0.0.1:49998                127.0.0.1:56425      ESTABLISHED      1496     java.exe       
0x593970           TCPv4    127.0.0.1:59507                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x5b87e0           TCPv4    127.0.0.1:49998                127.0.0.1:64130      ESTABLISHED      1496     java.exe       
0x6642b0           TCPv4    127.0.0.1:55559                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x664a90           TCPv4    127.0.0.1:54009                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x667cf0           TCPv4    127.0.0.1:49998                127.0.0.1:63476      ESTABLISHED      1496     java.exe       
0x6982d0           TCPv4    127.0.0.1:49998                127.0.0.1:56678      ESTABLISHED      1496     java.exe       
0x7577e0           TCPv4    127.0.0.1:49998                127.0.0.1:52359      ESTABLISHED      1496     java.exe       
0x75f440           TCPv4    127.0.0.1:49213                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x7abcf0           TCPv4    127.0.0.1:58640                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x890010           TCPv4    127.0.0.1:49998                127.0.0.1:57896      ESTABLISHED      1496     java.exe       
0x890540           TCPv4    127.0.0.1:49998                127.0.0.1:57261      ESTABLISHED      1496     java.exe       
0x8c49b0           TCPv4    127.0.0.1:65092                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x901cf0           TCPv4    127.0.0.1:49998                127.0.0.1:60937      ESTABLISHED      1496     java.exe       
0x9de680           TCPv4    127.0.0.1:49998                127.0.0.1:49977      ESTABLISHED      1496     java.exe       
0x9de9b0           TCPv4    127.0.0.1:50476                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x9fa540           TCPv4    127.0.0.1:51029                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0xa07cf0           TCPv4    127.0.0.1:49998                127.0.0.1:49525      ESTABLISHED      1496     java.exe       
0xa3d4b0           TCPv4    127.0.0.1:54450                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0xa5f7e0           TCPv4    127.0.0.1:49998                127.0.0.1:64601      ESTABLISHED      1496     java.exe       
0xa759d0           TCPv4    127.0.0.1:55569                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0xa75cf0           TCPv4    127.0.0.1:55586                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0xa7a010           TCPv4    127.0.0.1:51090                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0xa7aae0           TCPv4    127.0.0.1:59200                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0xaabcf0           TCPv4    127.0.0.1:61951                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0xabd530           TCPv4    127.0.0.1:49998                127.0.0.1:55967      ESTABLISHED      1496     java.exe       
0xabf010           TCPv4    127.0.0.1:52622                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0xbf0010           TCPv4    127.0.0.1:49998                127.0.0.1:52458      ESTABLISHED      1496     java.exe       
0xc46cf0           TCPv4    127.0.0.1:49998                127.0.0.1:53270      ESTABLISHED      1496     java.exe       
0xc8b010           TCPv4    127.0.0.1:49998                127.0.0.1:52960      ESTABLISHED      1496     java.exe       
0xc942d0           TCPv4    127.0.0.1:49998                127.0.0.1:57449      ESTABLISHED      1496     java.exe       
0xd4d7c0           TCPv4    127.0.0.1:49998                127.0.0.1:53440      ESTABLISHED      1496     java.exe       
0xdc8010           TCPv4    127.0.0.1:53054                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0xdc8cf0           TCPv4    127.0.0.1:49998                127.0.0.1:52900      ESTABLISHED      1496     java.exe       
0xe4dcf0           TCPv4    127.0.0.1:49998                127.0.0.1:58627      ESTABLISHED      1496     java.exe       
0xe78940           TCPv4    127.0.0.1:62706                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0xeaa010           TCPv4    127.0.0.1:49998                127.0.0.1:56626      ESTABLISHED      1496     java.exe       
0xeee010           TCPv4    127.0.0.1:49998                127.0.0.1:54880      ESTABLISHED      1496     java.exe       
0xeee6f0           TCPv4    127.0.0.1:55261                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0xef6010           TCPv4    127.0.0.1:49998                127.0.0.1:56949      ESTABLISHED      1496     java.exe       
0xef6a90           TCPv4    127.0.0.1:57107                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0xf0e940           TCPv4    127.0.0.1:49998                127.0.0.1:50035      ESTABLISHED      1496     java.exe       
0xf1b010           TCPv4    127.0.0.1:49998                127.0.0.1:57291      ESTABLISHED      1496     java.exe       
0xf82010           TCPv4    127.0.0.1:49998                127.0.0.1:54662      ESTABLISHED      1496     java.exe       
0xf82540           TCPv4    127.0.0.1:54632                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0xfc16e0           TCPv4    127.0.0.1:55393                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1190570          TCPv4    127.0.0.1:59998                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x11a59d0          TCPv4    127.0.0.1:49998                127.0.0.1:53649      ESTABLISHED      1496     java.exe       
0x11a5cf0          TCPv4    127.0.0.1:51607                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x124d300          TCPv4    127.0.0.1:64902                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x124d7e0          TCPv4    127.0.0.1:49998                127.0.0.1:64904      ESTABLISHED      1496     java.exe       
0x12d9010          TCPv4    127.0.0.1:56284                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x13f1370          TCPv4    127.0.0.1:49998                127.0.0.1:60328      ESTABLISHED      1496     java.exe       
0x1432010          TCPv4    127.0.0.1:60675                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x14b0cf0          TCPv4    127.0.0.1:49998                127.0.0.1:58161      ESTABLISHED      1496     java.exe       
0x14d74d0          TCPv4    127.0.0.1:49998                127.0.0.1:60770      ESTABLISHED      1496     java.exe       
0x14d9010          TCPv4    127.0.0.1:49998                127.0.0.1:53983      ESTABLISHED      1496     java.exe       
0x14d9cf0          TCPv4    127.0.0.1:49998                127.0.0.1:53387      ESTABLISHED      1496     java.exe       
0x14e8620          TCPv4    127.0.0.1:57066                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x14ed9b0          TCPv4    127.0.0.1:51789                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x14fe6a0          TCPv4    127.0.0.1:61204                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x153d010          TCPv4    127.0.0.1:49998                127.0.0.1:63580      ESTABLISHED      1496     java.exe       
0x15b1a50          TCPv4    127.0.0.1:51906                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x15e7350          TCPv4    127.0.0.1:49998                127.0.0.1:51442      ESTABLISHED      1496     java.exe       
0x15ee9a0          TCPv4    127.0.0.1:49998                127.0.0.1:55417      ESTABLISHED      1496     java.exe       
0x1620010          TCPv4    127.0.0.1:49998                127.0.0.1:53115      ESTABLISHED      1496     java.exe       
0x16203b0          TCPv4    127.0.0.1:49998                127.0.0.1:53472      ESTABLISHED      1496     java.exe       
0x16208c0          TCPv4    127.0.0.1:49998                127.0.0.1:53338      ESTABLISHED      1496     java.exe       
0x1620cf0          TCPv4    127.0.0.1:53115                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x167ccf0          TCPv4    127.0.0.1:49998                127.0.0.1:55542      ESTABLISHED      1496     java.exe       
0x16eb010          TCPv4    127.0.0.1:63538                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1704a10          TCPv4    127.0.0.1:58586                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1705010          TCPv4    127.0.0.1:49998                127.0.0.1:53051      ESTABLISHED      1496     java.exe       
0x17649d0          TCPv4    127.0.0.1:60797                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1764cf0          TCPv4    127.0.0.1:60806                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x178f290          TCPv4    127.0.0.1:49998                127.0.0.1:54998      ESTABLISHED      1496     java.exe       
0x17df9d0          TCPv4    127.0.0.1:49998                127.0.0.1:61472      ESTABLISHED      1496     java.exe       
0x17ff450          TCPv4    127.0.0.1:57154                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x19329d0          TCPv4    127.0.0.1:65116                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1932cf0          TCPv4    127.0.0.1:49998                127.0.0.1:64771      ESTABLISHED      1496     java.exe       
0x1972cf0          TCPv4    127.0.0.1:56905                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x19be010          TCPv4    127.0.0.1:49998                127.0.0.1:57137      ESTABLISHED      1496     java.exe       
0x1a12360          TCPv4    127.0.0.1:49998                127.0.0.1:57871      ESTABLISHED      1496     java.exe       
0x1a12cf0          TCPv4    127.0.0.1:49998                127.0.0.1:59007      ESTABLISHED      1496     java.exe       
0x1a2b6e0          TCPv4    127.0.0.1:49998                127.0.0.1:63900      ESTABLISHED      1496     java.exe       
0x1a5c380          TCPv4    127.0.0.1:54434                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1ae2cf0          TCPv4    127.0.0.1:50700                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1b60460          TCPv4    127.0.0.1:49998                127.0.0.1:55604      ESTABLISHED      1496     java.exe       
0x1b60cf0          TCPv4    127.0.0.1:54310                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1bb20b0          TCPv4    127.0.0.1:54814                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1bb3cf0          TCPv4    127.0.0.1:49998                127.0.0.1:53475      ESTABLISHED      1496     java.exe       
0x1c2a540          TCPv4    127.0.0.1:49998                127.0.0.1:60440      ESTABLISHED      1496     java.exe       
0x1c5d010          TCPv4    127.0.0.1:49998                127.0.0.1:58182      ESTABLISHED      1496     java.exe       
0x1c5d620          TCPv4    127.0.0.1:58845                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1cba010          TCPv4    127.0.0.1:50030                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1ccf6e0          TCPv4    127.0.0.1:49998                127.0.0.1:56612      ESTABLISHED      1496     java.exe       
0x1d447e0          TCPv4    127.0.0.1:63920                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1d44cf0          TCPv4    127.0.0.1:49998                127.0.0.1:64143      ESTABLISHED      1496     java.exe       
0x1d5d010          TCPv4    127.0.0.1:49998                127.0.0.1:52516      ESTABLISHED      1496     java.exe       
0x1d5d6e0          TCPv4    127.0.0.1:51815                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1d85cf0          TCPv4    127.0.0.1:49729                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1d93cf0          TCPv4    127.0.0.1:65340                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1dcbcf0          TCPv4    127.0.0.1:64966                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1df2cf0          TCPv4    127.0.0.1:49998                127.0.0.1:63225      ESTABLISHED      1496     java.exe       
0x2011cf0          TCPv4    127.0.0.1:49998                127.0.0.1:60117      ESTABLISHED      1496     java.exe       
0x2051770          TCPv4    127.0.0.1:49998                127.0.0.1:49661      ESTABLISHED      1496     java.exe       
0x2051cf0          TCPv4    127.0.0.1:49161                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x20902e0          TCPv4    127.0.0.1:62709                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x20b67d0          TCPv4    127.0.0.1:56551                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x20f2010          TCPv4    127.0.0.1:57714                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x21b92e0          TCPv4    127.0.0.1:49998                127.0.0.1:62525      ESTABLISHED      1496     java.exe       
0x220d940          TCPv4    127.0.0.1:58359                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x223c570          TCPv4    127.0.0.1:51651                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x224d1c0          TCPv4    127.0.0.1:59302                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x22afcf0          TCPv4    127.0.0.1:49998                127.0.0.1:52520      ESTABLISHED      1496     java.exe       
