Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x13d981a60        UDPv4    0.0.0.0:0                      *:*                                   2136     java.exe       2019-09-18 17:16:19 UTC+0000
0x13ddca190        UDPv4    0.0.0.0:5355                   *:*                                   732      svchost.exe    2019-09-18 07:48:49 UTC+0000
0x13ddca190        UDPv6    :::5355                        *:*                                   732      svchost.exe    2019-09-18 07:48:49 UTC+0000
0x13e023c80        TCPv4    127.0.0.1:49998                0.0.0.0:0            LISTENING        2136     java.exe       
0x13e0451d0        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        732      svchost.exe    
0x13da28cf0        TCPv4    127.0.0.1:53269                127.0.0.1:49999      CLOSED           2136     java.exe       
0x13da796c0        TCPv4    127.0.0.1:53312                127.0.0.1:49999      CLOSED           2136     java.exe       
0x13e100940        TCPv4    -:0                            248.82.111.50:0      CLOSED           2136     java.exe       
0x13e27f9b0        UDPv4    0.0.0.0:0                      *:*                                   968      svchost.exe    2019-09-16 19:54:05 UTC+0000
0x13e27f9b0        UDPv6    :::0                           *:*                                   968      svchost.exe    2019-09-16 19:54:05 UTC+0000
0x13e439010        UDPv4    0.0.0.0:0                      *:*                                   532      lsass.exe      2019-09-16 19:50:10 UTC+0000
0x13e43fe20        UDPv4    0.0.0.0:0                      *:*                                   968      svchost.exe    2019-09-16 19:54:05 UTC+0000
0x13e444960        UDPv4    0.0.0.0:0                      *:*                                   532      lsass.exe      2019-09-16 19:50:11 UTC+0000
0x13e444960        UDPv6    :::0                           *:*                                   532      lsass.exe      2019-09-16 19:50:11 UTC+0000
0x13e4b23b0        UDPv4    127.0.0.1:50225                *:*                                   732      svchost.exe    2019-09-16 19:50:14 UTC+0000
0x13e4c5010        UDPv4    127.0.0.1:52186                *:*                                   272      svchost.exe    2019-09-16 19:50:18 UTC+0000
0x13e53a330        UDPv4    0.0.0.0:0                      *:*                                   2060     svchost.exe    2019-09-16 19:54:57 UTC+0000
0x13e53a330        UDPv6    :::0                           *:*                                   2060     svchost.exe    2019-09-16 19:54:57 UTC+0000
0x13e53a9f0        UDPv4    0.0.0.0:0                      *:*                                   2060     svchost.exe    2019-09-16 19:54:57 UTC+0000
0x13e72c380        UDPv4    127.0.0.1:50221                *:*                                   532      lsass.exe      2019-09-16 19:50:14 UTC+0000
0x13e7ceec0        UDPv4    0.0.0.0:0                      *:*                                   532      lsass.exe      2019-09-16 19:50:12 UTC+0000
0x13e9e0c20        UDPv4    0.0.0.0:123                    *:*                                   968      svchost.exe    2019-09-16 19:56:56 UTC+0000
0x13e9e0ec0        UDPv4    0.0.0.0:123                    *:*                                   968      svchost.exe    2019-09-16 19:56:56 UTC+0000
0x13e9e0ec0        UDPv6    :::123                         *:*                                   968      svchost.exe    2019-09-16 19:56:56 UTC+0000
0x13ea11b80        UDPv4    172.115.1.154:137              *:*                                   4        System         2019-09-16 19:29:09 UTC+0000
0x13ea42b50        UDPv4    10.10.1.154:138                *:*                                   4        System         2019-09-16 19:48:50 UTC+0000
0x13ea48270        UDPv4    10.10.1.154:137                *:*                                   4        System         2019-09-16 19:48:50 UTC+0000
0x13ea4c860        UDPv4    0.0.0.0:0                      *:*                                   732      svchost.exe    2019-09-16 19:56:56 UTC+0000
0x13ea4c860        UDPv6    :::0                           *:*                                   732      svchost.exe    2019-09-16 19:56:56 UTC+0000
0x13e2c84a0        TCPv4    0.0.0.0:445                    0.0.0.0:0            LISTENING        4        System         
0x13e2c84a0        TCPv6    :::445                         :::0                 LISTENING        4        System         
0x13e347730        TCPv4    0.0.0.0:54078                  0.0.0.0:0            LISTENING        2060     svchost.exe    
0x13e347730        TCPv6    :::54078                       :::0                 LISTENING        2060     svchost.exe    
