Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x13dac3170        UDPv4    127.0.0.1:61369                *:*                                   108      svchost.exe    2019-09-16 21:04:38 UTC+0000
0x13dc93820        UDPv4    0.0.0.0:5355                   *:*                                   596      svchost.exe    2019-09-18 07:12:22 UTC+0000
0x13dc93820        UDPv6    :::5355                        *:*                                   596      svchost.exe    2019-09-18 07:12:22 UTC+0000
0x13e170950        UDPv4    0.0.0.0:5355                   *:*                                   596      svchost.exe    2019-09-18 07:12:22 UTC+0000
0x13dd14cf0        TCPv4    -:0                            24.75.32.50:0        CLOSED           532      lsass.exe      
0x13de0e9d0        TCPv4    112.93.18.49:0                 -:0                  CLOSED           -1                      
0x13de81640        TCPv4    172.115.1.186:50667            172.115.4.254:8080   ESTABLISHED      1252     esensor.exe    
0x13def4cf0        TCPv4    -:0                            24.75.32.50:0        CLOSED           108      svchost.exe    
0x13e642a90        UDPv4    0.0.0.0:0                      *:*                                   900      svchost.exe    2019-09-16 19:16:50 UTC+0000
0x13e6a5a60        UDPv4    127.0.0.1:63823                *:*                                   532      lsass.exe      2019-09-16 19:41:08 UTC+0000
0x13e7a53d0        UDPv4    0.0.0.0:0                      *:*                                   1648     svchost.exe    2019-09-16 19:18:25 UTC+0000
0x13e7a53d0        UDPv6    :::0                           *:*                                   1648     svchost.exe    2019-09-16 19:18:25 UTC+0000
0x13e7a6aa0        UDPv4    0.0.0.0:0                      *:*                                   1648     svchost.exe    2019-09-16 19:18:25 UTC+0000
0x13e87ac20        UDPv4    0.0.0.0:123                    *:*                                   900      svchost.exe    2019-09-16 19:21:00 UTC+0000
0x13e8f03c0        UDPv4    0.0.0.0:0                      *:*                                   900      svchost.exe    2019-09-16 19:16:50 UTC+0000
0x13e8f03c0        UDPv6    :::0                           *:*                                   900      svchost.exe    2019-09-16 19:16:50 UTC+0000
0x13e9da590        UDPv4    0.0.0.0:123                    *:*                                   900      svchost.exe    2019-09-16 19:21:00 UTC+0000
0x13e9da590        UDPv6    :::123                         *:*                                   900      svchost.exe    2019-09-16 19:21:00 UTC+0000
0x13eba07f0        UDPv4    0.0.0.0:0                      *:*                                   596      svchost.exe    2019-09-16 19:21:00 UTC+0000
0x13eba07f0        UDPv6    :::0                           *:*                                   596      svchost.exe    2019-09-16 19:21:00 UTC+0000
0x13e713650        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        596      svchost.exe    
0x13e713650        TCPv6    :::3389                        :::0                 LISTENING        596      svchost.exe    
0x13e741ad0        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        596      svchost.exe    
0x13e8ac680        TCPv4    0.0.0.0:5985                   0.0.0.0:0            LISTENING        4        System         
0x13e8ac680        TCPv6    :::5985                        :::0                 LISTENING        4        System         
0x13e8f5400        TCPv4    0.0.0.0:49154                  0.0.0.0:0            LISTENING        524      services.exe   
0x13e8f5400        TCPv6    :::49154                       :::0                 LISTENING        524      services.exe   
0x13e9bb790        TCPv4    0.0.0.0:49154                  0.0.0.0:0            LISTENING        524      services.exe   
0x13ea155f0        TCPv4    10.10.1.186:139                0.0.0.0:0            LISTENING        4        System         
0x13eaa4570        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        448      wininit.exe    
0x13eaa6c90        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        448      wininit.exe    
0x13eaa6c90        TCPv6    :::49152                       :::0                 LISTENING        448      wininit.exe    
0x13eabcce0        TCPv4    0.0.0.0:47001                  0.0.0.0:0            LISTENING        4        System         
0x13eabcce0        TCPv6    :::47001                       :::0                 LISTENING        4        System         
0x13eae1c50        TCPv4    0.0.0.0:135                    0.0.0.0:0            LISTENING        736      svchost.exe    
0x13eb456a0        TCPv4    0.0.0.0:49155                  0.0.0.0:0            LISTENING        1648     svchost.exe    
0x13eb456a0        TCPv6    :::49155                       :::0                 LISTENING        1648     svchost.exe    
0x13edc4010        UDPv4    0.0.0.0:0                      *:*                                   532      lsass.exe      2019-09-16 19:13:12 UTC+0000
0x13edc48a0        UDPv4    0.0.0.0:0                      *:*                                   532      lsass.exe      2019-09-16 19:13:12 UTC+0000
0x13edc48a0        UDPv6    :::0                           *:*                                   532      lsass.exe      2019-09-16 19:13:12 UTC+0000
0x13eebc010        UDPv4    10.10.1.186:138                *:*                                   4        System         2019-09-16 19:12:14 UTC+0000
0x13ef79de0        UDPv4    0.0.0.0:0                      *:*                                   532      lsass.exe      2019-09-16 19:41:12 UTC+0000
0x13f00d610        UDPv4    0.0.0.0:0                      *:*                                   532      lsass.exe      2019-09-16 19:41:12 UTC+0000
