Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x13d7b36d0        UDPv6    fe80::5149:b158:85b2:8df3:546  *:*                                   796      svchost.exe    2019-09-18 18:43:50 UTC+0000
0x13d642630        TCPv4    172.115.1.187:55084            172.115.4.4:49156    ESTABLISHED      1280     esensor.exe    
0x13dd628b0        UDPv4    127.0.0.1:49575                *:*                                   512      lsass.exe      2019-09-16 19:40:22 UTC+0000
0x13de12180        UDPv4    127.0.0.1:52826                *:*                                   400      svchost.exe    2019-09-17 06:39:00 UTC+0000
0x13dea0010        UDPv4    0.0.0.0:0                      *:*                                   1268     svchost.exe    2019-09-16 18:40:27 UTC+0000
0x13dea0b10        UDPv4    0.0.0.0:0                      *:*                                   1268     svchost.exe    2019-09-16 18:40:27 UTC+0000
0x13dea0b10        UDPv6    :::0                           *:*                                   1268     svchost.exe    2019-09-16 18:40:27 UTC+0000
0x13e1c8010        UDPv4    0.0.0.0:0                      *:*                                   860      svchost.exe    2019-09-16 18:39:57 UTC+0000
0x13de034b0        TCPv4    0.0.0.0:49168                  0.0.0.0:0            LISTENING        504      services.exe   
0x13de42e70        TCPv4    0.0.0.0:49168                  0.0.0.0:0            LISTENING        504      services.exe   
0x13de42e70        TCPv6    :::49168                       :::0                 LISTENING        504      services.exe   
0x13de62930        TCPv4    0.0.0.0:49169                  0.0.0.0:0            LISTENING        1268     svchost.exe    
0x13de9d8f0        TCPv4    0.0.0.0:49169                  0.0.0.0:0            LISTENING        1268     svchost.exe    
0x13de9d8f0        TCPv6    :::49169                       :::0                 LISTENING        1268     svchost.exe    
0x13defd9c0        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        400      svchost.exe    
0x13defd9c0        TCPv6    :::3389                        :::0                 LISTENING        400      svchost.exe    
0x13df04b40        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        400      svchost.exe    
0x13d958320        TCPv4    172.115.1.187:55083            172.115.4.4:135      ESTABLISHED      1280     esensor.exe    
0x13da0b680        TCPv4    127.0.0.1:55089                127.0.0.1:49999      CLOSED           1560     java.exe       
0x13da17750        TCPv4    172.115.1.187:62741            172.115.4.254:8080   ESTABLISHED      1280     esensor.exe    
0x13e1976a0        TCPv4    -:0                            24.251.93.50:0       CLOSED           2016     winlogbeat.exe 
0x13e1b2cf0        TCPv6    -:0                            18fb:5d32:80fa:ffff:18fb:5d32:80fa:ffff:0 CLOSED           1560     java.exe       
0x13e55bec0        UDPv4    0.0.0.0:0                      *:*                                   512      lsass.exe      2019-09-16 19:40:22 UTC+0000
