Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x4f54d160         TCPv4    172.115.1.52:58713             172.115.4.254:5045   ESTABLISHED      1292     winlogbeat.exe 
0xb561c7f0         TCPv4    -:63331                        -:3128               CLOSED           4260     chrome.exe     
0x109522060        TCPv4    -:63388                        -:3128               CLOSED           4260     chrome.exe     
0x13cb55240        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        348      svchost.exe    
0x13cc91010        TCPv4    -:0                            104.0.92.50:0        CLOSED           4000     find.exe       
0x13d7f91a0        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        348      svchost.exe    
0x13d7f91a0        TCPv6    :::3389                        :::0                 LISTENING        348      svchost.exe    
0x13d6fbbf0        TCPv4    -:0                            24.75.76.50:0        CLOSED           4000     find.exe       
0x13de5bb70        UDPv4    172.115.1.52:1900              *:*                                   3972     svchost.exe    2019-08-28 13:12:47 UTC+0000
0x13de68ec0        UDPv6    ::1:60886                      *:*                                   3972     svchost.exe    2019-08-28 13:12:46 UTC+0000
0x13defd7e0        UDPv6    ::1:1900                       *:*                                   3972     svchost.exe    2019-08-28 13:12:47 UTC+0000
0x13e003d70        UDPv4    0.0.0.0:123                    *:*                                   864      svchost.exe    2019-08-28 12:13:38 UTC+0000
0x13e06f950        UDPv6    fe80::6812:3f70:4e4c:cf8:60885 *:*                                   3972     svchost.exe    2019-08-28 13:12:46 UTC+0000
0x13e1b7010        UDPv4    0.0.0.0:5355                   *:*                                   348      svchost.exe    2019-09-03 12:09:43 UTC+0000
0x13e1b7010        UDPv6    :::5355                        *:*                                   348      svchost.exe    2019-09-03 12:09:43 UTC+0000
0x13d80bcf0        TCPv4    127.0.0.1:57736                127.0.0.1:49999      CLOSED           1496     java.exe       
0x13d873010        TCPv4    -:62499                        -:3128               CLOSED           4260     chrome.exe     
0x13d8a6cf0        TCPv4    -:63303                        -:3128               CLOSED           4260     chrome.exe     
0x13db4d010        TCPv4    127.0.0.1:12196                127.0.0.1:62912      CLOSED           222776905 95             [ 
0x13db69cf0        TCPv4    127.0.0.1:49998                127.0.0.1:63417      CLOSED           1496     java.exe       
0x13dc4f9f0        TCPv4    127.0.0.1:57735                127.0.0.1:49999      CLOSED           1496     java.exe       
0x13dcf1820        TCPv4    127.0.0.1:57728                127.0.0.1:49999      CLOSED           1496     java.exe       
0x13de757b0        TCPv4    172.115.1.52:61974             172.115.4.254:8080   CLOSE_WAIT       1352     esensor.exe    
0x13e007cf0        TCPv4    -:0                            24.75.76.50:0        CLOSED           348      svchost.exe    
0x13e14f200        TCPv4    127.0.0.1:19409                127.0.0.1:63412      CLOSED           3256     chromedriver_w 
0x13e24c440        UDPv4    0.0.0.0:123                    *:*                                   864      svchost.exe    2019-08-28 12:13:38 UTC+0000
0x13e24c440        UDPv6    :::123                         *:*                                   864      svchost.exe    2019-08-28 12:13:38 UTC+0000
0x13e29e010        UDPv4    0.0.0.0:0                      *:*                                   348      svchost.exe    2019-08-28 12:13:38 UTC+0000
0x13e29e010        UDPv6    :::0                           *:*                                   348      svchost.exe    2019-08-28 12:13:38 UTC+0000
0x13e2d75e0        UDPv4    127.0.0.1:63403                *:*                                   972      svchost.exe    2019-08-28 12:11:02 UTC+0000
0x13e366920        UDPv4    0.0.0.0:0                      *:*                                   516      lsass.exe      2019-08-28 12:09:59 UTC+0000
0x13e367ec0        UDPv4    0.0.0.0:0                      *:*                                   516      lsass.exe      2019-08-28 12:09:59 UTC+0000
0x13e367ec0        UDPv6    :::0                           *:*                                   516      lsass.exe      2019-08-28 12:09:59 UTC+0000
0x13e36b540        UDPv4    127.0.0.1:63644                *:*                                   348      svchost.exe    2019-08-28 12:10:00 UTC+0000
0x13e376160        UDPv4    127.0.0.1:63646                *:*                                   516      lsass.exe      2019-08-28 12:10:00 UTC+0000
0x13e37b790        UDPv4    0.0.0.0:0                      *:*                                   516      lsass.exe      2019-08-28 12:10:01 UTC+0000
0x13e37b790        UDPv6    :::0                           *:*                                   516      lsass.exe      2019-08-28 12:10:01 UTC+0000
0x13e37b9a0        UDPv4    0.0.0.0:0                      *:*                                   516      lsass.exe      2019-08-28 12:10:01 UTC+0000
0x13e381830        UDPv4    0.0.0.0:0                      *:*                                   864      svchost.exe    2019-08-28 12:12:43 UTC+0000
0x13e44c590        UDPv4    0.0.0.0:0                      *:*                                   864      svchost.exe    2019-08-28 12:12:43 UTC+0000
0x13e44c590        UDPv6    :::0                           *:*                                   864      svchost.exe    2019-08-28 12:12:43 UTC+0000
0x13e90a840        UDPv4    172.115.1.52:138               *:*                                   4        System         2019-08-28 12:09:06 UTC+0000
0x13e9258d0        UDPv4    172.115.1.52:137               *:*                                   4        System         2019-08-28 12:09:06 UTC+0000
0x13e973900        UDPv4    10.10.1.52:137                 *:*                                   4        System         2019-08-28 12:09:42 UTC+0000
0x13e973ec0        UDPv4    10.10.1.52:138                 *:*                                   4        System         2019-08-28 12:09:42 UTC+0000
0x13ea1d2d0        UDPv4    10.10.1.52:1900                *:*                                   3972     svchost.exe    2019-08-28 13:12:47 UTC+0000
0x13eb526e0        UDPv6    fe80::6812:3f70:4e4c:cf8:1900  *:*                                   3972     svchost.exe    2019-08-28 13:12:47 UTC+0000
0x13e28d010        TCPv4    0.0.0.0:49154                  0.0.0.0:0            LISTENING        516      lsass.exe      
0x13e28d010        TCPv6    :::49154                       :::0                 LISTENING        516      lsass.exe      
0x13e2bbc50        TCPv4    0.0.0.0:49155                  0.0.0.0:0            LISTENING        892      svchost.exe    
0x13e2bbc50        TCPv6    :::49155                       :::0                 LISTENING        892      svchost.exe    
0x13e610800        TCPv4    0.0.0.0:47001                  0.0.0.0:0            LISTENING        4        System         
0x13e610800        TCPv6    :::47001                       :::0                 LISTENING        4        System         
0x13e694470        TCPv4    127.0.0.1:49998                0.0.0.0:0            LISTENING        1496     java.exe       
0x13e6d9240        TCPv4    0.0.0.0:135                    0.0.0.0:0            LISTENING        700      svchost.exe    
0x13e6d9240        TCPv6    :::135                         :::0                 LISTENING        700      svchost.exe    
0x13e6f7230        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        396      wininit.exe    
0x13e6f7230        TCPv6    :::49152                       :::0                 LISTENING        396      wininit.exe    
0x13e6fd6b0        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        396      wininit.exe    
0x13e73c440        TCPv4    0.0.0.0:49154                  0.0.0.0:0            LISTENING        516      lsass.exe      
0x13e769460        TCPv4    0.0.0.0:5985                   0.0.0.0:0            LISTENING        4        System         
0x13e769460        TCPv6    :::5985                        :::0                 LISTENING        4        System         
0x13e769ef0        TCPv4    0.0.0.0:445                    0.0.0.0:0            LISTENING        4        System         
0x13e769ef0        TCPv6    :::445                         :::0                 LISTENING        4        System         
0x13e7e2ad0        TCPv4    0.0.0.0:49153                  0.0.0.0:0            LISTENING        764      svchost.exe    
0x13e7e4010        TCPv4    0.0.0.0:49153                  0.0.0.0:0            LISTENING        764      svchost.exe    
0x13e7e4010        TCPv6    :::49153                       :::0                 LISTENING        764      svchost.exe    
0x13e7ec720        TCPv4    0.0.0.0:49155                  0.0.0.0:0            LISTENING        892      svchost.exe    
0x13e90aa10        TCPv4    172.115.1.52:139               0.0.0.0:0            LISTENING        4        System         
0x13e9958b0        TCPv4    10.10.1.52:139                 0.0.0.0:0            LISTENING        4        System         
0x13e9ed010        TCPv4    0.0.0.0:135                    0.0.0.0:0            LISTENING        700      svchost.exe    
0x13e27a010        TCPv4    127.0.0.1:63411                127.0.0.1:19409      CLOSED           3988     java.exe       
