Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x3096450          TCPv4    172.115.1.60:54779             172.115.4.254:5045   ESTABLISHED      1212     winlogbeat.exe 
0x14e4c260         TCPv4    -:49948                        -:49156              CLOSED           508      lsass.exe      
0x24a4d5f0         TCPv4    10.10.1.60:55568               10.10.1.131:135      CLOSED           508      lsass.exe      
0x4166acf0         TCPv4    -:52380                        -:389                CLOSED           972      svchost.exe    
0x110263430        TCPv4    208.123.23.22:51536            0.3.28.0:49156       CLOSED           508      lsass.exe      
0x13a6e0490        TCPv4    127.0.0.1:55637                127.0.0.1:49999      CLOSED           1788     java.exe       
0x13adebcf0        TCPv4    -:62155                        -:49156              CLOSED           508      lsass.exe      
0x13c71a010        TCPv4    -:0                            24.139.124.50:0      CLOSED           1788     java.exe       
0x13ce0f010        TCPv4    -:0                            24.75.203.50:0       CLOSED           1788     java.exe       
0x13cf34cf0        TCPv4    -:0                            24.219.125.50:0      CLOSED           4        System         
0x13d749010        TCPv4    -:52377                        -:49156              CLOSED           508      lsass.exe      
0x13dbc4760        UDPv4    0.0.0.0:5355                   *:*                                   408      svchost.exe    2019-09-03 12:16:18 UTC+0000
0x13dbc4760        UDPv6    :::5355                        *:*                                   408      svchost.exe    2019-09-03 12:16:18 UTC+0000
0x13e146ec0        UDPv4    0.0.0.0:5355                   *:*                                   408      svchost.exe    2019-09-03 12:16:18 UTC+0000
0x13e058a50        TCPv4    0.0.0.0:445                    0.0.0.0:0            LISTENING        4        System         
0x13e058a50        TCPv6    :::445                         :::0                 LISTENING        4        System         
0x13dc007e0        TCPv4    127.0.0.1:55638                127.0.0.1:49999      CLOSED           1788     java.exe       
0x13e0796b0        TCPv4    10.10.1.60:64136               10.10.200.207:5672   ESTABLISHED      1788     java.exe       
0x13e0f4540        TCPv6    -:0                            184b:cb32:80fa:ffff:184b:cb32:80fa:ffff:0 CLOSED           1788     java.exe       
0x13e1b3c10        TCPv4    172.115.1.60:51940             172.115.4.254:8080   CLOSE_WAIT       1512     esensor.exe    
0x13e20c920        UDPv4    0.0.0.0:0                      *:*                                   508      lsass.exe      2019-08-28 12:15:38 UTC+0000
0x13e20f6c0        UDPv4    127.0.0.1:62603                *:*                                   408      svchost.exe    2019-08-28 12:15:39 UTC+0000
0x13e212b40        UDPv4    0.0.0.0:0                      *:*                                   508      lsass.exe      2019-08-28 12:15:38 UTC+0000
0x13e212b40        UDPv6    :::0                           *:*                                   508      lsass.exe      2019-08-28 12:15:38 UTC+0000
0x13e2136f0        UDPv4    0.0.0.0:0                      *:*                                   508      lsass.exe      2019-08-28 12:15:37 UTC+0000
0x13e22e010        UDPv4    127.0.0.1:62599                *:*                                   508      lsass.exe      2019-08-28 12:15:39 UTC+0000
0x13e29f170        UDPv4    0.0.0.0:0                      *:*                                   624      svchost.exe    2019-08-28 12:18:18 UTC+0000
0x13e3328e0        UDPv4    0.0.0.0:0                      *:*                                   864      svchost.exe    2019-08-28 12:17:39 UTC+0000
0x13e3328e0        UDPv6    :::0                           *:*                                   864      svchost.exe    2019-08-28 12:17:39 UTC+0000
0x13e35d010        UDPv4    0.0.0.0:123                    *:*                                   864      svchost.exe    2019-08-28 12:18:28 UTC+0000
0x13e35d010        UDPv6    :::123                         *:*                                   864      svchost.exe    2019-08-28 12:18:28 UTC+0000
0x13e3a5010        UDPv4    0.0.0.0:123                    *:*                                   864      svchost.exe    2019-08-28 12:18:28 UTC+0000
0x13e3c19a0        UDPv6    fe80::ecda:f3db:5ec4:c148:1900 *:*                                   4532     svchost.exe    2019-08-28 13:12:31 UTC+0000
0x13e4df870        UDPv4    0.0.0.0:0                      *:*                                   624      svchost.exe    2019-08-28 12:18:18 UTC+0000
0x13e4df870        UDPv6    :::0                           *:*                                   624      svchost.exe    2019-08-28 12:18:18 UTC+0000
0x13e518aa0        UDPv6    ::1:59028                      *:*                                   4532     svchost.exe    2019-08-28 13:12:31 UTC+0000
0x13e5f63d0        UDPv4    0.0.0.0:0                      *:*                                   508      lsass.exe      2019-08-28 12:15:37 UTC+0000
0x13e5f63d0        UDPv6    :::0                           *:*                                   508      lsass.exe      2019-08-28 12:15:37 UTC+0000
