Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x457edcf0         TCPv4    172.115.1.69:17472             172.115.1.81:56276   FIN_WAIT2        6604     TaniumClient.e 
0x6407bcf0         TCPv4    127.0.0.1:50866                127.0.0.1:13546      CLOSED           7120     conhost.exe    
0x6b40c700         TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        640      svchost.exe    
0x6b40c700         TCPv6    :::3389                        :::0                 LISTENING        640      svchost.exe    
0x6e0498d0         TCPv4    127.0.0.1:54874                127.0.0.1:13546      CLOSED           7120     conhost.exe    
0x116d10010        TCPv4    172.115.1.69:17472             172.115.1.72:56228   ESTABLISHED      6604     TaniumClient.e 
0x1234c4160        TCPv4    172.115.1.69:57617             172.115.4.7:17472    CLOSED           6604     TaniumClient.e 
0x13d727ec0        UDPv4    0.0.0.0:5355                   *:*                                   640      svchost.exe    2019-09-03 12:21:19 UTC+0000
0x13d727ec0        UDPv6    :::5355                        *:*                                   640      svchost.exe    2019-09-03 12:21:19 UTC+0000
0x13cfd2e30        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        640      svchost.exe    
0x13d3576c0        TCPv4    127.0.0.1:49999                127.0.0.1:49655      CLOSED           7120     conhost.exe    
0x13d37acf0        TCPv4    172.115.1.69:57577             172.115.1.81:17472   CLOSED           6604     TaniumClient.e 
0x13d4683a0        TCPv4    127.0.0.1:60766                127.0.0.1:12934      CLOSED           8132     conhost.exe    
0x13d6644c0        TCPv4    127.0.0.1:54753                127.0.0.1:49998      CLOSED           7120     conhost.exe    
0x13d6c4bc0        TCPv4    127.0.0.1:54752                127.0.0.1:49998      CLOSED           7120     conhost.exe    
0x13db78010        UDPv4    0.0.0.0:5355                   *:*                                   640      svchost.exe    2019-09-03 12:21:19 UTC+0000
0x13deb2850        UDPv4    127.0.0.1:53476                *:*                                   980      svchost.exe    2019-08-28 12:22:20 UTC+0000
0x13e002660        UDPv4    0.0.0.0:0                      *:*                                   512      lsass.exe      2019-08-28 12:21:11 UTC+0000
0x13e0189c0        UDPv4    127.0.0.1:49835                *:*                                   512      lsass.exe      2019-08-28 12:21:11 UTC+0000
0x13e02a4c0        UDPv4    0.0.0.0:0                      *:*                                   868      svchost.exe    2019-08-28 12:21:44 UTC+0000
0x13e02cab0        UDPv4    0.0.0.0:0                      *:*                                   512      lsass.exe      2019-08-28 12:21:11 UTC+0000
0x13e02cab0        UDPv6    :::0                           *:*                                   512      lsass.exe      2019-08-28 12:21:11 UTC+0000
0x13e1b2c20        UDPv4    127.0.0.1:64417                *:*                                   640      svchost.exe    2019-08-28 12:21:23 UTC+0000
0x13dda6470        TCPv4    127.0.0.1:17473                0.0.0.0:0            LISTENING        6604     TaniumClient.e 
0x13deccb50        TCPv4    127.0.0.1:49998                0.0.0.0:0            LISTENING        1364     java.exe       
0x13deda6b0        TCPv4    0.0.0.0:50823                  0.0.0.0:0            LISTENING        496      services.exe   
0x13dedb630        TCPv4    0.0.0.0:47001                  0.0.0.0:0            LISTENING        4        System         
0x13dedb630        TCPv6    :::47001                       :::0                 LISTENING        4        System         
0x13deeb010        TCPv4    0.0.0.0:50824                  0.0.0.0:0            LISTENING        2452     svchost.exe    
0x13deeb010        TCPv6    :::50824                       :::0                 LISTENING        2452     svchost.exe    
0x13df89a40        TCPv4    0.0.0.0:50823                  0.0.0.0:0            LISTENING        496      services.exe   
0x13df89a40        TCPv6    :::50823                       :::0                 LISTENING        496      services.exe   
