Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x13d821010        UDPv6    fe80::f97e:b890:927a:2a87:65350 *:*                                   480      svchost.exe    2019-08-26 14:15:07 UTC+0000
0x13da345b0        UDPv4    0.0.0.0:123                    *:*                                   860      svchost.exe    2019-08-26 14:15:10 UTC+0000
0x13dc6dc70        UDPv4    0.0.0.0:5355                   *:*                                   992      svchost.exe    2019-08-27 14:15:06 UTC+0000
0x13e085730        UDPv6    ::1:65352                      *:*                                   480      svchost.exe    2019-08-26 14:15:07 UTC+0000
0x13e0f1530        UDPv4    10.10.1.77:65354               *:*                                   480      svchost.exe    2019-08-26 14:15:07 UTC+0000
0x13e19c2b0        UDPv6    fe80::e062:8803:ece6:cf7d:1900 *:*                                   480      svchost.exe    2019-08-26 14:15:07 UTC+0000
0x13dda8010        TCPv4    10.10.1.77:139                 0.0.0.0:0            LISTENING        4        System         
0x13e012290        TCPv4    0.0.0.0:445                    0.0.0.0:0            LISTENING        4        System         
0x13e012290        TCPv6    :::445                         :::0                 LISTENING        4        System         
0x13dcfab70        TCPv4    -:0                            24.59.135.50:0       CLOSED           892      svchost.exe    
0x13e136cf0        TCPv4    -:0                            24.27.135.50:0       CLOSED           1452     java.exe       
0x13e25f360        UDPv4    0.0.0.0:0                      *:*                                   460      lsass.exe      2019-08-19 19:08:48 UTC+0000
0x13e263b50        UDPv4    0.0.0.0:0                      *:*                                   460      lsass.exe      2019-08-19 19:08:48 UTC+0000
0x13e263b50        UDPv6    :::0                           *:*                                   460      lsass.exe      2019-08-19 19:08:48 UTC+0000
0x13e266240        UDPv4    0.0.0.0:0                      *:*                                   460      lsass.exe      2019-08-19 19:08:49 UTC+0000
0x13e267d00        UDPv4    0.0.0.0:0                      *:*                                   460      lsass.exe      2019-08-19 19:08:49 UTC+0000
0x13e267d00        UDPv6    :::0                           *:*                                   460      lsass.exe      2019-08-19 19:08:49 UTC+0000
0x13e2691b0        UDPv4    127.0.0.1:63538                *:*                                   992      svchost.exe    2019-08-19 19:08:51 UTC+0000
0x13e26c6f0        UDPv4    127.0.0.1:63536                *:*                                   460      lsass.exe      2019-08-19 19:08:51 UTC+0000
