Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x75e9df0          UDPv4    127.0.0.1:16496                *:*                                   1540     dfsrs.exe      2019-09-16 19:48:32 UTC+0000
0x8005aa0          TCPv4    172.115.4.4:135                172.115.1.101:49690  ESTABLISHED      808      svchost.exe    
0x80a9d10          TCPv6    fe80::1c4f:3331:650b:6676:49156 fe80::1c4f:3331:650b:6676:61714 ESTABLISHED      568      lsass.exe      
0x80e1010          TCPv6    fe80::1c4f:3331:650b:6676:61714 fe80::1c4f:3331:650b:6676:49156 ESTABLISHED      1540     dfsrs.exe      
0x80ee850          TCPv4    172.115.4.4:389                172.115.4.9:53362    ESTABLISHED      568      lsass.exe      
0x818cd10          TCPv4    172.115.4.4:49156              172.115.1.146:62692  CLOSED           568      lsass.exe      
0x81de4b0          TCPv4    172.115.4.4:135                172.115.1.128:62567  CLOSED           808      svchost.exe    
0x81ded10          TCPv4    172.115.4.4:49156              172.115.1.83:52505   CLOSED           568      lsass.exe      
0x8209640          TCPv4    172.115.4.4:445                172.115.1.61:54004   ESTABLISHED      4        System         
0x82b9d10          TCPv4    172.115.4.4:135                172.115.1.157:54344  CLOSED           808      svchost.exe    
0x83b76d0          TCPv4    172.115.4.4:49156              172.115.1.160:53333  CLOSED           568      lsass.exe      
0x1123c010         TCPv6    fe80::1c4f:3331:650b:6676:56410 fe80::1c4f:3331:650b:6676:389 ESTABLISHED      1596     dns.exe        
0x1124fd10         TCPv4    172.115.4.4:135                172.115.1.97:61270   CLOSED           808      svchost.exe    
0x1127e9f0         TCPv4    172.115.4.4:88                 172.115.1.77:58253   CLOSED           568      lsass.exe      
0x112ead10         TCPv4    172.115.4.4:445                172.115.2.223:65522  ESTABLISHED      4        System         
0x113684b0         TCPv4    172.115.4.4:49156              172.115.1.166:54849  CLOSED           568      lsass.exe      
0x113a69e0         TCPv4    172.115.4.4:49156              172.115.1.89:63163   CLOSED           568      lsass.exe      
0x113cb4f0         TCPv4    172.115.4.4:49156              172.115.1.146:62839  CLOSED           568      lsass.exe      
0x113d4630         TCPv4    172.115.4.4:49156              172.115.1.109:62658  CLOSED           568      lsass.exe      
0x12598010         UDPv4    127.0.0.1:16496                *:*                                   868      explorer.exe   2019-09-17 19:57:59 UTC+0000
0x12408800         TCPv6    fe80::1c4f:3331:650b:6676:389  fe80::1c4f:3331:650b:6676:56422 ESTABLISHED      568      lsass.exe      
0x12502d10         TCPv4    172.115.4.4:135                172.115.1.156:64123  CLOSED           808      svchost.exe    
0x1341e010         UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x2026f500         TCPv4    172.115.4.4:135                172.115.1.183:55164  CLOSED           808      svchost.exe    
0x24ba0880         TCPv4    172.115.4.4:445                172.115.2.178:63909  ESTABLISHED      4        System         
0x2bb88130         UDPv4    0.0.0.0:0                      *:*                                   628      svchost.exe    2019-09-18 07:35:00 UTC+0000
0x35a0b7a0         TCPv6    fe80::1c4f:3331:650b:6676:57822 fe80::1c4f:3331:650b:6676:389 CLOSED           360      svchost.exe    
0x3fac24d0         TCPv4    172.115.4.4:389                172.115.4.9:53337    ESTABLISHED      568      lsass.exe      
0x3fda89f0         TCPv4    172.115.4.4:88                 172.115.2.176:52779  CLOSED           568      lsass.exe      
0x3ff60d10         TCPv4    172.115.4.4:445                172.115.2.231:56390  ESTABLISHED      4        System         
0x3ffc1500         TCPv6    ::1:57829                      ::1:389              CLOSED           2880     Microsoft.Acti 
0x4040e500         TCPv4    172.115.4.4:445                172.115.1.81:52476   CLOSED           4        System         
0x40477400         TCPv4    172.115.4.4:389                172.115.4.9:51979    ESTABLISHED      568      lsass.exe      
0x4047f7a0         TCPv4    172.115.4.4:135                172.115.1.192:57509  CLOSED           808      svchost.exe    
0x40489780         TCPv6    fe80::1c4f:3331:650b:6676:135  fe80::1c4f:3331:650b:6676:57820 CLOSED           808      svchost.exe    
0x404b2d10         TCPv4    172.115.4.4:3268               172.115.4.9:56596    ESTABLISHED      568      lsass.exe      
0x100913660        UDPv4    10.10.4.4:28736                *:*                                   4        System         2019-09-16 19:32:09 UTC+0000
0x100671330        TCPv4    0.0.0.0:49154                  0.0.0.0:0            LISTENING        1000     svchost.exe    
0x1065f9560        TCPv4    0.0.0.0:135                    0.0.0.0:0            LISTENING        808      svchost.exe    
0x107925970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x1097275d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x109727ba0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x1092d56c0        TCPv4    0.0.0.0:49157                  0.0.0.0:0            LISTENING        568      lsass.exe      
0x1092d56c0        TCPv6    :::49157                       :::0                 LISTENING        568      lsass.exe      
0x109cb0740        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x10a7384c0        UDPv4    0.0.0.0:0                      *:*                                   568      lsass.exe      2019-09-16 19:32:18 UTC+0000
0x10a7384c0        UDPv6    :::0                           *:*                                   568      lsass.exe      2019-09-16 19:32:18 UTC+0000
0x10ab39330        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ab39cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
