Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x928eb30          UDPv4    0.0.0.0:0                      *:*                                   2976     wsmprovhost.ex 2019-09-18 17:14:25 UTC+0000
0x928eb30          UDPv6    :::0                           *:*                                   2976     wsmprovhost.ex 2019-09-18 17:14:25 UTC+0000
0x10055a0b0        UDPv4    172.115.4.14:41088             *:*                                   4        System         2019-09-16 19:03:27 UTC+0000
0x10787c290        UDPv4    0.0.0.0:0                      *:*                                   852      svchost.exe    2019-09-18 17:25:12 UTC+0000
0x10787c290        UDPv6    :::0                           *:*                                   852      svchost.exe    2019-09-18 17:25:12 UTC+0000
0x107882850        UDPv4    0.0.0.0:0                      *:*                                   852      svchost.exe    2019-09-18 17:25:12 UTC+0000
0x107882850        UDPv6    :::0                           *:*                                   852      svchost.exe    2019-09-18 17:25:12 UTC+0000
0x1078016b0        TCPv4    172.115.4.14:53015             172.115.4.4:88       CLOSED           528      lsass.exe      
0x10788a230        TCPv4    172.115.4.14:53031             172.115.4.4:49156    ESTABLISHED      528      lsass.exe      
0x10c9f3b90        UDPv4    0.0.0.0:0                      *:*                                   852      svchost.exe    2019-09-16 19:06:24 UTC+0000
0x10c9f3b90        UDPv6    :::0                           *:*                                   852      svchost.exe    2019-09-16 19:06:24 UTC+0000
0x10ca63ec0        UDPv4    0.0.0.0:0                      *:*                                   852      svchost.exe    2019-09-16 19:06:24 UTC+0000
0x10ca67770        UDPv4    0.0.0.0:0                      *:*                                   852      svchost.exe    2019-09-16 19:06:24 UTC+0000
0x10cb66590        UDPv4    0.0.0.0:0                      *:*                                   852      svchost.exe    2019-09-16 19:06:24 UTC+0000
0x10c696290        TCPv4    0.0.0.0:49157                  0.0.0.0:0            LISTENING        1080     spoolsv.exe    
0x10c696290        TCPv6    :::49157                       :::0                 LISTENING        1080     spoolsv.exe    
0x10c696700        TCPv4    0.0.0.0:49157                  0.0.0.0:0            LISTENING        1080     spoolsv.exe    
0x1120ab0f0        TCPv4    172.115.4.14:53033             172.115.4.4:389      CLOSED           852      svchost.exe    
0x114d555a0        UDPv4    0.0.0.0:0                      *:*                                   888      svchost.exe    2019-09-16 19:07:44 UTC+0000
0x114d5a380        UDPv4    0.0.0.0:0                      *:*                                   776      svchost.exe    2019-09-16 19:07:48 UTC+0000
0x11508d950        UDPv4    127.0.0.1:16464                *:*                                   960      svchost.exe    2019-09-17 07:05:58 UTC+0000
0x11514cba0        UDPv4    0.0.0.0:0                      *:*                                   776      svchost.exe    2019-09-16 19:07:48 UTC+0000
0x11514cba0        UDPv6    :::0                           *:*                                   776      svchost.exe    2019-09-16 19:07:48 UTC+0000
0x115077e80        TCPv4    0.0.0.0:49158                  0.0.0.0:0            LISTENING        520      services.exe   
0x115091b50        TCPv4    0.0.0.0:47001                  0.0.0.0:0            LISTENING        4        System         
0x115091b50        TCPv6    :::47001                       :::0                 LISTENING        4        System         
0x1150ca930        TCPv4    0.0.0.0:5985                   0.0.0.0:0            LISTENING        4        System         
0x1150ca930        TCPv6    :::5985                        :::0                 LISTENING        4        System         
0x11513e210        TCPv4    0.0.0.0:49159                  0.0.0.0:0            LISTENING        776      svchost.exe    
0x115147a60        TCPv4    0.0.0.0:49158                  0.0.0.0:0            LISTENING        520      services.exe   
0x115147a60        TCPv6    :::49158                       :::0                 LISTENING        520      services.exe   
0x115159780        TCPv4    0.0.0.0:49159                  0.0.0.0:0            LISTENING        776      svchost.exe    
0x115159780        TCPv6    :::49159                       :::0                 LISTENING        776      svchost.exe    
0x1151f2010        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        1100     svchost.exe    
0x11a853cf0        UDPv4    0.0.0.0:0                      *:*                                   1100     svchost.exe    2019-09-16 19:07:53 UTC+0000
0x11a855b20        UDPv4    0.0.0.0:0                      *:*                                   1100     svchost.exe    2019-09-16 19:07:53 UTC+0000
0x11a855b20        UDPv6    :::0                           *:*                                   1100     svchost.exe    2019-09-16 19:07:53 UTC+0000
0x11a8d5ec0        UDPv4    0.0.0.0:0                      *:*                                   888      svchost.exe    2019-09-16 19:09:13 UTC+0000
0x11a9e6010        UDPv4    0.0.0.0:0                      *:*                                   888      svchost.exe    2019-09-16 19:09:13 UTC+0000
0x11a9e6010        UDPv6    :::0                           *:*                                   888      svchost.exe    2019-09-16 19:09:13 UTC+0000
0x11a80dbf0        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        1100     svchost.exe    
0x11a80dbf0        TCPv6    :::3389                        :::0                 LISTENING        1100     svchost.exe    
0x11ba2da80        UDPv4    0.0.0.0:0                      *:*                                   960      svchost.exe    2019-09-18 07:05:58 UTC+0000
0x11ba2da80        UDPv6    :::0                           *:*                                   960      svchost.exe    2019-09-18 07:05:58 UTC+0000
