Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffe00000116940 System                    4      0     82        0 ------      0 2019-09-16 18:36:52 UTC+0000                                 
0xffffe00001a3b2c0 smss.exe                208      4      2        0 ------      0 2019-09-16 18:36:52 UTC+0000                                 
0xffffe00002486080 csrss.exe               308    300      9        0      0      0 2019-09-16 18:36:56 UTC+0000                                 
0xffffe000024e5940 csrss.exe               376    368      8        0      1      0 2019-09-16 18:36:57 UTC+0000                                 
0xffffe000024e4940 wininit.exe             384    300      1        0      0      0 2019-09-16 18:36:57 UTC+0000                                 
0xffffe00002541940 winlogon.exe            412    368      2        0      1      0 2019-09-16 18:36:58 UTC+0000                                 
0xffffe000024df940 services.exe            472    384      4        0      0      0 2019-09-16 18:36:59 UTC+0000                                 
0xffffe000012d5700 lsass.exe               480    384      7        0      0      0 2019-09-16 18:36:59 UTC+0000                                 
0xffffe00001337940 svchost.exe             540    472      6        0      0      0 2019-09-16 18:37:03 UTC+0000                                 
0xffffe00001304940 svchost.exe             584    472      7        0      0      0 2019-09-16 18:37:03 UTC+0000                                 
0xffffe00001300940 LogonUI.exe             660    412      8        0      1      0 2019-09-16 18:37:04 UTC+0000                                 
0xffffe000013b54c0 dwm.exe                 676    412      8        0      1      0 2019-09-16 18:37:04 UTC+0000                                 
0xffffe000012f8940 svchost.exe             708    472     12        0      0      0 2019-09-16 18:37:05 UTC+0000                                 
0xffffe000012f4940 svchost.exe             740    472     41        0      0      0 2019-09-16 18:37:05 UTC+0000                                 
0xffffe000013fc940 svchost.exe             780    472     15        0      0      0 2019-09-16 18:37:06 UTC+0000                                 
0xffffe0000248b080 svchost.exe             844    472     17        0      0      0 2019-09-16 18:37:06 UTC+0000                                 
0xffffe000026ec940 svchost.exe             996    472     15        0      0      0 2019-09-16 18:37:07 UTC+0000                                 
0xffffe0000277a3c0 spoolsv.exe             552    472      9        0      0      0 2019-09-16 18:37:10 UTC+0000                                 
0xffffe00002709940 sqlservr.exe            832    472     68        0      0      0 2019-09-16 18:37:11 UTC+0000                                 
0xffffe00002703940 sqlbrowser.exe         1060    472      7        0      0      1 2019-09-16 18:37:15 UTC+0000                                 
0xffffe00001665940 sqlwriter.exe          1096    472      2        0      0      0 2019-09-16 18:37:17 UTC+0000                                 
0xffffe00001682940 svchost.exe            1120    472     10        0      0      0 2019-09-16 18:37:18 UTC+0000                                 
0xffffe00001677940 VGAuthService.         1168    472      2        0      0      0 2019-09-16 18:37:18 UTC+0000                                 
0xffffe000016cc080 vmtoolsd.exe           1272    472     10        0      0      0 2019-09-16 18:37:22 UTC+0000                                 
0xffffe000018a9940 EventParser.ex         1828    472     76        0      0      1 2019-09-16 18:37:30 UTC+0000                                 
0xffffe000018b9080 tomcat7.exe            1908    472     81        0      0      0 2019-09-16 18:37:32 UTC+0000                                 
0xffffe000018ec940 srvmon.exe             1916   1828      3        0      0      1 2019-09-16 18:37:32 UTC+0000                                 
0xffffe000018ab940 conhost.exe            1940   1908      2        0      0      0 2019-09-16 18:37:32 UTC+0000                                 
