Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa80610d1970 System                    4      0    139      985 ------      0 2019-08-19 13:42:42 UTC+0000                                 
0xfffffa8061765870 smss.exe                256      4      3       35 ------      0 2019-08-19 13:42:43 UTC+0000                                 
0xfffffa8061c5fb10 csrss.exe               360    352     10     1550      0      0 2019-08-19 13:43:49 UTC+0000                                 
0xfffffa8061c99900 csrss.exe               436    424      0 --------      1      0 2019-08-19 13:44:00 UTC+0000   2019-08-19 18:00:44 UTC+0000  
0xfffffa8061ca2b10 wininit.exe             444    352      3       89      0      0 2019-08-19 13:44:00 UTC+0000                                 
0xfffffa8061cb4b10 winlogon.exe            476    424      0 --------      1      0 2019-08-19 13:44:01 UTC+0000   2019-08-19 18:00:43 UTC+0000  
0xfffffa8061d26b10 services.exe            540    444      7      376      0      0 2019-08-19 13:44:09 UTC+0000                                 
0xfffffa8061d3f8f0 lsass.exe               548    444      9     1675      0      0 2019-08-19 13:44:13 UTC+0000                                 
0xfffffa8061d4aa80 lsm.exe                 556    444     10      259      0      0 2019-08-19 13:44:14 UTC+0000                                 
0xfffffa8061edcb10 svchost.exe             656    540     11      380      0      0 2019-08-19 13:44:30 UTC+0000                                 
0xfffffa80615e5b10 svchost.exe             736    540      8      418      0      0 2019-08-19 13:44:40 UTC+0000                                 
0xfffffa8061c54320 svchost.exe             828    540     16      463      0      0 2019-08-19 13:44:43 UTC+0000                                 
0xfffffa8061cc0060 svchost.exe             872    540     36     1221      0      0 2019-08-19 13:44:45 UTC+0000                                 
0xfffffa8061d4e060 svchost.exe             912    540     15      708      0      0 2019-08-19 13:44:52 UTC+0000                                 
0xfffffa8061d8a060 svchost.exe             972    540      9      275      0      0 2019-08-19 13:44:57 UTC+0000                                 
0xfffffa80620a0b10 svchost.exe            1016    540     19      588      0      0 2019-08-19 13:44:59 UTC+0000                                 
0xfffffa8061ccbb10 svchost.exe             424    540     17      321      0      0 2019-08-19 13:45:14 UTC+0000                                 
0xfffffa80620ac4b0 LogonUI.exe            1052    476      0 --------      1      0 2019-08-19 13:45:21 UTC+0000   2019-08-19 14:45:02 UTC+0000  
0xfffffa80620dbb10 spoolsv.exe            1156    540     13      312      0      0 2019-08-19 13:45:27 UTC+0000                                 
0xfffffa806211eb10 svchost.exe            1188    540      8      102      0      0 2019-08-19 13:45:30 UTC+0000                                 
0xfffffa8062123b10 svchost.exe            1216    540     10      156      0      0 2019-08-19 13:45:30 UTC+0000                                 
0xfffffa8062124060 inetinfo.exe           1240    540      6      220      0      0 2019-08-19 13:45:31 UTC+0000                                 
0xfffffa806212fb10 MSExchangeADTo         1428    540     11      325      0      0 2019-08-19 13:46:04 UTC+0000                                 
0xfffffa806228bb10 exfba.exe              1488    540      7      187      0      0 2019-08-19 13:46:12 UTC+0000                                 
0xfffffa806229bb10 msftesql.exe           1536    540      9      818      0      0 2019-08-19 13:46:14 UTC+0000                                 
0xfffffa80622cc600 ruby.exe               1672    540     10      118      0      0 2019-08-19 13:46:52 UTC+0000                                 
0xfffffa806232a880 svchost.exe            1764    540      9      504      0      0 2019-08-19 13:47:08 UTC+0000                                 
0xfffffa806233d600 sysmon.exe             1800    540      8      242      0      0 2019-08-19 13:47:09 UTC+0000                                 
0xfffffa806213eb10 TaniumClient.e         1864    540      7      172      0      1 2019-08-19 13:47:14 UTC+0000                                 
0xfffffa80623b5060 conhost.exe             324    360      0 --------      0      0 2019-08-19 13:47:57 UTC+0000   2019-08-19 16:44:40 UTC+0000  
0xfffffa80623bd600 conhost.exe             752    360      0 --------      0      0 2019-08-19 13:47:57 UTC+0000   2019-08-19 20:27:21 UTC+0000  
0xfffffa80623e4b10 VGAuthService.          728    540      3      100      0      0 2019-08-19 13:47:59 UTC+0000                                 
0xfffffa80624255e0 vmtoolsd.exe            940    540      9      542      0      0 2019-08-19 13:48:23 UTC+0000                                 
0xfffffa8062434b10 svchost.exe            1588    540     20      195      0      0 2019-08-19 13:48:39 UTC+0000                                 
0xfffffa8062337060 cmd.exe                 720   1672      0 --------      0      0 2019-08-19 13:52:33 UTC+0000   2019-08-19 14:09:32 UTC+0000  
0xfffffa8062592b10 conhost.exe            1652    360      0 --------      0      0 2019-08-19 13:52:33 UTC+0000   2019-08-19 14:09:32 UTC+0000  
0xfffffa80625c9610 ruby.exe               1564    720      0 --------      0      0 2019-08-19 13:52:33 UTC+0000   2019-08-19 14:09:30 UTC+0000  
0xfffffa806251db10 unsecapp.exe            804    656      4       76      0      0 2019-08-19 13:53:19 UTC+0000                                 
0xfffffa80625f0060 MSExchangeThro         2464    540     18      327      0      0 2019-08-19 13:55:08 UTC+0000                                 
0xfffffa8062688b10 SMSvcHost.exe          2696    540      8      396      0      0 2019-08-19 13:56:16 UTC+0000                                 
0xfffffa8062747b10 taskeng.exe            2768    872      0 --------      0      0 2019-08-19 13:56:31 UTC+0000   2019-08-19 14:34:31 UTC+0000  
0xfffffa806276bb10 powershell.exe         2836   2768      0 --------      0      0 2019-08-19 13:56:35 UTC+0000   2019-08-19 14:28:51 UTC+0000  
0xfffffa8062774b10 conhost.exe            2844    360      0 --------      0      0 2019-08-19 13:56:40 UTC+0000   2019-08-19 14:28:51 UTC+0000  
0xfffffa806277b230 w3wp.exe               3064   1588      0 --------      0      0 2019-08-19 13:56:57 UTC+0000   2019-08-19 14:02:30 UTC+0000  
0xfffffa806286e190 mad.exe                2616    540     35      864      0      0 2019-08-19 13:58:08 UTC+0000                                 
0xfffffa80629b3b10 svchost.exe            2112    540     10      306      0      0 2019-08-19 13:59:44 UTC+0000                                 
0xfffffa80629bf4f0 dllhost.exe            3120    540      0 --------      0      0 2019-08-19 13:59:45 UTC+0000   2019-08-19 14:04:17 UTC+0000  
0xfffffa80620bbb10 svchost.exe            3328    540      5      114      0      0 2019-08-19 13:59:49 UTC+0000                                 
0xfffffa80629af7b0 WmiPrvSE.exe           3540    656     12      611      0      0 2019-08-19 14:00:02 UTC+0000                                 
0xfffffa8062804b10 dllhost.exe            3612    540     13      205      0      0 2019-08-19 14:00:06 UTC+0000                                 
0xfffffa8062abc060 msdtc.exe              3752    540     12      146      0      0 2019-08-19 14:00:18 UTC+0000                                 
0xfffffa80627c7b10 w3wp.exe               3880   1588     32     1134      0      0 2019-08-19 14:00:31 UTC+0000                                 
0xfffffa8062937b10 VSSVC.exe              2060    540      0 --------      0      0 2019-08-19 14:01:01 UTC+0000   2019-08-19 14:04:19 UTC+0000  
0xfffffa8062a55b10 sppsvc.exe             1732    540      0 --------      0      0 2019-08-19 14:01:15 UTC+0000   2019-08-19 14:12:25 UTC+0000  
0xfffffa8062bcab10 WmiApSrv.exe           1136    540      0 --------      0      0 2019-08-19 14:02:23 UTC+0000   2019-08-19 14:08:20 UTC+0000  
0xfffffa8062a60440 w3wp.exe               3652   1588      0 --------      0      0 2019-08-19 14:02:30 UTC+0000   2019-08-27 16:03:50 UTC+0000  
0xfffffa80626e4060 Microsoft.Exch         2920    540     25      653      0      0 2019-08-19 14:02:53 UTC+0000                                 
0xfffffa8062619b10 Microsoft.Exch          936    540     11      292      0      0 2019-08-19 14:03:30 UTC+0000                                 
0xfffffa8062a81060 Microsoft.Exch         3040    540     22      425      0      0 2019-08-19 14:03:33 UTC+0000                                 
0xfffffa80627e0b10 MsExchangeFDS.          336    540     20      453      0      0 2019-08-19 14:03:57 UTC+0000                                 
0xfffffa8062c83290 store.exe              3744    540     41     2617      0      0 2019-08-19 14:04:01 UTC+0000                                 
0xfffffa8062cc8b10 MSExchangeMail         4540    540     22      970      0      0 2019-08-19 14:04:45 UTC+0000                                 
0xfffffa8062d734d0 MSExchangeMail         4876    540     26      519      0      0 2019-08-19 14:05:24 UTC+0000                                 
0xfffffa8062c75b10 Microsoft.Exch         3536    540     17      316      0      0 2019-08-19 14:06:18 UTC+0000                                 
0xfffffa8062c73600 msexchangerepl         1692    540     30      810      0      0 2019-08-19 14:06:21 UTC+0000                                 
0xfffffa8062d8c060 Microsoft.Exch         4872    540     28     1357      0      0 2019-08-19 14:07:14 UTC+0000                                 
0xfffffa8062e00b10 Microsoft.Exch         4832    540     39      783      0      0 2019-08-19 14:07:39 UTC+0000                                 
0xfffffa8062dfdb10 Microsoft.Exch         2948    540     34      926      0      0 2019-08-19 14:07:53 UTC+0000                                 
0xfffffa806264f060 MSExchangeTran         5200    540     22      472      0      0 2019-08-19 14:08:16 UTC+0000                                 
0xfffffa80630bcb10 w3wp.exe               7028   1588     13      248      0      0 2019-08-19 14:28:45 UTC+0000                                 
0xfffffa80630b9670 TaniumDetectEn         6540   6024      1        0      0      0 2019-08-19 14:32:23 UTC+0000                                 
0xfffffa8062fbe060 cmd.exe                6908   5812      1       38      0      1 2019-08-19 14:34:05 UTC+0000                                 
0xfffffa806327eb10 conhost.exe            5416    360      2       35      0      0 2019-08-19 14:34:06 UTC+0000                                 
0xfffffa8063066b10 cscript.exe            6448   6908      5      165      0      1 2019-08-19 14:34:06 UTC+0000                                 
0xfffffa80631f9b10 TaniumEndpoint         2088   4008     15      296      0      0 2019-08-19 14:39:43 UTC+0000                                 
0xfffffa80632aa060 conhost.exe            6508    360      2       32      0      0 2019-08-19 14:39:43 UTC+0000                                 
0xfffffa8063111b10 Microsoft.Exch         2592    540     22      358      0      0 2019-08-19 17:59:55 UTC+0000                                 
0xfffffa806192d600 Microsoft.Exch         6528   2592     29      894      0      0 2019-08-19 17:59:56 UTC+0000                                 
0xfffffa80631b06d0 conhost.exe            5680    360      1       32      0      0 2019-08-19 17:59:57 UTC+0000                                 
0xfffffa8062e6fb10 csrss.exe              1056   4152      8      308      2      0 2019-08-19 18:00:43 UTC+0000                                 
0xfffffa8062e6a060 winlogon.exe           2860   4152      3      118      2      0 2019-08-19 18:00:43 UTC+0000                                 
0xfffffa8063819060 taskhost.exe           3232    540      9      195      2      0 2019-08-22 15:01:28 UTC+0000                                 
0xfffffa8063e06b10 dwm.exe                7820    972      3       83      2      0 2019-08-22 15:01:29 UTC+0000                                 
0xfffffa8063f27b10 explorer.exe           1548   3324     19      607      2      0 2019-08-22 15:01:29 UTC+0000                                 
0xfffffa8063f01b10 vmtoolsd.exe           6884   1548      6      150      2      0 2019-08-22 15:01:29 UTC+0000                                 
0xfffffa8062b57600 mmc.exe                3252   1548      0 --------      2      0 2019-08-22 15:03:41 UTC+0000   2019-08-22 15:21:24 UTC+0000  
0xfffffa8063f5db10 mmc.exe                1080   1548     25      965      2      0 2019-08-22 15:05:07 UTC+0000                                 
0xfffffa8063d02b10 TrustedInstall         8296    540      4      131      0      0 2019-08-22 15:06:23 UTC+0000                                 
0xfffffa806562bb10 w3wp.exe               8940   1588     34     1432      0      0 2019-08-22 15:08:07 UTC+0000                                 
0xfffffa8065803b10 mmc.exe                3876   1548     24      644      2      0 2019-08-22 15:49:20 UTC+0000                                 
0xfffffa8063305060 vds.exe                9676    540     13      147      0      0 2019-08-22 15:49:28 UTC+0000                                 
0xfffffa8065774060 taskmgr.exe            8828   1548      7      131      2      0 2019-08-22 15:49:31 UTC+0000                                 
0xfffffa8063c7c060 cmd.exe                6636    940      0 --------      0      0 2019-08-22 16:12:36 UTC+0000   2019-08-22 16:16:20 UTC+0000  
0xfffffa8063def060 cmd.exe                2804    940      0 --------      0      0 2019-08-22 16:16:25 UTC+0000   2019-08-22 16:16:27 UTC+0000  
0xfffffa8062dec060 mmc.exe                 492   1548     14      326      2      0 2019-08-22 16:32:32 UTC+0000                                 
0xfffffa80632241b0 MSExchangeTran        11040    540     17      344      0      0 2019-08-22 16:33:00 UTC+0000                                 
0xfffffa8063021930 EdgeTransport.        10320  11040     50     2971      0      0 2019-08-22 16:33:01 UTC+0000                                 
0xfffffa8061adf500 conhost.exe            9884    360      1       32      0      0 2019-08-22 16:33:01 UTC+0000                                 
0xfffffa8065643060 MSExchangeMail        10884    540     23      836      0      0 2019-08-22 16:41:16 UTC+0000                                 
0xfffffa8063fa06e0 TaniumClient.e         5820   1864      0 --------      0      0 2019-08-26 14:20:08 UTC+0000   2019-08-26 19:56:00 UTC+0000  
0xfffffa80629e6150 TaniumClient.e        10180   1864      0 --------      0      0 2019-08-26 14:21:13 UTC+0000   2019-08-26 19:55:56 UTC+0000  
0xfffffa8063d3a870 WmiPrvSE.exe           7740    656      0 --------      0      0 2019-08-26 18:52:49 UTC+0000   2019-08-26 19:03:24 UTC+0000  
0xfffffa80631e8060 TaniumClient.e         9988   5820      0 --------      0      0 2019-08-26 18:52:51 UTC+0000   2019-08-26 19:52:57 UTC+0000  
0xfffffa80639c3060 rubyw.exe             11700    540     12      178      0      0 2019-08-27 14:55:08 UTC+0000                                 
0xfffffa8062e57610 csrss.exe              9964   6148      9       73      5      0 2019-08-27 15:25:54 UTC+0000                                 
0xfffffa80633df750 winlogon.exe           7536   6148      3       79      5      0 2019-08-27 15:25:56 UTC+0000                                 
0xfffffa8062a02060 LogonUI.exe            5096   7536      6      162      5      0 2019-08-27 15:26:15 UTC+0000                                 
0xfffffa8062fbe5e0 rdpclip.exe           10844   2112      4       96      2      0 2019-08-27 15:27:22 UTC+0000                                 
0xfffffa80627a2060 w3wp.exe              11652   1588     36     1139      0      0 2019-08-27 16:08:13 UTC+0000                                 
0xfffffa80657a24d0 wsmprovhost.ex        11964    656      0 --------      0      0 2019-08-27 16:34:30 UTC+0000   2019-08-27 18:34:51 UTC+0000  
0xfffffa806398eb10 TaniumClient.e        11944   1864     12      197      0      1 2019-08-27 16:41:24 UTC+0000                                 
0xfffffa8065695650 conhost.exe            4464    360      2       33      0      0 2019-08-27 16:41:24 UTC+0000                                 
0xfffffa8065bc9b10 DumpIt.exe             2452   9392      1      101      0      0 2019-08-27 17:19:57 UTC+0000                                 
0xfffffa8065bb0470 conhost.exe           11132    360      2       33      0      0 2019-08-27 17:19:59 UTC+0000                                 
0xfffffa8063d6f060 TaniumClient.e        10824   1864     18      520      0      1 2019-08-27 17:37:38 UTC+0000                                 
0xfffffa8062ec2990 conhost.exe            7508    360      2       35      0      0 2019-08-27 17:37:38 UTC+0000                                 
0xfffffa8065b60600 TaniumClient.e        10584  10824      0 --------      0      0 2019-08-27 17:38:07 UTC+0000   2019-08-27 18:38:17 UTC+0000  
0xfffffa806569eb10 sppsvc.exe             8400    540      5      180      0      0 2019-08-27 18:33:45 UTC+0000                                 
0xfffffa806568e060 powershell.exe          372   1548      9      315 ------      0 2019-08-27 19:26:24 UTC+0000                                 
0xfffffa80657aa060 powershell.exe         5492   1548      9      350      2      0 2019-08-27 19:26:28 UTC+0000                                 
0xfffffa8064104060                      16...2 16...8      0 -------- ------      0                                                              
