Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb8970 System                    4      0    109      691 ------      0 2019-09-16 19:04:40 UTC+0000                                 
0xfffffa803158db10 smss.exe                268      4      2       32 ------      0 2019-09-16 19:04:47 UTC+0000                                 
0xfffffa8031339060 csrss.exe               372    364     10     1129      0      0 2019-09-16 19:10:47 UTC+0000                                 
0xfffffa80316ae060 csrss.exe               448    440     10       76      1      0 2019-09-16 19:11:19 UTC+0000                                 
0xfffffa80319b8b10 wininit.exe             456    364      3       87      0      0 2019-09-16 19:11:19 UTC+0000                                 
0xfffffa80319b0b10 winlogon.exe            492    440      3       81      1      0 2019-09-16 19:11:21 UTC+0000                                 
0xfffffa8031d1ab10 services.exe            552    456      7      309      0      0 2019-09-16 19:11:33 UTC+0000                                 
0xfffffa8031734b10 lsass.exe               560    456     11     1122      0      0 2019-09-16 19:12:07 UTC+0000                                 
0xfffffa8031739b10 lsm.exe                 568    456      9      197      0      0 2019-09-16 19:12:08 UTC+0000                                 
0xfffffa8031954b10 svchost.exe             668    552      9      367      0      0 2019-09-16 19:12:57 UTC+0000                                 
0xfffffa8031d96b10 svchost.exe             744    552      7      285      0      0 2019-09-16 19:13:28 UTC+0000                                 
0xfffffa8031dbeb10 svchost.exe             836    552     16      390      0      0 2019-09-16 19:13:36 UTC+0000                                 
0xfffffa8031df3b10 svchost.exe             892    552     34     1009      0      0 2019-09-16 19:13:41 UTC+0000                                 
0xfffffa8031dfdb10 svchost.exe             928    552     15      601      0      0 2019-09-16 19:13:50 UTC+0000                                 
0xfffffa8031e19b10 svchost.exe             988    552      5      124      0      0 2019-09-16 19:13:51 UTC+0000                                 
0xfffffa8031e37b10 svchost.exe             148    552     20      500      0      0 2019-09-16 19:13:56 UTC+0000                                 
0xfffffa8031d3db10 LogonUI.exe             452    492      6      167      1      0 2019-09-16 19:14:21 UTC+0000                                 
0xfffffa803164fb10 svchost.exe             420    552     17      313      0      0 2019-09-16 19:14:56 UTC+0000                                 
0xfffffa8031ef7b10 spoolsv.exe            1108    552     13      303      0      0 2019-09-16 19:15:20 UTC+0000                                 
0xfffffa8031faeb10 svchost.exe            1248    552     10      100      0      0 2019-09-16 19:16:02 UTC+0000                                 
0xfffffa8031f1d060 c2wtshost.exe          1276    552      7      197      0      0 2019-09-16 19:16:04 UTC+0000                                 
0xfffffa8031ecab10 svchost.exe            1388    552     10      155      0      0 2019-09-16 19:16:20 UTC+0000                                 
0xfffffa8031ed3b10 inetinfo.exe           1412    552      7      157      0      0 2019-09-16 19:16:21 UTC+0000                                 
0xfffffa80320b6b10 mqsvc.exe              1592    552     33      239      0      0 2019-09-16 19:17:06 UTC+0000                                 
0xfffffa8030fc9060 sqlservr.exe           1732    552     42      490      0      0 2019-09-16 19:17:20 UTC+0000                                 
0xfffffa80321463f0 SMSvcHost.exe          1980    552     11      308      0      0 2019-09-16 19:19:01 UTC+0000                                 
0xfffffa8032201b10 svchost.exe            1152    552      3       55      0      0 2019-09-16 19:19:45 UTC+0000                                 
0xfffffa8031febb10 OWSTIMER.EXE           1916    552      0 --------      0      0 2019-09-16 19:20:25 UTC+0000   2019-09-16 19:34:48 UTC+0000  
0xfffffa803220a060 wsstracing.exe          972    552     13      134      0      0 2019-09-16 19:20:32 UTC+0000                                 
0xfffffa8032137060 sqlwriter.exe           332    552      4       83      0      0 2019-09-16 19:20:59 UTC+0000                                 
0xfffffa8032241600 sysmon.exe              760    552      8      241      0      0 2019-09-16 19:21:08 UTC+0000                                 
0xfffffa8032197060 vmtoolsd.exe           2132    552      9      314      0      0 2019-09-16 19:23:39 UTC+0000                                 
0xfffffa803215ab10 svchost.exe            2176    552     18      194      0      0 2019-09-16 19:24:07 UTC+0000                                 
0xfffffa80322cab10 SMSvcHost.exe          2400    552      7      178      0      0 2019-09-16 19:24:16 UTC+0000                                 
0xfffffa8032413b10 svchost.exe            2072    552      9      242      0      0 2019-09-16 19:26:32 UTC+0000                                 
0xfffffa80322b0970 svchost.exe            2000    552      5      112      0      0 2019-09-16 19:26:32 UTC+0000                                 
0xfffffa803229cb10 dllhost.exe            2004    552     13      205      0      0 2019-09-16 19:26:44 UTC+0000                                 
0xfffffa8032452b10 msdtc.exe              1296    552     12      157      0      0 2019-09-16 19:26:53 UTC+0000                                 
0xfffffa8032472b10 sppsvc.exe             2816    552      0 --------      0      0 2019-09-16 19:28:57 UTC+0000   2019-09-16 19:42:02 UTC+0000  
0xfffffa8032498b10 unsecapp.exe           2392    668      3       77      0      0 2019-09-16 19:31:27 UTC+0000                                 
0xfffffa803249ab10 WmiPrvSE.exe           3680    668     12      356      0      0 2019-09-16 19:33:06 UTC+0000                                 
0xfffffa8032208b10 OWSTIMER.EXE           4068    552     51     1478      0      0 2019-09-16 19:35:18 UTC+0000                                 
0xfffffa803248cb10 WmiApSrv.exe           3224    552      0 --------      0      0 2019-09-16 19:36:01 UTC+0000   2019-09-16 19:41:36 UTC+0000  
0xfffffa80324f9060 mssearch.exe           1448    552     29     1923      0      0 2019-09-16 19:43:43 UTC+0000                                 
0xfffffa8032665060 mssdmn.exe             2516   1448      0 --------      0      0 2019-09-16 20:08:58 UTC+0000   2019-09-17 20:11:22 UTC+0000  
0xfffffa8032843060 w3wp.exe               3536   2176     51     3063      0      0 2019-09-16 20:11:10 UTC+0000                                 
0xfffffa803465a060 w3wp.exe               4252   2176     65     5866      0      0 2019-09-16 20:11:49 UTC+0000                                 
0xfffffa803280b060 mssdmn.exe             4360   1448     32      853      0      0 2019-09-16 20:21:33 UTC+0000                                 
0xfffffa8034840b10 mssdmn.exe             3632   1448     32      697      0      0 2019-09-16 20:23:27 UTC+0000                                 
0xfffffa80353d6600 w3wp.exe              12476   2176     79     2907      0      0 2019-09-18 05:31:00 UTC+0000                                 
0xfffffa8031b1b1d0 wsmprovhost.ex         2148    668     11      618      0      0 2019-09-18 17:15:07 UTC+0000                                 
0xfffffa8034cb0330 HOSTNAME.EXE           3736   2148      0 --------      0      0 2019-09-18 17:15:08 UTC+0000   2019-09-18 17:15:08 UTC+0000  
0xfffffa8031b17060 systeminfo.exe         7584   2148      0 --------      0      0 2019-09-18 17:15:09 UTC+0000   2019-09-18 17:18:55 UTC+0000  
0xfffffa8031b3fb10 TrustedInstall        13512    552      4      125      0      0 2019-09-18 17:15:15 UTC+0000                                 
0xfffffa80325128a0 DumpIt.exe             5156   2148      3      110      0      0 2019-09-18 17:19:00 UTC+0000                                 
0xfffffa8034be7790 conhost.exe           10824    372      2       33      0      0 2019-09-18 17:19:00 UTC+0000                                 
