Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9820 System                    4      0     93     1031 ------      0 2019-08-28 11:35:27 UTC+0000                                 
0xfffffa8031e6a800 smss.exe                252      4      3       30 ------      0 2019-08-28 11:35:33 UTC+0000                                 
0xfffffa80325beb10 csrss.exe               340    332     10      786      0      0 2019-08-28 11:36:39 UTC+0000                                 
0xfffffa80325c7b10 wininit.exe             396    332      3       77      0      0 2019-08-28 11:36:45 UTC+0000                                 
0xfffffa80328b4490 services.exe            504    396      6      276      0      0 2019-08-28 11:36:49 UTC+0000                                 
0xfffffa80325e77b0 lsass.exe               512    396      9     1025      0      0 2019-08-28 11:36:53 UTC+0000                                 
0xfffffa80328b7060 lsm.exe                 524    396      9      229      0      0 2019-08-28 11:36:53 UTC+0000                                 
0xfffffa80325e4b10 svchost.exe             624    504     11      395      0      0 2019-08-28 11:36:54 UTC+0000                                 
0xfffffa803292c060 svchost.exe             700    504      8      400      0      0 2019-08-28 11:36:54 UTC+0000                                 
0xfffffa8032910b10 svchost.exe             772    504     20      599      0      0 2019-08-28 11:36:54 UTC+0000                                 
0xfffffa80328fc870 svchost.exe             824    504     17      441      0      0 2019-08-28 11:36:54 UTC+0000                                 
0xfffffa80325d6b10 svchost.exe             864    504     16      720      0      0 2019-08-28 11:36:54 UTC+0000                                 
0xfffffa80329aeb10 svchost.exe             888    504     30     1102      0      0 2019-08-28 11:36:54 UTC+0000                                 
0xfffffa80329c8b10 svchost.exe            1000    504      5      197      0      0 2019-08-28 11:37:02 UTC+0000                                 
0xfffffa8032a0cb10 svchost.exe             572    504     25      697      0      0 2019-08-28 11:37:02 UTC+0000                                 
0xfffffa8032439b10 taskeng.exe            1052    888      6      105      0      0 2019-08-28 11:37:03 UTC+0000                                 
0xfffffa8032b0a500 spoolsv.exe            1136    504     13      322      0      0 2019-08-28 11:37:08 UTC+0000                                 
0xfffffa8031f44880 svchost.exe            1184    504     18      322      0      0 2019-08-28 11:37:17 UTC+0000                                 
0xfffffa8032a26b10 svchost.exe            1312    504     10      173      0      0 2019-08-28 11:37:18 UTC+0000                                 
0xfffffa8032b82780 esensor.exe            1404    504     47      736      0      0 2019-08-28 11:37:19 UTC+0000                                 
0xfffffa8032b295c0 prunsrv.exe            1432    504      8       62      0      0 2019-08-28 11:37:19 UTC+0000                                 
0xfffffa8032be4b10 conhost.exe            1440    340      2       35      0      0 2019-08-28 11:37:20 UTC+0000                                 
0xfffffa8032c22b10 java.exe               1496   1432     34     9825      0      1 2019-08-28 11:37:22 UTC+0000                                 
0xfffffa8031d5e060 ruby.exe               1748    504     10      116      0      0 2019-08-28 11:37:42 UTC+0000                                 
0xfffffa8032cf9b10 VGAuthService.         1800    504      3       89      0      0 2019-08-28 11:37:44 UTC+0000                                 
0xfffffa8032e50a50 vmtoolsd.exe           2012    504     10      302      0      0 2019-08-28 11:37:56 UTC+0000                                 
0xfffffa8031d56b10 winlogbeat.exe         1096    504     17      174      0      0 2019-08-28 11:37:57 UTC+0000                                 
0xfffffa8032f33b10 svchost.exe            2076    504      5      104      0      0 2019-08-28 11:38:09 UTC+0000                                 
0xfffffa8032fb3b10 dllhost.exe            2468    504     13      200      0      0 2019-08-28 11:38:24 UTC+0000                                 
0xfffffa80326f6b10 WmiPrvSE.exe           2636    624      9      343      0      0 2019-08-28 11:38:26 UTC+0000                                 
0xfffffa8033167b10 msdtc.exe              2668    504     12      149      0      0 2019-08-28 11:38:27 UTC+0000                                 
0xfffffa8031074b10 svchost.exe            2752    504     14      430      0      0 2019-08-28 11:38:32 UTC+0000                                 
0xfffffa8031287b10 GoogleUpdate.e         3400   1052      5      136      0      1 2019-08-28 11:39:42 UTC+0000                                 
0xfffffa803181f060 OSPPSVC.EXE             260    504      3      156      0      0 2019-08-28 11:51:35 UTC+0000                                 
0xfffffa8031c1db10 svchost.exe             328    504      8      126      0      0 2019-08-28 11:51:51 UTC+0000                                 
0xfffffa803153e160 TrustedInstall          652    504      4      155      0      0 2019-08-28 19:50:19 UTC+0000                                 
0xfffffa80310ba210 csrss.exe              3432   5256     11      434      2      0 2019-08-29 08:17:09 UTC+0000                                 
0xfffffa80322d0390 winlogon.exe           5592   5256      3      122      2      0 2019-08-29 08:17:09 UTC+0000                                 
0xfffffa8031c19930 taskhost.exe           3948    504     11      241      2      0 2019-08-29 08:17:11 UTC+0000                                 
0xfffffa8032e5e7a0 explorer.exe           3152   4596     19     1043      2      0 2019-08-29 08:17:13 UTC+0000                                 
0xfffffa80335aca10 cmd.exe                4496   3152      1       28      2      0 2019-08-29 08:17:15 UTC+0000                                 
0xfffffa8031005060 vmtoolsd.exe           5968   3152      6      146      2      0 2019-08-29 08:17:15 UTC+0000                                 
0xfffffa803382d060 conhost.exe            2336   3432      2       64      2      0 2019-08-29 08:17:15 UTC+0000                                 
0xfffffa8031cd15a0 java.exe                632   4496     38     9964      2      1 2019-08-29 08:17:26 UTC+0000                                 
0xfffffa80343a5060 EXCEL.EXE              5332    624     10      542      2      1 2019-08-29 08:18:00 UTC+0000                                 
0xfffffa803208b060 OUTLOOK.EXE            5324    624     31     5078      2      1 2019-08-29 08:18:10 UTC+0000                                 
0xfffffa803128f900 POWERPNT.EXE           4880    624     10      752      2      1 2019-08-29 08:18:38 UTC+0000                                 
0xfffffa8031e53650 splwow64.exe           1288   4880      7       70      2      0 2019-08-29 08:18:38 UTC+0000                                 
0xfffffa8034e7e380 WINWORD.EXE            4456    624     10      757      2      1 2019-08-29 08:19:31 UTC+0000                                 
0xfffffa8034a0e060 taskhost.exe           4884    504      7      120      2      0 2019-08-30 23:46:09 UTC+0000                                 
0xfffffa803976c060 dwm.exe                3240    824      5      178      2      0 2019-09-02 09:22:52 UTC+0000                                 
0xfffffa8039d7c060 rubyw.exe              6668    504     12      186      0      0 2019-09-02 09:23:42 UTC+0000                                 
0xfffffa803a8ce060 chromedriver_w         3216    632      6      100      2      1 2019-09-02 09:44:23 UTC+0000                                 
0xfffffa8031c5c730 chrome.exe             6304   3216     35      826      2      1 2019-09-02 09:44:24 UTC+0000                                 
0xfffffa8031da3530 chrome.exe             4352   6304      7      150      2      1 2019-09-02 09:44:24 UTC+0000                                 
0xfffffa803a5c0770 chrome.exe              616   6304     12      133      2      1 2019-09-02 09:44:24 UTC+0000                                 
0xfffffa803b0adb10 chrome.exe             2140   6304     12      148      2      1 2019-09-02 10:38:24 UTC+0000                                 
0xfffffa803b1b1060 wsmprovhost.ex         7104    624     10      320      0      0 2019-09-03 14:59:10 UTC+0000                                 
0xfffffa803b2e0b10 wsmprovhost.ex         5712    624     10      700      0      0 2019-09-03 14:59:16 UTC+0000                                 
0xfffffa803a153060 volatility.exe         5620   5712      0 --------      0      0 2019-09-03 14:59:22 UTC+0000   2019-09-03 15:00:59 UTC+0000  
0xfffffa803b3c54a0 HOSTNAME.EXE           6568   5712      0 --------      0      0 2019-09-03 15:00:59 UTC+0000   2019-09-03 15:00:59 UTC+0000  
0xfffffa803aba1060 volatility.exe         6812   5712      0 --------      0      0 2019-09-03 15:00:59 UTC+0000   2019-09-03 15:01:27 UTC+0000  
0xfffffa803afa3b10 HOSTNAME.EXE           3808   5712      0 --------      0      0 2019-09-03 15:01:27 UTC+0000   2019-09-03 15:01:27 UTC+0000  
0xfffffa803b3a0900 volatility.exe         5432   5712      0 --------      0      0 2019-09-03 15:01:27 UTC+0000   2019-09-03 15:01:57 UTC+0000  
0xfffffa803a9b0060 HOSTNAME.EXE           6908   5712      0 --------      0      0 2019-09-03 15:01:57 UTC+0000   2019-09-03 15:01:57 UTC+0000  
