Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9720 System                    4      0     94      719 ------      0 2019-08-28 11:35:16 UTC+0000                                 
0xfffffa8031db55c0 smss.exe                240      4      3       30 ------      0 2019-08-28 11:35:16 UTC+0000                                 
0xfffffa8030f35b10 csrss.exe               344    336     10      700      0      0 2019-08-28 11:35:57 UTC+0000                                 
0xfffffa8032733120 csrss.exe               396    388     12      455      1      0 2019-08-28 11:36:16 UTC+0000                                 
0xfffffa8032737470 wininit.exe             404    336      3       79      0      0 2019-08-28 11:36:16 UTC+0000                                 
0xfffffa803275f6c0 winlogon.exe            440    388      3      121      1      0 2019-08-28 11:36:17 UTC+0000                                 
0xfffffa8032408550 services.exe            500    404      8      279      0      0 2019-08-28 11:36:27 UTC+0000                                 
0xfffffa803241d410 lsass.exe               508    404      9      999      0      0 2019-08-28 11:36:32 UTC+0000                                 
0xfffffa80324117e0 lsm.exe                 516    404      9      225      0      0 2019-08-28 11:36:32 UTC+0000                                 
0xfffffa803247cb10 svchost.exe             620    500     12      388      0      0 2019-08-28 11:36:54 UTC+0000                                 
0xfffffa803101db10 svchost.exe             700    500      9      383      0      0 2019-08-28 11:37:02 UTC+0000                                 
0xfffffa803256ab10 svchost.exe             792    500     21      613      0      0 2019-08-28 11:37:05 UTC+0000                                 
0xfffffa803249ab10 svchost.exe             828    500     16      428      0      0 2019-08-28 11:37:06 UTC+0000                                 
0xfffffa803278a280 svchost.exe             852    500     17      681      0      0 2019-08-28 11:37:06 UTC+0000                                 
0xfffffa8032795b10 svchost.exe             876    500     35     1123      0      0 2019-08-28 11:37:06 UTC+0000                                 
0xfffffa80327cdb10 svchost.exe             964    500      5      200      0      0 2019-08-28 11:37:08 UTC+0000                                 
0xfffffa8032834600 svchost.exe             304    500     26      695      0      0 2019-08-28 11:37:13 UTC+0000                                 
0xfffffa8030f3bb10 spoolsv.exe            1112    500     14      326      0      0 2019-08-28 11:37:20 UTC+0000                                 
0xfffffa80328d36d0 taskeng.exe            1136    876      8      105      0      0 2019-08-28 11:37:21 UTC+0000                                 
0xfffffa8032813b10 svchost.exe            1152    500     16      330      0      0 2019-08-28 11:37:22 UTC+0000                                 
0xfffffa8032984b10 svchost.exe            1308    500     10      168      0      0 2019-08-28 11:37:28 UTC+0000                                 
0xfffffa80329f1b10 prunsrv.exe            1404    500      8       65      0      0 2019-08-28 11:37:30 UTC+0000                                 
0xfffffa8032937650 conhost.exe            1424    344      2       34      0      0 2019-08-28 11:37:31 UTC+0000                                 
0xfffffa8032a69b10 java.exe               1572   1404     30     3043      0      1 2019-08-28 11:37:34 UTC+0000                                 
0xfffffa8032d0e060 VGAuthService.         2004    500      3       89      0      0 2019-08-28 11:38:41 UTC+0000                                 
0xfffffa8032baf380 vmtoolsd.exe           1212    500      9      304      0      0 2019-08-28 11:38:54 UTC+0000                                 
0xfffffa8032b42350 winlogbeat.exe         1500    500     18      176      0      0 2019-08-28 11:39:00 UTC+0000                                 
0xfffffa8032ffbb10 svchost.exe            1884    500      5      105      0      0 2019-08-28 11:39:27 UTC+0000                                 
0xfffffa8032fb45d0 dllhost.exe            2196    500     13      199      0      0 2019-08-28 11:39:31 UTC+0000                                 
