Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9720 System                    4      0     95      972 ------      0 2019-08-28 11:35:45 UTC+0000                                 
0xfffffa8031e11040 smss.exe                240      4      4       30 ------      0 2019-08-28 11:35:46 UTC+0000                                 
0xfffffa8031ff9b10 csrss.exe               340    332     10      840      0      0 2019-08-28 11:36:06 UTC+0000                                 
0xfffffa80327f86d0 wininit.exe             392    332      3       78      0      0 2019-08-28 11:36:10 UTC+0000                                 
0xfffffa8032892b10 services.exe            500    392     10      270      0      0 2019-08-28 11:36:11 UTC+0000                                 
0xfffffa803288fb10 lsass.exe               508    392      9      968      0      0 2019-08-28 11:36:12 UTC+0000                                 
0xfffffa80328abb10 lsm.exe                 516    392      9      214      0      0 2019-08-28 11:36:12 UTC+0000                                 
0xfffffa80329bdb10 svchost.exe             632    500     12      380      0      0 2019-08-28 11:37:03 UTC+0000                                 
0xfffffa8032a20b10 svchost.exe             708    500      8      309      0      0 2019-08-28 11:37:03 UTC+0000                                 
0xfffffa8032a55b10 svchost.exe             772    500     20      580      0      0 2019-08-28 11:37:03 UTC+0000                                 
0xfffffa8032a66b10 svchost.exe             840    500     16      410      0      0 2019-08-28 11:37:03 UTC+0000                                 
0xfffffa8032a90870 svchost.exe             876    500     15      648      0      0 2019-08-28 11:37:03 UTC+0000                                 
0xfffffa8032ac0b10 svchost.exe             912    500     34     1081      0      0 2019-08-28 11:37:03 UTC+0000                                 
0xfffffa8031f66060 svchost.exe             996    500      4      181      0      0 2019-08-28 11:37:03 UTC+0000                                 
0xfffffa8032af5b10 svchost.exe             648    500     28      800      0      0 2019-08-28 11:37:03 UTC+0000                                 
0xfffffa8032ba2b10 spoolsv.exe            1092    500     13      318      0      0 2019-08-28 11:37:04 UTC+0000                                 
0xfffffa8032b68b10 svchost.exe            1120    500     18      324      0      0 2019-08-28 11:37:04 UTC+0000                                 
0xfffffa803273fb10 svchost.exe            1264    500     10      166      0      0 2019-08-28 11:37:04 UTC+0000                                 
0xfffffa8032c01b10 prunsrv.exe            1304    500      8       64      0      0 2019-08-28 11:37:04 UTC+0000                                 
0xfffffa8032c8c600 conhost.exe            1392    340      2       35      0      0 2019-08-28 11:37:04 UTC+0000                                 
0xfffffa80310126b0 java.exe               1440   1304     30      433      0      1 2019-08-28 11:37:05 UTC+0000                                 
0xfffffa803103e600 taskeng.exe            1688    912      5      105      0      0 2019-08-28 11:38:00 UTC+0000                                 
0xfffffa8031df2b10 ruby.exe               1892    500     10      116      0      0 2019-08-28 11:38:29 UTC+0000                                 
0xfffffa8032ec8b10 TaniumClient.e         1964    500     12      195      0      1 2019-08-28 11:38:41 UTC+0000                                 
0xfffffa8032fb14b0 VGAuthService.          852    500      3       89      0      0 2019-08-28 11:38:43 UTC+0000                                 
0xfffffa803306b740 vmtoolsd.exe           1432    500      9      301      0      0 2019-08-28 11:38:45 UTC+0000                                 
0xfffffa8031dbf600 winlogbeat.exe          892    500     18      177      0      0 2019-08-28 11:38:48 UTC+0000                                 
0xfffffa8031d01060 svchost.exe            2480    500      5      105      0      0 2019-08-28 11:39:36 UTC+0000                                 
0xfffffa8031dacb10 dllhost.exe            2628    500     13      200      0      0 2019-08-28 11:39:39 UTC+0000                                 
0xfffffa80310db530 msdtc.exe              2832    500     12      148      0      0 2019-08-28 11:39:43 UTC+0000                                 
