Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9720 System                    4      0     92     1001 ------      0 2019-08-28 11:34:50 UTC+0000                                 
0xfffffa8031ed2040 smss.exe                240      4      3       30 ------      0 2019-08-28 11:34:50 UTC+0000                                 
0xfffffa80322b0b10 csrss.exe               344    332     11      733      0      0 2019-08-28 11:34:54 UTC+0000                                 
0xfffffa80323e3060 wininit.exe             416    332      3       77      0      0 2019-08-28 11:34:54 UTC+0000                                 
0xfffffa80326cb880 services.exe            520    416     10      278      0      0 2019-08-28 11:34:55 UTC+0000                                 
0xfffffa80326f44f0 lsass.exe               536    416      9      969      0      0 2019-08-28 11:34:55 UTC+0000                                 
0xfffffa80326ec060 lsm.exe                 548    416     11      215      0      0 2019-08-28 11:34:55 UTC+0000                                 
0xfffffa80326fab10 svchost.exe             656    520     10      376      0      0 2019-08-28 11:34:56 UTC+0000                                 
0xfffffa8032723b10 svchost.exe             740    520      8      308      0      0 2019-08-28 11:34:57 UTC+0000                                 
0xfffffa8032845900 svchost.exe             812    520     21      589      0      0 2019-08-28 11:34:57 UTC+0000                                 
0xfffffa8032906b10 svchost.exe             900    520     17      461      0      0 2019-08-28 11:34:57 UTC+0000                                 
0xfffffa80328b2b10 svchost.exe             936    520     17      678      0      0 2019-08-28 11:34:57 UTC+0000                                 
0xfffffa803293bb10 svchost.exe             984    520     36     1054      0      0 2019-08-28 11:34:57 UTC+0000                                 
0xfffffa8032948b10 svchost.exe             260    520      5      198      0      0 2019-08-28 11:34:58 UTC+0000                                 
0xfffffa803297cb10 svchost.exe             756    520     26      690      0      0 2019-08-28 11:34:58 UTC+0000                                 
0xfffffa80329e2b10 spoolsv.exe            1064    520     13      312      0      0 2019-08-28 11:34:58 UTC+0000                                 
0xfffffa8032a835b0 svchost.exe            1092    520     19      329      0      0 2019-08-28 11:34:58 UTC+0000                                 
0xfffffa8032b15b10 svchost.exe            1228    520     10      167      0      0 2019-08-28 11:34:58 UTC+0000                                 
0xfffffa8032b8e620 esensor.exe            1284    520     47      709      0      0 2019-08-28 11:34:58 UTC+0000                                 
