Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffa90ec68b0040 System                    4      0    120        0 ------      0 2019-08-26 14:27:40 UTC+0000                                 
0xffffa90ec80e9800 smss.exe                296      4      2        0 ------      0 2019-08-26 14:27:41 UTC+0000                                 
0xffffa90ec8405080 csrss.exe               408    400     11        0      0      0 2019-08-26 14:28:22 UTC+0000                                 
0xffffa90ec8b29080 smss.exe                480    296      0 --------      1      0 2019-08-26 14:28:26 UTC+0000   2019-08-26 14:28:27 UTC+0000  
0xffffa90ec8b26080 wininit.exe             488    400      1        0      0      0 2019-08-26 14:28:26 UTC+0000                                 
0xffffa90ec8b27080 csrss.exe               500    480     10        0      1      0 2019-08-26 14:28:26 UTC+0000                                 
0xffffa90ec8bac080 winlogon.exe            564    480      2        0      1      0 2019-08-26 14:28:27 UTC+0000                                 
0xffffa90ec8b71800 services.exe            612    488      5        0      0      0 2019-08-26 14:28:30 UTC+0000                                 
0xffffa90ec87e93c0 lsass.exe               620    488      8        0      0      0 2019-08-26 14:28:33 UTC+0000                                 
0xffffa90ec8b9e800 svchost.exe             696    612     15        0      0      0 2019-08-26 14:28:46 UTC+0000                                 
0xffffa90ec9312780 svchost.exe             760    612     10        0      0      0 2019-08-26 14:28:46 UTC+0000                                 
0xffffa90ec9329080 svchost.exe             904    612     44        0      0      0 2019-08-26 14:29:02 UTC+0000                                 
0xffffa90ec8b92800 svchost.exe             912    612     43        0      0      0 2019-08-26 14:29:02 UTC+0000                                 
0xffffa90ec933f3c0 svchost.exe             980    612     16        0      0      0 2019-08-26 14:29:02 UTC+0000                                 
0xffffa90ec93ca080 LogonUI.exe               8    564     13        0      1      0 2019-08-26 14:29:05 UTC+0000                                 
0xffffa90ec9390080 dwm.exe                 352    564     10        0      1      0 2019-08-26 14:29:05 UTC+0000                                 
0xffffa90ec93fa800 svchost.exe             432    612     21        0      0      0 2019-08-26 14:29:05 UTC+0000                                 
0xffffa90ec938a540 svchost.exe             412    612     17        0      0      0 2019-08-26 14:29:05 UTC+0000                                 
0xffffa90ec7774080 svchost.exe            1088    612     24        0      0      0 2019-08-26 14:29:10 UTC+0000                                 
0xffffa90ec7691080 svchost.exe            1252    612      4        0      0      0 2019-08-26 14:29:15 UTC+0000                                 
0xffffa90ec94a4800 svchost.exe            1304    612      6        0      0      0 2019-08-26 14:29:16 UTC+0000                                 
0xffffa90ec691a200 spoolsv.exe            1480    612      9        0      0      0 2019-08-26 14:29:27 UTC+0000                                 
0xffffa90ec948c800 svchost.exe            1676    612     12        0      0      0 2019-08-26 14:29:29 UTC+0000                                 
0xffffa90ec8a94800 esensor.exe            1720    612     51        0      0      0 2019-08-26 14:29:30 UTC+0000                                 
