Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec86d0 System                    4      0     93      699 ------      0 2019-09-16 19:06:45 UTC+0000                                 
0xfffffa8031020b10 smss.exe                248      4      2       30 ------      0 2019-09-16 19:06:53 UTC+0000                                 
0xfffffa80320a2b10 csrss.exe               352    340      9      605      0      0 2019-09-16 19:15:49 UTC+0000                                 
0xfffffa8030f80b10 csrss.exe               408    400     10      216      1      0 2019-09-16 19:17:07 UTC+0000                                 
0xfffffa8030ed5610 winlogon.exe            440    400      3      121      1      0 2019-09-16 19:17:07 UTC+0000                                 
0xfffffa8032091900 wininit.exe             448    340      3       78      0      0 2019-09-16 19:17:08 UTC+0000                                 
0xfffffa80322cab10 services.exe            496    448      6      251      0      0 2019-09-16 19:17:32 UTC+0000                                 
0xfffffa8032323b10 lsass.exe               520    448      7      705      0      0 2019-09-16 19:17:38 UTC+0000                                 
0xfffffa8032354b10 lsm.exe                 528    448     11      199      0      0 2019-09-16 19:17:38 UTC+0000                                 
0xfffffa803237fb10 svchost.exe             632    496     11      362      0      0 2019-09-16 19:18:32 UTC+0000                                 
0xfffffa80320b6570 svchost.exe             732    496      6      271      0      0 2019-09-16 19:21:42 UTC+0000                                 
0xfffffa80323ceb10 svchost.exe             868    496     19      533      0      0 2019-09-16 19:22:26 UTC+0000                                 
0xfffffa80323e8b10 svchost.exe             900    496     15      414      0      0 2019-09-16 19:22:42 UTC+0000                                 
0xfffffa80323e97e0 svchost.exe             924    496     15      611      0      0 2019-09-16 19:22:42 UTC+0000                                 
0xfffffa80323fcb10 svchost.exe             948    496     26      983      0      0 2019-09-16 19:22:42 UTC+0000                                 
0xfffffa8032431060 svchost.exe             212    496      5      191      0      0 2019-09-16 19:23:15 UTC+0000                                 
0xfffffa80321e9b10 svchost.exe             712    496     26      677      0      0 2019-09-16 19:23:51 UTC+0000                                 
0xfffffa8032266060 spoolsv.exe             572    496     13      313      0      0 2019-09-16 19:24:30 UTC+0000                                 
0xfffffa803223e510 svchost.exe            1084    496     18      318      0      0 2019-09-16 19:24:37 UTC+0000                                 
0xfffffa803231a580 svchost.exe            1248    496     10      151      0      0 2019-09-16 19:25:00 UTC+0000                                 
0xfffffa80325ef060 Sysmon.exe             1644    496     11 16711679      0      0 2019-09-16 19:28:19 UTC+0000                                 
0xfffffa803261ab10 TaniumClient.e         1696    496     11      189      0      1 2019-09-16 19:28:33 UTC+0000                                 
0xfffffa80310a4950 winlogbeat.exe         1968    496     18      175      0      0 2019-09-16 19:30:40 UTC+0000                                 
0xfffffa80325013e0 taskeng.exe            2024    948      6      101      0      0 2019-09-16 19:31:20 UTC+0000                                 
0xfffffa8032941b10 vmtoolsd.exe            756    496     10      306      0      0 2019-09-16 19:35:15 UTC+0000                                 
0xfffffa8032941360 svchost.exe            2140    496     15      415      0      0 2019-09-16 19:35:52 UTC+0000                                 
0xfffffa8032a0a360 svchost.exe            2360    496      5      100      0      0 2019-09-16 19:36:09 UTC+0000                                 
0xfffffa80329bcb10 unsecapp.exe           2728    632      3       75      0      0 2019-09-16 19:36:39 UTC+0000                                 
0xfffffa8032a38060 prunsrv.exe            2184    496      8       63      0      0 2019-09-16 19:38:12 UTC+0000                                 
0xfffffa8032dda810 conhost.exe            2208    352      2       34      0      0 2019-09-16 19:38:22 UTC+0000                                 
