Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8820 System                    4      0     89      638 ------      0 2019-09-16 19:27:37 UTC+0000                                 
0xfffffa80320b85b0 smss.exe                260      4      2       30 ------      0 2019-09-16 19:27:52 UTC+0000                                 
0xfffffa803227d180 csrss.exe               360    352     11      606      0      0 2019-09-16 19:35:26 UTC+0000                                 
0xfffffa8032395b10 csrss.exe               420    412      9       80      1      0 2019-09-16 19:38:21 UTC+0000                                 
0xfffffa80322d7250 wininit.exe             428    352      3       78      0      0 2019-09-16 19:38:21 UTC+0000                                 
0xfffffa80322d8b10 winlogon.exe            464    412      4       95      1      0 2019-09-16 19:38:28 UTC+0000                                 
0xfffffa8032377b10 services.exe            524    428      7      227      0      0 2019-09-16 19:39:44 UTC+0000                                 
0xfffffa8032076b10 lsass.exe               532    428      7      658      0      0 2019-09-16 19:40:24 UTC+0000                                 
0xfffffa8032326b10 lsm.exe                 540    428     10      185      0      0 2019-09-16 19:40:25 UTC+0000                                 
0xfffffa8032658060 svchost.exe             644    524      9      358      0      0 2019-09-16 19:41:57 UTC+0000                                 
0xfffffa8032626060 svchost.exe             764    524      6      225      0      0 2019-09-16 19:46:55 UTC+0000                                 
0xfffffa80326d8a50 svchost.exe             880    524     20      490      0      0 2019-09-16 19:47:27 UTC+0000                                 
0xfffffa80326e9760 svchost.exe             944    524     15      324      0      0 2019-09-16 19:47:47 UTC+0000                                 
0xfffffa80326f0b10 svchost.exe             968    524     13      573      0      0 2019-09-16 19:47:47 UTC+0000                                 
0xfffffa80326f52f0 svchost.exe             992    524     26      914      0      0 2019-09-16 19:47:47 UTC+0000                                 
0xfffffa8032703060 svchost.exe             272    524      4      175      0      0 2019-09-16 19:48:02 UTC+0000                                 
0xfffffa8032757210 svchost.exe             732    524     24      640      0      0 2019-09-16 19:48:40 UTC+0000                                 
0xfffffa8032738060 LogonUI.exe             892    464      8      192      1      0 2019-09-16 19:49:30 UTC+0000                                 
0xfffffa8031070b10 spoolsv.exe             692    524     13      307      0      0 2019-09-16 19:49:45 UTC+0000                                 
0xfffffa8031073b10 svchost.exe            1072    524     19      312      0      0 2019-09-16 19:49:52 UTC+0000                                 
0xfffffa80328bf600 svchost.exe            1248    524     10      153      0      0 2019-09-16 19:50:16 UTC+0000                                 
0xfffffa80327dfb10 taskeng.exe            1564    992      5       99      0      0 2019-09-16 19:51:53 UTC+0000                                 
0xfffffa803254aa10 TaniumClient.e         1864    524     16      211      0      1 2019-09-16 19:52:43 UTC+0000                                 
0xfffffa8032350060 vmtoolsd.exe           1200    524      9      297      0      0 2019-09-16 19:53:46 UTC+0000                                 
0xfffffa8032aa3b10 prunsrv.exe            1632    524      8       63      0      0 2019-09-16 19:54:50 UTC+0000                                 
0xfffffa80328b4b10 conhost.exe            1440    360      2       35      0      0 2019-09-16 19:54:52 UTC+0000                                 
0xfffffa8031025250 svchost.exe            2060    524      5      103      0      0 2019-09-16 19:54:53 UTC+0000                                 
0xfffffa8032ba1b10 java.exe               2136   1632     32      407      0      1 2019-09-16 19:54:56 UTC+0000                                 
0xfffffa8032acbb10 dllhost.exe            2192    524     13      199      0      0 2019-09-16 19:54:58 UTC+0000                                 
0xfffffa8032b5fb10 msdtc.exe              2468    524     12      146      0      0 2019-09-16 19:55:05 UTC+0000                                 
0xfffffa8032ba9b10 WmiPrvSE.exe           2372    644      9      315      0      0 2019-09-16 19:56:59 UTC+0000                                 
0xfffffa8032c41b10 svchost.exe            1336    524     14      401      0      0 2019-09-16 19:57:09 UTC+0000                                 
0xfffffa8032a60b10 GoogleUpdate.e         2812   3016      5      134      0      1 2019-09-16 19:57:13 UTC+0000                                 
0xfffffa80331ee3c0 TaniumClient.e         4028   1864      5      194      0      1 2019-09-18 15:04:18 UTC+0000                                 
0xfffffa80330b5790 conhost.exe            2876    360      2       33      0      0 2019-09-18 15:04:18 UTC+0000                                 
0xfffffa803132f060 wsmprovhost.ex         1992    644     12      601      0      0 2019-09-18 17:14:55 UTC+0000                                 
0xfffffa8032f86b10 HOSTNAME.EXE            936   1992      0 --------      0      0 2019-09-18 17:14:55 UTC+0000   2019-09-18 17:14:55 UTC+0000  
0xfffffa8033038980 systeminfo.exe         1168   1992      0 --------      0      0 2019-09-18 17:14:56 UTC+0000   2019-09-18 17:15:10 UTC+0000  
0xfffffa80310bbb10 DumpIt.exe             2584   1992      3      100      0      0 2019-09-18 17:15:11 UTC+0000                                 
0xfffffa80338b2b10 conhost.exe            4000    360      2       33      0      0 2019-09-18 17:15:11 UTC+0000                                 
