Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0     90      668 ------      0 2019-09-16 19:30:09 UTC+0000                                 
0xfffffa8031e60350 smss.exe                252      4      2       30 ------      0 2019-09-16 19:30:21 UTC+0000                                 
0xfffffa8031d3b470 csrss.exe               360    352     10      571      0      0 2019-09-16 19:38:20 UTC+0000                                 
0xfffffa8031fa7b10 csrss.exe               420    408      9       79      1      0 2019-09-16 19:39:52 UTC+0000                                 
0xfffffa8031ffd060 wininit.exe             452    352      3       82      0      0 2019-09-16 19:39:56 UTC+0000                                 
0xfffffa8030ed5b10 winlogon.exe            460    408      4       78      1      0 2019-09-16 19:39:59 UTC+0000                                 
0xfffffa803219f3f0 services.exe            504    452      6      213      0      0 2019-09-16 19:40:22 UTC+0000                                 
0xfffffa80321a6b10 lsass.exe               524    452      8      635      0      0 2019-09-16 19:40:30 UTC+0000                                 
0xfffffa8031f5cb10 lsm.exe                 532    452      9      185      0      0 2019-09-16 19:40:30 UTC+0000                                 
0xfffffa8031f214a0 svchost.exe             648    504      9      356      0      0 2019-09-16 19:42:05 UTC+0000                                 
0xfffffa8032216060 svchost.exe             736    504      7      240      0      0 2019-09-16 19:42:52 UTC+0000                                 
0xfffffa803223ab10 LogonUI.exe             864    460      8      190      1      0 2019-09-16 19:44:51 UTC+0000                                 
0xfffffa8032286060 svchost.exe             952    504     21      494      0      0 2019-09-16 19:49:21 UTC+0000                                 
0xfffffa80323edb10 svchost.exe            1016    504     15      315      0      0 2019-09-16 19:49:33 UTC+0000                                 
0xfffffa8031f75060 svchost.exe             212    504     13      576      0      0 2019-09-16 19:49:33 UTC+0000                                 
0xfffffa8031f5f060 svchost.exe             316    504     29      899      0      0 2019-09-16 19:49:33 UTC+0000                                 
0xfffffa803238e060 svchost.exe             424    504      3       86      0      0 2019-09-16 19:49:42 UTC+0000                                 
0xfffffa8032201b10 svchost.exe             860    504     24      664      0      0 2019-09-16 19:50:00 UTC+0000                                 
0xfffffa8032477470 spoolsv.exe            1100    504     13      308      0      0 2019-09-16 19:50:41 UTC+0000                                 
0xfffffa8031064b10 svchost.exe            1132    504     19      316      0      0 2019-09-16 19:50:47 UTC+0000                                 
0xfffffa80324c0b10 svchost.exe            1284    504     10      167      0      0 2019-09-16 19:51:12 UTC+0000                                 
0xfffffa80322ea200 esensor.exe            1316    504     47      660      0      0 2019-09-16 19:51:15 UTC+0000                                 
0xfffffa80326de540 taskeng.exe            1748    316      5       97      0      0 2019-09-16 19:53:42 UTC+0000                                 
0xfffffa8032732660 vmtoolsd.exe           1940    504     10      299      0      0 2019-09-16 19:53:57 UTC+0000                                 
0xfffffa803285d600 prunsrv.exe            1988    504      8       63      0      0 2019-09-16 19:55:05 UTC+0000                                 
0xfffffa80328a2600 conhost.exe            1632    360      2       35      0      0 2019-09-16 19:55:11 UTC+0000                                 
0xfffffa8032369b10 svchost.exe            1224    504      5      102      0      0 2019-09-16 19:55:13 UTC+0000                                 
0xfffffa8032837900 dllhost.exe            1812    504     13      198      0      0 2019-09-16 19:55:17 UTC+0000                                 
0xfffffa80328f2b10 java.exe               2064   1988     32      410      0      1 2019-09-16 19:55:23 UTC+0000                                 
0xfffffa8032747880 msdtc.exe              2192    504     12      146      0      0 2019-09-16 19:55:26 UTC+0000                                 
0xfffffa80323d5b10 svchost.exe            2940    504     14      399      0      0 2019-09-16 19:57:24 UTC+0000                                 
0xfffffa80323e6060 WmiPrvSE.exe           2276    648      9      313      0      0 2019-09-16 19:57:30 UTC+0000                                 
0xfffffa80329cdb10 GoogleUpdate.e         2440   2808      5      130      0      1 2019-09-16 19:57:32 UTC+0000                                 
0xfffffa8032f6db10 sc.exe                 1504   3032      0 --------      0      0 2019-09-17 15:11:09 UTC+0000   2019-09-17 15:11:09 UTC+0000  
0xfffffa8032f7b060 conhost.exe            2724    360      0 --------      0      0 2019-09-17 15:11:09 UTC+0000   2019-09-17 15:11:09 UTC+0000  
0xfffffa8032f548b0 sc.exe                 1148   3032      0 --------      0      0 2019-09-17 15:11:09 UTC+0000   2019-09-17 15:11:09 UTC+0000  
0xfffffa8031327b10 wsmprovhost.ex         3300    648     11      590      0      0 2019-09-18 17:14:55 UTC+0000                                 
0xfffffa803143d060 HOSTNAME.EXE           2924   3300      0 --------      0      0 2019-09-18 17:14:55 UTC+0000   2019-09-18 17:14:55 UTC+0000  
0xfffffa8031522b10 systeminfo.exe         3004   3300      0 --------      0      0 2019-09-18 17:14:55 UTC+0000   2019-09-18 17:15:09 UTC+0000  
0xfffffa8031666320 DumpIt.exe             1912   3300      3      103      0      0 2019-09-18 17:15:09 UTC+0000                                 
0xfffffa803157c920 conhost.exe            4084    360      2       33      0      0 2019-09-18 17:15:09 UTC+0000                                 
