Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec86d0 System                    4      0     92      841 ------      0 2019-09-16 18:38:41 UTC+0000                                 
0xfffffa8031f42320 smss.exe                244      4      2       30 ------      0 2019-09-16 18:38:41 UTC+0000                                 
0xfffffa803263ea10 csrss.exe               344    332     10      668      0      0 2019-09-16 18:38:51 UTC+0000                                 
0xfffffa8031b42560 wininit.exe             396    332      3       77      0      0 2019-09-16 18:38:53 UTC+0000                                 
0xfffffa8031b3bb10 csrss.exe               404    388      9       80      1      0 2019-09-16 18:38:53 UTC+0000                                 
0xfffffa80328831f0 winlogon.exe            460    388      4       94      1      0 2019-09-16 18:38:53 UTC+0000                                 
0xfffffa8032888400 services.exe            476    396     10      245      0      0 2019-09-16 18:38:53 UTC+0000                                 
0xfffffa803258cb10 lsass.exe               508    396      7      663      0      0 2019-09-16 18:38:53 UTC+0000                                 
0xfffffa803288bb10 lsm.exe                 520    396     10      192      0      0 2019-09-16 18:38:53 UTC+0000                                 
0xfffffa803297b600 svchost.exe             620    476      9      355      0      0 2019-09-16 18:38:57 UTC+0000                                 
0xfffffa80329a51c0 svchost.exe             700    476      7      236      0      0 2019-09-16 18:38:57 UTC+0000                                 
0xfffffa80329c9300 svchost.exe             764    476     20      513      0      0 2019-09-16 18:38:57 UTC+0000                                 
0xfffffa80329d2b10 LogonUI.exe             784    460      8      199      1      0 2019-09-16 18:38:57 UTC+0000                                 
0xfffffa80329d7b10 svchost.exe             832    476     15      323      0      0 2019-09-16 18:38:57 UTC+0000                                 
0xfffffa8032a1fb10 svchost.exe             864    476     15      581      0      0 2019-09-16 18:38:57 UTC+0000                                 
0xfffffa8032a08b10 svchost.exe             892    476     26      945      0      0 2019-09-16 18:38:57 UTC+0000                                 
0xfffffa8032a42060 svchost.exe             956    476      4      173      0      0 2019-09-16 18:38:57 UTC+0000                                 
0xfffffa8032a15b10 svchost.exe             780    476     24      669      0      0 2019-09-16 18:39:14 UTC+0000                                 
0xfffffa803261bb10 spoolsv.exe            1112    476     13      308      0      0 2019-09-16 18:39:18 UTC+0000                                 
0xfffffa8032c6a210 svchost.exe            1140    476     19      316      0      0 2019-09-16 18:39:18 UTC+0000                                 
0xfffffa8032d105c0 svchost.exe            1276    476     10      163      0      0 2019-09-16 18:39:22 UTC+0000                                 
0xfffffa8032d43b10 esensor.exe            1308    476     47      660      0      0 2019-09-16 18:39:22 UTC+0000                                 
0xfffffa8032cb4b10 prunsrv.exe            1384    476      8       63      0      0 2019-09-16 18:39:26 UTC+0000                                 
0xfffffa8031007060 conhost.exe            1392    344      2       35      0      0 2019-09-16 18:39:26 UTC+0000                                 
0xfffffa8031098b10 rubyw.exe              1424    476     12      187      0      0 2019-09-16 18:39:26 UTC+0000                                 
0xfffffa8031058230 java.exe               1440   1384     32      412      0      1 2019-09-16 18:39:26 UTC+0000                                 
0xfffffa8032f2ab10 ruby.exe               1660    476     10      114      0      0 2019-09-16 18:39:38 UTC+0000                                 
0xfffffa8032d5f610 Sysmon.exe             1760    476     11 16711679      0      0 2019-09-16 18:39:42 UTC+0000                                 
0xfffffa8032f8bb10 TaniumClient.e         1796    476     16      209      0      1 2019-09-16 18:39:45 UTC+0000                                 
0xfffffa8032ff0b10 VGAuthService.         1892    476      3       89      0      0 2019-09-16 18:39:54 UTC+0000                                 
0xfffffa8032ffbb10 vmtoolsd.exe           1932    476      9      298      0      0 2019-09-16 18:39:55 UTC+0000                                 
