Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0     89      785 ------      0 2019-09-16 18:50:51 UTC+0000                                 
0xfffffa8031efeb10 smss.exe                244      4      2       30 ------      0 2019-09-16 18:50:55 UTC+0000                                 
0xfffffa8031dcb060 csrss.exe               340    332     10      640      0      0 2019-09-16 18:56:38 UTC+0000                                 
0xfffffa8031eb6310 csrss.exe               400    388     11      190      1      0 2019-09-16 18:57:51 UTC+0000                                 
0xfffffa8031d7f500 wininit.exe             432    332      3       79      0      0 2019-09-16 18:57:55 UTC+0000                                 
0xfffffa80320fcb10 winlogon.exe            440    388      3      122      1      0 2019-09-16 18:57:55 UTC+0000                                 
0xfffffa80320115e0 services.exe            508    432      6      267      0      0 2019-09-16 18:58:44 UTC+0000                                 
0xfffffa803202db10 lsass.exe               520    432      8      686      0      0 2019-09-16 18:58:52 UTC+0000                                 
0xfffffa8031deea40 lsm.exe                 528    432      9      196      0      0 2019-09-16 18:58:54 UTC+0000                                 
0xfffffa8030f3eb10 svchost.exe             644    508      9      365      0      0 2019-09-16 19:02:37 UTC+0000                                 
0xfffffa8031fc0490 svchost.exe             860    508      7      266      0      0 2019-09-16 19:21:51 UTC+0000                                 
0xfffffa8032182b10 svchost.exe             972    508     21      537      0      0 2019-09-16 19:21:56 UTC+0000                                 
0xfffffa803226cb10 svchost.exe             224    508     16      420      0      0 2019-09-16 19:22:01 UTC+0000                                 
0xfffffa8032292b10 svchost.exe             256    508     15      608      0      0 2019-09-16 19:22:01 UTC+0000                                 
0xfffffa8032296b10 svchost.exe             312    508     28      949      0      0 2019-09-16 19:22:01 UTC+0000                                 
0xfffffa80322cb600 svchost.exe             564    508      5      197      0      0 2019-09-16 19:22:03 UTC+0000                                 
0xfffffa8032152060 svchost.exe             800    508     24      675      0      0 2019-09-16 19:22:09 UTC+0000                                 
0xfffffa80323edb10 spoolsv.exe            1100    508     13      313      0      0 2019-09-16 19:22:32 UTC+0000                                 
0xfffffa803227fb10 svchost.exe            1136    508     17      322      0      0 2019-09-16 19:22:33 UTC+0000                                 
0xfffffa803249e060 svchost.exe            1268    508     10      167      0      0 2019-09-16 19:22:40 UTC+0000                                 
0xfffffa80324a96e0 esensor.exe            1296    508     46      668      0      0 2019-09-16 19:22:41 UTC+0000                                 
0xfffffa8032573b10 prunsrv.exe            1348    508      8       63      0      0 2019-09-16 19:22:42 UTC+0000                                 
0xfffffa803258bb10 conhost.exe            1360    340      2       35      0      0 2019-09-16 19:22:44 UTC+0000                                 
0xfffffa80325bdb10 java.exe               1456   1348     34      430      0      1 2019-09-16 19:22:46 UTC+0000                                 
0xfffffa80326e4b10 taskeng.exe            1520    312      5      106      0      0 2019-09-16 19:23:00 UTC+0000                                 
0xfffffa8032548450 ruby.exe               1844    508     10      114      0      0 2019-09-16 19:23:19 UTC+0000                                 
0xfffffa8032715b10 taskhost.exe           1928    508      8      175      1      0 2019-09-16 19:23:20 UTC+0000                                 
0xfffffa803291ab10 GoogleUpdate.e         1980   1520      5      134      0      1 2019-09-16 19:23:20 UTC+0000                                 
0xfffffa803222cb10 VGAuthService.         1216    508      3       90      0      0 2019-09-16 19:23:22 UTC+0000                                 
0xfffffa80327c9a10 vmtoolsd.exe           1988    508      9      295      0      0 2019-09-16 19:23:32 UTC+0000                                 
0xfffffa80328eeb10 winlogbeat.exe          756    508     18      175      0      0 2019-09-16 19:23:33 UTC+0000                                 
0xfffffa8032b39530 dwm.exe                 728    224      5      125      1      0 2019-09-16 19:23:37 UTC+0000                                 
0xfffffa8032b077b0 explorer.exe           1656   1996     21      633      1      0 2019-09-16 19:23:37 UTC+0000                                 
0xfffffa80329eb900 vmtoolsd.exe           2128   1656      7      146      1      0 2019-09-16 19:24:12 UTC+0000                                 
0xfffffa8032c94b10 svchost.exe            2772    508      5      100      0      0 2019-09-16 19:24:21 UTC+0000                                 
0xfffffa8031097b10 svchost.exe            2812    508     14      396      0      0 2019-09-16 19:24:21 UTC+0000                                 
0xfffffa8032adb3b0 dllhost.exe            2948    508     13      197      0      0 2019-09-16 19:24:22 UTC+0000                                 
0xfffffa8032bf5060 msdtc.exe              1016    508     12      145      0      0 2019-09-16 19:24:24 UTC+0000                                 
0xfffffa8032761060 WmiPrvSE.exe           3484    644      8      313      0      0 2019-09-16 19:25:10 UTC+0000                                 
0xfffffa8031400b10 conhost.exe            3924    340      0 --------      0      0 2019-09-17 15:11:10 UTC+0000   2019-09-17 15:11:10 UTC+0000  
0xfffffa80312d1b10 rubyw.exe               900    508     12      186      0      0 2019-09-17 21:56:50 UTC+0000                                 
0xfffffa80316dfb10 wsmprovhost.ex         4572    644     11      585      0      0 2019-09-18 17:14:55 UTC+0000                                 
0xfffffa8031591060 HOSTNAME.EXE           1904   4572      0 --------      0      0 2019-09-18 17:14:55 UTC+0000   2019-09-18 17:14:55 UTC+0000  
0xfffffa8031494060 systeminfo.exe         3064   4572      0 --------      0      0 2019-09-18 17:14:55 UTC+0000   2019-09-18 17:15:08 UTC+0000  
0xfffffa80316ebb10 DumpIt.exe             3176   4572      3       96      0      0 2019-09-18 17:15:08 UTC+0000                                 
0xfffffa8031743b10 conhost.exe            1548    340      2       33      0      0 2019-09-18 17:15:08 UTC+0000                                 
