Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0     91      776 ------      0 2019-09-16 19:04:44 UTC+0000                                 
0xfffffa8031edfb10 smss.exe                244      4      2       30 ------      0 2019-09-16 19:04:44 UTC+0000                                 
0xfffffa80327ea060 csrss.exe               344    336     10      626      0      0 2019-09-16 19:06:53 UTC+0000                                 
0xfffffa8032846060 wininit.exe             420    336      3       79      0      0 2019-09-16 19:07:13 UTC+0000                                 
0xfffffa8032a695b0 csrss.exe               432    412      9       80      1      0 2019-09-16 19:07:13 UTC+0000                                 
0xfffffa80328f2060 winlogon.exe            464    412      4       94      1      0 2019-09-16 19:07:14 UTC+0000                                 
0xfffffa8032a93620 services.exe            524    420      6      239      0      0 2019-09-16 19:07:15 UTC+0000                                 
0xfffffa80328e1060 lsass.exe               540    420      7      643      0      0 2019-09-16 19:07:15 UTC+0000                                 
0xfffffa80328d3b10 lsm.exe                 548    420      9      190      0      0 2019-09-16 19:07:15 UTC+0000                                 
0xfffffa8032b0b490 svchost.exe             648    524      9      359      0      0 2019-09-16 19:07:21 UTC+0000                                 
0xfffffa8032aea940 svchost.exe             724    524      7      228      0      0 2019-09-16 19:07:37 UTC+0000                                 
0xfffffa8032b5f6f0 svchost.exe             788    524     21      504      0      0 2019-09-16 19:07:38 UTC+0000                                 
0xfffffa80325eeb10 LogonUI.exe             808    464      8      198      1      0 2019-09-16 19:07:38 UTC+0000                                 
0xfffffa8032ae6b10 svchost.exe             856    524     15      316      0      0 2019-09-16 19:07:38 UTC+0000                                 
0xfffffa80325e3b10 svchost.exe             880    524     15      572      0      0 2019-09-16 19:07:38 UTC+0000                                 
0xfffffa8032b7c6e0 svchost.exe             920    524     29      916      0      0 2019-09-16 19:07:38 UTC+0000                                 
0xfffffa80325feb10 svchost.exe             976    524      4      172      0      0 2019-09-16 19:07:38 UTC+0000                                 
0xfffffa8032503b10 svchost.exe             740    524     25      653      0      0 2019-09-16 19:07:40 UTC+0000                                 
0xfffffa803243db10 spoolsv.exe            1056    524     13      309      0      0 2019-09-16 19:07:41 UTC+0000                                 
0xfffffa80326acb10 svchost.exe            1084    524     18      319      0      0 2019-09-16 19:07:41 UTC+0000                                 
0xfffffa8032be44b0 svchost.exe            1216    524     10      168      0      0 2019-09-16 19:07:42 UTC+0000                                 
0xfffffa8032c25060 esensor.exe            1248    524     46      677      0      0 2019-09-16 19:07:42 UTC+0000                                 
0xfffffa8032cc4400 prunsrv.exe            1316    524      8       63      0      0 2019-09-16 19:07:43 UTC+0000                                 
0xfffffa8030ffbb10 conhost.exe            1340    344      2       35      0      0 2019-09-16 19:07:43 UTC+0000                                 
0xfffffa8032693b10 rubyw.exe              1392    524     12      187      0      0 2019-09-16 19:07:44 UTC+0000                                 
0xfffffa803100a910 java.exe               1404   1316     32      411      0      1 2019-09-16 19:07:44 UTC+0000                                 
0xfffffa8032f7d290 ruby.exe               1564    524     10      116      0      0 2019-09-16 19:07:53 UTC+0000                                 
0xfffffa8032fd3060 VGAuthService.         1652    524      3       91      0      0 2019-09-16 19:07:55 UTC+0000                                 
0xfffffa803107e9b0 vmtoolsd.exe           1732    524     10      297      0      0 2019-09-16 19:07:57 UTC+0000                                 
0xfffffa803309a6f0 winlogbeat.exe         1828    524     19      174      0      0 2019-09-16 19:07:58 UTC+0000                                 
0xfffffa80330d4330 taskeng.exe            1980    920      5      100      0      0 2019-09-16 19:08:01 UTC+0000                                 
0xfffffa8033015b10 svchost.exe            2184    524      5      100      0      0 2019-09-16 19:08:09 UTC+0000                                 
0xfffffa8031e9c5f0 dllhost.exe            2324    524     13      198      0      0 2019-09-16 19:08:09 UTC+0000                                 
0xfffffa803320f450 msdtc.exe              2532    524     12      146      0      0 2019-09-16 19:08:10 UTC+0000                                 
0xfffffa8031d681f0 svchost.exe            2756    524     14      392      0      0 2019-09-16 19:08:18 UTC+0000                                 
0xfffffa8032f75b10 WmiPrvSE.exe           3032    648      8      317      0      0 2019-09-16 19:08:52 UTC+0000                                 
0xfffffa80311c7b10 GoogleUpdate.e         1884   1184      5      130      0      1 2019-09-16 19:10:22 UTC+0000                                 
0xfffffa8031816b10 sc.exe                 2124    940      0 --------      0      0 2019-09-17 15:12:09 UTC+0000   2019-09-17 15:12:09 UTC+0000  
0xfffffa8031e18600 sc.exe                 2544   3260      0 --------      0      0 2019-09-17 15:48:06 UTC+0000   2019-09-17 15:48:06 UTC+0000  
0xfffffa80312bb900 conhost.exe            2208    344      0 --------      0      0 2019-09-17 15:48:06 UTC+0000   2019-09-17 15:48:09 UTC+0000  
0xfffffa80317e8b10 sc.exe                 3608    944      0 --------      0      0 2019-09-17 17:58:42 UTC+0000   2019-09-17 17:58:42 UTC+0000  
0xfffffa803187e060 sc.exe                 3252    944      0 --------      0      0 2019-09-17 17:58:42 UTC+0000   2019-09-17 17:58:42 UTC+0000  
0xfffffa8031e6bb10 sc.exe                 2196    944      0 --------      0      0 2019-09-17 17:59:14 UTC+0000   2019-09-17 17:59:14 UTC+0000  
0xfffffa80335ff060 wsmprovhost.ex         1996    648     11      588      0      0 2019-09-18 17:14:55 UTC+0000                                 
0xfffffa80335b3b10 HOSTNAME.EXE           3308   1996      0 --------      0      0 2019-09-18 17:14:55 UTC+0000   2019-09-18 17:14:55 UTC+0000  
0xfffffa80336c1b10 systeminfo.exe         4244   1996      0 --------      0      0 2019-09-18 17:14:55 UTC+0000   2019-09-18 17:15:10 UTC+0000  
0xfffffa803380e6a0 DumpIt.exe             3508   1996      3       99      0      0 2019-09-18 17:15:10 UTC+0000                                 
0xfffffa8033677900 conhost.exe            4104    344      2       33      0      0 2019-09-18 17:15:10 UTC+0000                                 
0xfffffa8033497940 cmd.exe                 324   1980      0 -------- ------      0 2019-09-18 18:36:00 UTC+0000   2019-09-18 18:36:00 UTC+0000  
0xfffffa80335ca5a0 cmd.exe                2080   1980      0 -------- ------      0 2019-09-18 18:36:00 UTC+0000   2019-09-18 18:36:00 UTC+0000  
0xfffffa80331bd060 conhost.exe            4192    344      0 -------- ------      0 2019-09-18 18:36:00 UTC+0000   2019-09-18 18:36:00 UTC+0000  
0xfffffa803366b060 conhost.exe            5092    344      0 -------- ------      0 2019-09-18 18:36:00 UTC+0000   2019-09-18 18:36:00 UTC+0000  
