Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8820 System                    4      0     90      674 ------      0 2019-09-16 19:31:33 UTC+0000                                 
0xfffffa8031c5b9f0 smss.exe                256      4      2       31 ------      0 2019-09-16 19:31:46 UTC+0000                                 
0xfffffa8031b2f930 csrss.exe               356    348     10      618      0      0 2019-09-16 19:38:43 UTC+0000                                 
0xfffffa8030f71900 csrss.exe               412    404      9       80      1      0 2019-09-16 19:40:29 UTC+0000                                 
0xfffffa8031eceb10 wininit.exe             420    348      3       79      0      0 2019-09-16 19:40:29 UTC+0000                                 
0xfffffa8031fce060 winlogon.exe            452    404      4       95      1      0 2019-09-16 19:40:32 UTC+0000                                 
0xfffffa8032296b10 services.exe            496    420      7      231      0      0 2019-09-16 19:40:50 UTC+0000                                 
0xfffffa8032016b10 lsass.exe               524    420      8      655      0      0 2019-09-16 19:40:55 UTC+0000                                 
0xfffffa803227cb10 lsm.exe                 532    420      9      194      0      0 2019-09-16 19:40:55 UTC+0000                                 
0xfffffa80322ceb10 svchost.exe             632    496      9      356      0      0 2019-09-16 19:41:52 UTC+0000                                 
0xfffffa8032297b10 svchost.exe             724    496      7      224      0      0 2019-09-16 19:42:20 UTC+0000                                 
0xfffffa8032364300 svchost.exe             804    496     20      502      0      0 2019-09-16 19:42:32 UTC+0000                                 
0xfffffa8030e87060 svchost.exe             864    496     15      321      0      0 2019-09-16 19:43:13 UTC+0000                                 
0xfffffa8032363420 svchost.exe             908    496     13      582      0      0 2019-09-16 19:43:22 UTC+0000                                 
0xfffffa8031c6fb10 svchost.exe             944    496     26      909      0      0 2019-09-16 19:43:31 UTC+0000                                 
0xfffffa8031c6d060 svchost.exe            1000    496      4      172      0      0 2019-09-16 19:43:39 UTC+0000                                 
0xfffffa8032320060 LogonUI.exe             348    452      8      192      1      0 2019-09-16 19:44:01 UTC+0000                                 
0xfffffa8032402b10 svchost.exe             872    496     25      660      0      0 2019-09-16 19:44:12 UTC+0000                                 
0xfffffa8031067060 spoolsv.exe            1104    496     13      308      0      0 2019-09-16 19:45:18 UTC+0000                                 
0xfffffa8032455600 svchost.exe            1148    496     17      314      0      0 2019-09-16 19:45:27 UTC+0000                                 
0xfffffa80323cab10 svchost.exe            1312    496     10      169      0      0 2019-09-16 19:45:54 UTC+0000                                 
0xfffffa80323d77f0 esensor.exe            1352    496     46      667      0      0 2019-09-16 19:46:03 UTC+0000                                 
0xfffffa8032693b10 taskeng.exe            1956    944      4       96      0      0 2019-09-16 19:50:15 UTC+0000                                 
0xfffffa8032602b10 prunsrv.exe            1796    496      8       63      0      0 2019-09-16 19:51:22 UTC+0000                                 
0xfffffa8032b8c060 conhost.exe            1868    356      2       35      0      0 2019-09-16 19:51:30 UTC+0000                                 
0xfffffa8032b91b10 vmtoolsd.exe           1264    496      9      297      0      0 2019-09-16 19:51:42 UTC+0000                                 
0xfffffa8031060060 svchost.exe            1084    496      5      103      0      0 2019-09-16 19:51:45 UTC+0000                                 
0xfffffa80328c98f0 java.exe               1028   1796     32      408      0      1 2019-09-16 19:51:53 UTC+0000                                 
0xfffffa8032bf0b10 dllhost.exe            2640    496     13      200      0      0 2019-09-16 19:53:45 UTC+0000                                 
0xfffffa8032551720 msdtc.exe              2896    496     12      146      0      0 2019-09-16 19:54:04 UTC+0000                                 
0xfffffa8032bb8630 svchost.exe            2964    496     14      407      0      0 2019-09-16 19:54:14 UTC+0000                                 
0xfffffa8032b2ab10 GoogleUpdate.e         3056   2736      5      130      0      1 2019-09-16 19:54:27 UTC+0000                                 
0xfffffa803297f8f0 WmiPrvSE.exe           1448    632      9      311      0      0 2019-09-16 19:55:06 UTC+0000                                 
0xfffffa8033144600 conhost.exe            2176    356      0 --------      0      0 2019-09-17 15:11:10 UTC+0000   2019-09-17 15:11:10 UTC+0000  
0xfffffa8033148b10 sc.exe                 2780   2496      0 --------      0      0 2019-09-17 15:11:10 UTC+0000   2019-09-17 15:11:10 UTC+0000  
0xfffffa803149a060 wsmprovhost.ex         3884    632     11      587      0      0 2019-09-18 17:14:55 UTC+0000                                 
0xfffffa80314f1740 HOSTNAME.EXE           1288   3884      0 --------      0      0 2019-09-18 17:14:55 UTC+0000   2019-09-18 17:14:55 UTC+0000  
0xfffffa80312e2060 systeminfo.exe         3220   3884      0 --------      0      0 2019-09-18 17:14:55 UTC+0000   2019-09-18 17:15:09 UTC+0000  
0xfffffa80312f43d0 DumpIt.exe             2528   3884      3      103      0      0 2019-09-18 17:15:09 UTC+0000                                 
0xfffffa80314f5830 conhost.exe            2296    356      2       33      0      0 2019-09-18 17:15:09 UTC+0000                                 
0xfffffa80314e2060 conhost.exe            3984    356      0 -------- ------      0 2019-09-18 17:43:00 UTC+0000   2019-09-18 17:43:00 UTC+0000  
