Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8820 System                    4      0     92      829 ------      0 2019-09-16 19:04:47 UTC+0000                                 
0xfffffa80324a8470 smss.exe                256      4      2       30 ------      0 2019-09-16 19:04:51 UTC+0000                                 
0xfffffa8032712930 csrss.exe               340    332     10      620      0      0 2019-09-16 19:06:03 UTC+0000                                 
0xfffffa8032a2d8f0 wininit.exe             392    332      3       76      0      0 2019-09-16 19:06:05 UTC+0000                                 
0xfffffa8032724400 csrss.exe               404    384     10       81      1      0 2019-09-16 19:06:05 UTC+0000                                 
0xfffffa803272e6b0 winlogon.exe            436    384      4       95      1      0 2019-09-16 19:06:05 UTC+0000                                 
0xfffffa8032745060 services.exe            480    392      7      244      0      0 2019-09-16 19:06:05 UTC+0000                                 
0xfffffa8032a71b10 lsass.exe               512    392      7      669      0      0 2019-09-16 19:06:07 UTC+0000                                 
0xfffffa8032a75060 lsm.exe                 520    392      9      188      0      0 2019-09-16 19:06:07 UTC+0000                                 
0xfffffa8032aa5b10 svchost.exe             632    480      9      360      0      0 2019-09-16 19:06:09 UTC+0000                                 
0xfffffa8032b14b10 svchost.exe             708    480      6      229      0      0 2019-09-16 19:06:09 UTC+0000                                 
0xfffffa8032a56b10 svchost.exe             780    480     20      514      0      0 2019-09-16 19:06:09 UTC+0000                                 
0xfffffa8032a52b10 LogonUI.exe             816    436      8      195      1      0 2019-09-16 19:06:10 UTC+0000                                 
0xfffffa8032a3fb10 svchost.exe             844    480     15      321      0      0 2019-09-16 19:06:10 UTC+0000                                 
0xfffffa8032a65b10 svchost.exe             876    480     14      581      0      0 2019-09-16 19:06:10 UTC+0000                                 
0xfffffa8032b5fb10 svchost.exe             900    480     26      917      0      0 2019-09-16 19:06:10 UTC+0000                                 
0xfffffa8032b69b10 svchost.exe             960    480      4      171      0      0 2019-09-16 19:06:10 UTC+0000                                 
0xfffffa8032b55520 svchost.exe             352    480     24      673      0      0 2019-09-16 19:06:10 UTC+0000                                 
0xfffffa803283e1e0 spoolsv.exe             576    480     13      309      0      0 2019-09-16 19:06:11 UTC+0000                                 
0xfffffa8032c1d350 svchost.exe            1052    480     17      313      0      0 2019-09-16 19:06:11 UTC+0000                                 
0xfffffa8032894330 svchost.exe            1256    480     10      168      0      0 2019-09-16 19:06:12 UTC+0000                                 
0xfffffa8032c3f060 esensor.exe            1288    480     47      671      0      0 2019-09-16 19:06:12 UTC+0000                                 
0xfffffa803288cb10 prunsrv.exe            1372    480      8       65      0      0 2019-09-16 19:06:16 UTC+0000                                 
0xfffffa8032c09830 conhost.exe            1380    340      2       34      0      0 2019-09-16 19:06:17 UTC+0000                                 
0xfffffa8032881b10 rubyw.exe              1412    480     12      187      0      0 2019-09-16 19:06:17 UTC+0000                                 
0xfffffa8032630060 java.exe               1424   1372     32      411      0      1 2019-09-16 19:06:18 UTC+0000                                 
0xfffffa8032eae180 ruby.exe               1556    480     10      114      0      0 2019-09-16 19:06:42 UTC+0000                                 
0xfffffa80330a6910 taskeng.exe            1872    900      4       98      0      0 2019-09-16 19:07:00 UTC+0000                                 
0xfffffa8032fac060 vmtoolsd.exe           1140    480     10      300      0      0 2019-09-16 19:07:14 UTC+0000                                 
0xfffffa8032fc94e0 winlogbeat.exe         1472    480     19      175      0      0 2019-09-16 19:07:15 UTC+0000                                 
0xfffffa8033110b10 svchost.exe            2096    480      5      101      0      0 2019-09-16 19:07:39 UTC+0000                                 
0xfffffa8032edd520 svchost.exe            2216    480     14      405      0      0 2019-09-16 19:07:40 UTC+0000                                 
0xfffffa8030feeb10 dllhost.exe            2276    480     13      199      0      0 2019-09-16 19:07:41 UTC+0000                                 
0xfffffa8031065990 msdtc.exe              2416    480     12      146      0      0 2019-09-16 19:07:43 UTC+0000                                 
0xfffffa8031221b10 WmiPrvSE.exe           3056    632      9      311      0      0 2019-09-16 19:08:26 UTC+0000                                 
0xfffffa803163ab10 GoogleUpdate.e         3040   2176      5      133      0      1 2019-09-16 19:09:59 UTC+0000                                 
0xfffffa8033391b10 find.exe               2980   1976      0 --------      0      0 2019-09-16 19:10:01 UTC+0000   2019-09-16 19:10:04 UTC+0000  
0xfffffa8033611310 wsmprovhost.ex         3352    632     11      665      0      0 2019-09-18 17:15:00 UTC+0000                                 
0xfffffa8033410b10 HOSTNAME.EXE            628   3352      0 --------      0      0 2019-09-18 17:15:00 UTC+0000   2019-09-18 17:15:01 UTC+0000  
0xfffffa803357eb10 systeminfo.exe         3676   3352      0 --------      0      0 2019-09-18 17:15:01 UTC+0000   2019-09-18 17:15:18 UTC+0000  
0xfffffa8033801350 DumpIt.exe             2992   3352      3      100      0      0 2019-09-18 17:15:18 UTC+0000                                 
0xfffffa80337ce250 conhost.exe            2760    340      2       34      0      0 2019-09-18 17:15:18 UTC+0000                                 
0xfffffa803365f060 conhost.exe            2144    340      0 -------- ------      0 2019-09-18 18:38:59 UTC+0000   2019-09-18 18:39:00 UTC+0000  
