Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0     92      671 ------      0 2019-09-16 19:12:28 UTC+0000                                 
0xfffffa80321f5b10 smss.exe                256      4      2       30 ------      0 2019-09-16 19:12:50 UTC+0000                                 
0xfffffa80322e9b10 csrss.exe               388    380     10      560      0      0 2019-09-16 19:30:30 UTC+0000                                 
0xfffffa80320ffb10 csrss.exe               448    436      9       79      1      0 2019-09-16 19:32:52 UTC+0000                                 
0xfffffa80323bdb10 wininit.exe             464    380      3       79      0      0 2019-09-16 19:32:55 UTC+0000                                 
0xfffffa8032359b10 winlogon.exe            488    436      4       95      1      0 2019-09-16 19:33:01 UTC+0000                                 
0xfffffa8032403310 services.exe            556    464      6      229      0      0 2019-09-16 19:33:28 UTC+0000                                 
0xfffffa80325b6b10 lsass.exe               564    464      7      645      0      0 2019-09-16 19:33:37 UTC+0000                                 
0xfffffa80325b9a90 lsm.exe                 572    464      9      186      0      0 2019-09-16 19:33:40 UTC+0000                                 
0xfffffa80325f5b10 svchost.exe             672    556      9      358      0      0 2019-09-16 19:34:52 UTC+0000                                 
0xfffffa80325d6b10 svchost.exe             784    556      7      226      0      0 2019-09-16 19:39:28 UTC+0000                                 
0xfffffa8032611060 svchost.exe             912    556     20      502      0      0 2019-09-16 19:40:15 UTC+0000                                 
0xfffffa8032667b10 svchost.exe             956    556     16      320      0      0 2019-09-16 19:40:30 UTC+0000                                 
0xfffffa8032675940 svchost.exe             980    556     14      579      0      0 2019-09-16 19:40:30 UTC+0000                                 
0xfffffa8032683b10 svchost.exe            1004    556     29      910      0      0 2019-09-16 19:40:30 UTC+0000                                 
0xfffffa803259d4c0 svchost.exe             284    556      4      174      0      0 2019-09-16 19:40:50 UTC+0000                                 
0xfffffa803263eb10 svchost.exe             696    556     24      652      0      0 2019-09-16 19:41:24 UTC+0000                                 
0xfffffa803264eb10 LogonUI.exe             880    488      8      194      1      0 2019-09-16 19:41:29 UTC+0000                                 
0xfffffa803108d060 spoolsv.exe            1136    556     13      310      0      0 2019-09-16 19:42:24 UTC+0000                                 
0xfffffa80327a4b10 svchost.exe            1172    556     19      315      0      0 2019-09-16 19:42:35 UTC+0000                                 
0xfffffa8032830060 svchost.exe            1328    556     10      170      0      0 2019-09-16 19:43:12 UTC+0000                                 
0xfffffa8032715b10 esensor.exe            1372    556     47      667      0      0 2019-09-16 19:43:23 UTC+0000                                 
0xfffffa8032bcab10 svchost.exe             332    556      5      101      0      0 2019-09-16 19:48:07 UTC+0000                                 
0xfffffa8032def360 taskeng.exe            1896   1004      5       98      0      0 2019-09-16 19:49:57 UTC+0000                                 
0xfffffa803295f060 prunsrv.exe             800    556      8       63      0      0 2019-09-16 19:51:37 UTC+0000                                 
0xfffffa8032bbb060 conhost.exe             996    388      2       34      0      0 2019-09-16 19:51:40 UTC+0000                                 
0xfffffa8032bcc540 java.exe                836    800     32      409      0      1 2019-09-16 19:51:44 UTC+0000                                 
0xfffffa8032cb7060 svchost.exe             840    556     14      385      0      0 2019-09-16 19:51:58 UTC+0000                                 
0xfffffa8032e0d6e0 GoogleUpdate.e         1260   1392      5      130      0      1 2019-09-16 19:52:01 UTC+0000                                 
0xfffffa8032d04060 WmiPrvSE.exe           2272    672      9      307      0      0 2019-09-16 19:52:37 UTC+0000                                 
0xfffffa8032ba89c0 vmtoolsd.exe           2340    556      9      295      0      0 2019-09-16 19:52:38 UTC+0000                                 
0xfffffa8032eaeb10 dllhost.exe            2828    556     13      200      0      0 2019-09-16 19:53:03 UTC+0000                                 
0xfffffa8032dd4410 msdtc.exe              2956    556     12      145      0      0 2019-09-16 19:53:06 UTC+0000                                 
0xfffffa8033755b10 sc.exe                 2168   2816      0 --------      0      0 2019-09-17 15:11:10 UTC+0000   2019-09-17 15:11:10 UTC+0000  
0xfffffa8033377750 sc.exe                 1572   2816      0 --------      0      0 2019-09-17 15:11:10 UTC+0000   2019-09-17 15:11:10 UTC+0000  
0xfffffa8031382220 wsmprovhost.ex         2248    672     11      580      0      0 2019-09-18 17:14:57 UTC+0000                                 
0xfffffa80315346f0 HOSTNAME.EXE           3892   2248      0 --------      0      0 2019-09-18 17:14:58 UTC+0000   2019-09-18 17:14:58 UTC+0000  
0xfffffa80312462f0 systeminfo.exe         1664   2248      0 --------      0      0 2019-09-18 17:14:58 UTC+0000   2019-09-18 17:15:10 UTC+0000  
0xfffffa8031711350 DumpIt.exe             1716   2248      3       96      0      0 2019-09-18 17:15:10 UTC+0000                                 
0xfffffa80315f9390 conhost.exe             316    388      2       34      0      0 2019-09-18 17:15:10 UTC+0000                                 
