Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8820 System                    4      0     93      673 ------      0 2019-09-16 18:40:23 UTC+0000                                 
0xfffffa8031f2c9b0 smss.exe                244      4      2       30 ------      0 2019-09-16 18:40:24 UTC+0000                                 
0xfffffa8030f57b10 csrss.exe               348    336     10      576      0      0 2019-09-16 18:41:14 UTC+0000                                 
0xfffffa8032778b10 csrss.exe               400    392      9       79      1      0 2019-09-16 18:41:36 UTC+0000                                 
0xfffffa803277a060 wininit.exe             408    336      3       83      0      0 2019-09-16 18:41:36 UTC+0000                                 
0xfffffa80327944c0 winlogon.exe            444    392      4       96      1      0 2019-09-16 18:41:36 UTC+0000                                 
0xfffffa80327d0b10 services.exe            504    408     11      237      0      0 2019-09-16 18:41:45 UTC+0000                                 
0xfffffa80327da8c0 lsass.exe               512    408      8      647      0      0 2019-09-16 18:41:50 UTC+0000                                 
0xfffffa80327fb060 lsm.exe                 520    408     10      189      0      0 2019-09-16 18:41:50 UTC+0000                                 
0xfffffa80327efb10 svchost.exe             616    504     10      358      0      0 2019-09-16 18:42:05 UTC+0000                                 
0xfffffa8032878060 svchost.exe             692    504      8      227      0      0 2019-09-16 18:42:11 UTC+0000                                 
0xfffffa8032887b10 LogonUI.exe             768    444      8      195      1      0 2019-09-16 18:42:12 UTC+0000                                 
0xfffffa80328abb10 svchost.exe             776    504     22      518      0      0 2019-09-16 18:42:12 UTC+0000                                 
0xfffffa80328cfb10 svchost.exe             832    504     15      320      0      0 2019-09-16 18:42:14 UTC+0000                                 
0xfffffa80328d0280 svchost.exe             856    504     14      566      0      0 2019-09-16 18:42:14 UTC+0000                                 
0xfffffa80328f6b10 svchost.exe             880    504     29      903      0      0 2019-09-16 18:42:14 UTC+0000                                 
0xfffffa80328feb10 svchost.exe             968    504      4      170      0      0 2019-09-16 18:42:16 UTC+0000                                 
0xfffffa803245e320 svchost.exe             404    504     24      652      0      0 2019-09-16 18:42:20 UTC+0000                                 
0xfffffa8032682b10 spoolsv.exe            1068    504     13      307      0      0 2019-09-16 18:42:31 UTC+0000                                 
0xfffffa8032672b10 svchost.exe            1096    504     20      319      0      0 2019-09-16 18:42:32 UTC+0000                                 
0xfffffa803292f860 svchost.exe            1248    504     10      165      0      0 2019-09-16 18:42:38 UTC+0000                                 
0xfffffa80329401b0 esensor.exe            1276    504     47      668      0      0 2019-09-16 18:42:39 UTC+0000                                 
0xfffffa80329a66e0 prunsrv.exe            1344    504      8       65      0      0 2019-09-16 18:42:46 UTC+0000                                 
0xfffffa8031056060 conhost.exe            1364    348      2       34      0      0 2019-09-16 18:42:50 UTC+0000                                 
0xfffffa8031016b10 java.exe               1452   1344     32      413      0      1 2019-09-16 18:42:54 UTC+0000                                 
0xfffffa8032a1ab10 VGAuthService.         1944    504      3       90      0      0 2019-09-16 18:44:16 UTC+0000                                 
0xfffffa8032be0b10 vmtoolsd.exe           1980    504     10      297      0      0 2019-09-16 18:44:27 UTC+0000                                 
0xfffffa8032eeab10 svchost.exe            1140    504      5      103      0      0 2019-09-16 18:45:15 UTC+0000                                 
0xfffffa8032ecab10 svchost.exe             816    504     14      398      0      0 2019-09-16 18:45:15 UTC+0000                                 
0xfffffa80310dea50 dllhost.exe            2312    504     13      198      0      0 2019-09-16 18:46:09 UTC+0000                                 
0xfffffa803114eb10 msdtc.exe              2404    504     12      146      0      0 2019-09-16 18:46:17 UTC+0000                                 
0xfffffa8031252b10 GoogleUpdate.e         2196   2056      5      130      0      1 2019-09-16 18:47:48 UTC+0000                                 
0xfffffa80334c0b10 WmiPrvSE.exe           2240    616      9      310      0      0 2019-09-16 19:11:32 UTC+0000                                 
0xfffffa803164a360 taskeng.exe            2528    880      6      103      0      0 2019-09-16 20:32:09 UTC+0000                                 
0xfffffa8032ffd800 sc.exe                 2444   1996      0 --------      0      0 2019-09-17 15:11:10 UTC+0000   2019-09-17 15:11:10 UTC+0000  
0xfffffa8033035b10 sc.exe                 1108   1996      0 --------      0      0 2019-09-17 15:11:10 UTC+0000   2019-09-17 15:11:10 UTC+0000  
0xfffffa8033201b10 wsmprovhost.ex         3104    616     11      587      0      0 2019-09-18 17:14:58 UTC+0000                                 
0xfffffa8033520060 HOSTNAME.EXE           3148   3104      0 --------      0      0 2019-09-18 17:14:58 UTC+0000   2019-09-18 17:14:58 UTC+0000  
0xfffffa80331ad060 systeminfo.exe         4024   3104      0 --------      0      0 2019-09-18 17:14:58 UTC+0000   2019-09-18 17:15:15 UTC+0000  
0xfffffa8033670b10 DumpIt.exe             2184   3104      3       96      0      0 2019-09-18 17:15:15 UTC+0000                                 
0xfffffa8033520b10 conhost.exe            3800    348      2       34      0      0 2019-09-18 17:15:15 UTC+0000                                 
