Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0     91      746 ------      0 2019-09-16 18:45:35 UTC+0000                                 
0xfffffa8031ff1040 smss.exe                244      4      2       30 ------      0 2019-09-16 18:45:40 UTC+0000                                 
0xfffffa8031b70060 csrss.exe               348    332     10      589      0      0 2019-09-16 18:47:16 UTC+0000                                 
0xfffffa8031ef9430 wininit.exe             400    332      3       80      0      0 2019-09-16 18:47:26 UTC+0000                                 
0xfffffa8032253470 csrss.exe               412    392      9       80      1      0 2019-09-16 18:47:26 UTC+0000                                 
0xfffffa803246f4d0 winlogon.exe            456    392      4       94      1      0 2019-09-16 18:47:28 UTC+0000                                 
0xfffffa80324f2b10 services.exe            480    400      7      234      0      0 2019-09-16 18:47:32 UTC+0000                                 
0xfffffa80324eab10 lsass.exe               492    400      7      668      0      0 2019-09-16 18:47:32 UTC+0000                                 
0xfffffa803250ab10 lsm.exe                 500    400      9      187      0      0 2019-09-16 18:47:32 UTC+0000                                 
0xfffffa8031fd3b10 svchost.exe             620    480      9      356      0      0 2019-09-16 18:47:37 UTC+0000                                 
0xfffffa8032595060 svchost.exe             696    480      7      227      0      0 2019-09-16 18:47:44 UTC+0000                                 
0xfffffa8032531b10 LogonUI.exe             768    456      8      198      1      0 2019-09-16 18:47:45 UTC+0000                                 
0xfffffa8032594b10 svchost.exe             792    480     20      501      0      0 2019-09-16 18:47:46 UTC+0000                                 
0xfffffa80325bcb10 svchost.exe             832    480     15      316      0      0 2019-09-16 18:47:50 UTC+0000                                 
0xfffffa80325bc360 svchost.exe             868    480     14      586      0      0 2019-09-16 18:47:51 UTC+0000                                 
0xfffffa803202f6b0 svchost.exe             912    480     29      907      0      0 2019-09-16 18:47:51 UTC+0000                                 
0xfffffa80325f1b10 svchost.exe             972    480      4      173      0      0 2019-09-16 18:47:51 UTC+0000                                 
0xfffffa803266a340 svchost.exe             864    480     24      663      0      0 2019-09-16 18:47:52 UTC+0000                                 
0xfffffa8031ef8b10 spoolsv.exe            1096    480     13      310      0      0 2019-09-16 18:48:04 UTC+0000                                 
0xfffffa8032625b10 svchost.exe            1124    480     17      316      0      0 2019-09-16 18:48:04 UTC+0000                                 
0xfffffa80327237c0 svchost.exe            1260    480     10      164      0      0 2019-09-16 18:48:05 UTC+0000                                 
0xfffffa80327523a0 esensor.exe            1292    480     46      662      0      0 2019-09-16 18:48:06 UTC+0000                                 
0xfffffa803276d170 prunsrv.exe            1356    480      8       65      0      0 2019-09-16 18:48:16 UTC+0000                                 
0xfffffa8032263b10 conhost.exe            1412    348      2       35      0      0 2019-09-16 18:48:26 UTC+0000                                 
0xfffffa8031020500 java.exe               1464   1356     32      410      0      1 2019-09-16 18:48:32 UTC+0000                                 
0xfffffa80328c17e0 taskeng.exe            1716    912      4       97      0      0 2019-09-16 18:50:12 UTC+0000                                 
0xfffffa8031e3a310 vmtoolsd.exe           1752    480     10      298      0      0 2019-09-16 18:50:14 UTC+0000                                 
0xfffffa80320372c0 winlogbeat.exe         1864    480     18      170      0      0 2019-09-16 18:50:23 UTC+0000                                 
0xfffffa8032a68b10 svchost.exe            1484    480      5      103      0      0 2019-09-16 18:51:10 UTC+0000                                 
0xfffffa8032728b10 svchost.exe             264    480     14      404      0      0 2019-09-16 18:51:14 UTC+0000                                 
0xfffffa80327e3060 dllhost.exe            2468    480     13      194      0      0 2019-09-16 18:52:56 UTC+0000                                 
0xfffffa80327ab060 msdtc.exe              2556    480     12      149      0      0 2019-09-16 18:52:59 UTC+0000                                 
0xfffffa8032a05600 WmiPrvSE.exe           2864    620      7      313      0      0 2019-09-16 18:53:11 UTC+0000                                 
0xfffffa80329fdb10 GoogleUpdate.e         2260   3008      5      130      0      1 2019-09-16 18:53:45 UTC+0000                                 
0xfffffa80337685c0 conhost.exe            2392    348      0 --------      0      0 2019-09-17 15:11:10 UTC+0000   2019-09-17 15:11:10 UTC+0000  
0xfffffa8031560060 wsmprovhost.ex         4076    620     12      666      0      0 2019-09-18 17:14:59 UTC+0000                                 
0xfffffa8031555060 HOSTNAME.EXE           3904   4076      0 --------      0      0 2019-09-18 17:15:00 UTC+0000   2019-09-18 17:15:00 UTC+0000  
0xfffffa803143b060 systeminfo.exe         3828   4076      0 --------      0      0 2019-09-18 17:15:01 UTC+0000   2019-09-18 17:15:22 UTC+0000  
0xfffffa80316bc060 DumpIt.exe             2148   4076      3       96      0      0 2019-09-18 17:15:22 UTC+0000                                 
0xfffffa8031503b10 conhost.exe             952    348      2       33      0      0 2019-09-18 17:15:22 UTC+0000                                 
