Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8820 System                    4      0     88      652 ------      0 2019-09-16 19:29:20 UTC+0000                                 
0xfffffa8031d796b0 smss.exe                252      4      2       30 ------      0 2019-09-16 19:29:26 UTC+0000                                 
0xfffffa8031e08470 csrss.exe               356    344     10      503      0      0 2019-09-16 19:36:35 UTC+0000                                 
0xfffffa8031e86060 csrss.exe               416    404      9       80      1      0 2019-09-16 19:38:02 UTC+0000                                 
0xfffffa8031e86b10 wininit.exe             424    344      3       77      0      0 2019-09-16 19:38:02 UTC+0000                                 
0xfffffa8031fc48f0 winlogon.exe            456    404      4       94      1      0 2019-09-16 19:38:03 UTC+0000                                 
0xfffffa80321c08f0 services.exe            524    424     14      224      0      0 2019-09-16 19:38:23 UTC+0000                                 
0xfffffa8031f86b10 lsass.exe               532    424      7      630      0      0 2019-09-16 19:38:28 UTC+0000                                 
0xfffffa80321d07e0 lsm.exe                 540    424      9      189      0      0 2019-09-16 19:38:30 UTC+0000                                 
0xfffffa8031feb880 svchost.exe             640    524      9      356      0      0 2019-09-16 19:40:21 UTC+0000                                 
0xfffffa803221ab10 svchost.exe             732    524      7      224      0      0 2019-09-16 19:41:17 UTC+0000                                 
0xfffffa8032281b10 svchost.exe             828    524     19      483      0      0 2019-09-16 19:41:30 UTC+0000                                 
0xfffffa80322aa060 svchost.exe             876    524     15      321      0      0 2019-09-16 19:41:51 UTC+0000                                 
0xfffffa803228f9c0 svchost.exe             900    524     14      573      0      0 2019-09-16 19:41:51 UTC+0000                                 
0xfffffa80322af700 svchost.exe             924    524     29      890      0      0 2019-09-16 19:41:51 UTC+0000                                 
0xfffffa80323c1b10 svchost.exe             208    524      4      173      0      0 2019-09-16 19:42:06 UTC+0000                                 
0xfffffa80324196a0 LogonUI.exe             508    456      8      189      1      0 2019-09-16 19:42:23 UTC+0000                                 
0xfffffa8032432b10 svchost.exe             808    524     24      643      0      0 2019-09-16 19:42:32 UTC+0000                                 
0xfffffa8030f4bb10 spoolsv.exe            1104    524     13      308      0      0 2019-09-16 19:43:40 UTC+0000                                 
0xfffffa803211f890 svchost.exe            1144    524     18      317      0      0 2019-09-16 19:43:51 UTC+0000                                 
0xfffffa80324fab10 svchost.exe            1276    524     10      152      0      0 2019-09-16 19:44:18 UTC+0000                                 
0xfffffa80324836f0 taskeng.exe            1688    924      4      100      0      0 2019-09-16 19:47:17 UTC+0000                                 
0xfffffa80325523e0 vmtoolsd.exe           1080    524     10      298      0      0 2019-09-16 19:50:29 UTC+0000                                 
0xfffffa8032a6fb10 svchost.exe            1488    524      5      102      0      0 2019-09-16 19:50:32 UTC+0000                                 
0xfffffa8032b42060 prunsrv.exe            2088    524      8       63      0      0 2019-09-16 19:51:00 UTC+0000                                 
0xfffffa8032af4060 conhost.exe            2100    356      2       34      0      0 2019-09-16 19:51:11 UTC+0000                                 
0xfffffa8032af1b10 java.exe               2160   2088     32      412      0      1 2019-09-16 19:51:29 UTC+0000                                 
0xfffffa8032a1bb10 dllhost.exe            2468    524     13      197      0      0 2019-09-16 19:52:25 UTC+0000                                 
0xfffffa8032b6a7a0 msdtc.exe              2696    524     12      148      0      0 2019-09-16 19:52:56 UTC+0000                                 
0xfffffa8032a7f5a0 svchost.exe            2896    524     15      389      0      0 2019-09-16 19:53:13 UTC+0000                                 
0xfffffa80327106e0 GoogleUpdate.e         2924   2636      5      130      0      1 2019-09-16 19:53:21 UTC+0000                                 
0xfffffa8032866b10 WmiPrvSE.exe            660    640      9      298      0      0 2019-09-16 19:53:52 UTC+0000                                 
0xfffffa8031329b10 wsmprovhost.ex         2916    640     11      600      0      0 2019-09-18 17:14:59 UTC+0000                                 
0xfffffa8032f3cb10 HOSTNAME.EXE           2768   2916      0 --------      0      0 2019-09-18 17:15:00 UTC+0000   2019-09-18 17:15:00 UTC+0000  
0xfffffa80313491d0 systeminfo.exe         2680   2916      0 --------      0      0 2019-09-18 17:15:01 UTC+0000   2019-09-18 17:17:27 UTC+0000  
0xfffffa8031f67380 DumpIt.exe             2456   2916      3      100      0      0 2019-09-18 17:17:36 UTC+0000                                 
0xfffffa8031622610 conhost.exe            2852    356      2       34      0      0 2019-09-18 17:17:36 UTC+0000                                 
