Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8820 System                    4      0     88      661 ------      0 2019-09-16 19:04:27 UTC+0000                                 
0xfffffa8031052b10 smss.exe                248      4      2       30 ------      0 2019-09-16 19:04:39 UTC+0000                                 
0xfffffa8031fd9b10 csrss.exe               352    344      9      490      0      0 2019-09-16 19:13:29 UTC+0000                                 
0xfffffa8031f25b10 csrss.exe               416    404     11      175      1      0 2019-09-16 19:14:43 UTC+0000                                 
0xfffffa8031fd35e0 wininit.exe             448    344      3       80      0      0 2019-09-16 19:14:44 UTC+0000                                 
0xfffffa8031fd1620 winlogon.exe            460    404      3      123      1      0 2019-09-16 19:14:46 UTC+0000                                 
0xfffffa8031fffb10 services.exe            500    448     13      232      0      0 2019-09-16 19:15:14 UTC+0000                                 
0xfffffa80320b1b10 lsass.exe               528    448      8      672      0      0 2019-09-16 19:15:15 UTC+0000                                 
0xfffffa80321e3690 lsm.exe                 536    448     10      194      0      0 2019-09-16 19:15:16 UTC+0000                                 
0xfffffa80322f2060 svchost.exe             636    500      9      357      0      0 2019-09-16 19:16:15 UTC+0000                                 
0xfffffa8031f5b060 svchost.exe             728    500      8      253      0      0 2019-09-16 19:16:56 UTC+0000                                 
0xfffffa80323532d0 svchost.exe             820    500     20      537      0      0 2019-09-16 19:17:13 UTC+0000                                 
0xfffffa803236d200 svchost.exe             864    500     15      413      0      0 2019-09-16 19:17:27 UTC+0000                                 
0xfffffa8032362730 svchost.exe             888    500     15      375      0      0 2019-09-16 19:17:27 UTC+0000                                 
0xfffffa8032374060 svchost.exe             912    500     28      966      0      0 2019-09-16 19:17:27 UTC+0000                                 
0xfffffa80323a4060 svchost.exe             996    500      5      196      0      0 2019-09-16 19:17:50 UTC+0000                                 
0xfffffa803230fb10 svchost.exe             216    500     24      653      0      0 2019-09-16 19:18:20 UTC+0000                                 
0xfffffa80324985b0 spoolsv.exe            1108    500     13      311      0      0 2019-09-16 19:18:56 UTC+0000                                 
0xfffffa8031dfa990 svchost.exe            1140    500     19      314      0      0 2019-09-16 19:19:03 UTC+0000                                 
0xfffffa80324dc5e0 svchost.exe            1288    500     10      155      0      0 2019-09-16 19:19:22 UTC+0000                                 
0xfffffa80322468f0 taskeng.exe            1672    912      5       97      0      0 2019-09-16 19:21:15 UTC+0000                                 
0xfffffa8032458760 vmtoolsd.exe           1008    500      9      291      0      0 2019-09-16 19:24:03 UTC+0000                                 
0xfffffa80328e1060 svchost.exe            1904    500      5      102      0      0 2019-09-16 19:24:38 UTC+0000                                 
0xfffffa803269cb10 svchost.exe             788    500     14      397      0      0 2019-09-16 19:24:38 UTC+0000                                 
0xfffffa8032b49b10 GoogleUpdate.e         2836   2684      5      134      0      1 2019-09-16 19:29:15 UTC+0000                                 
0xfffffa8032783b10 prunsrv.exe            1908    500      8       63      0      0 2019-09-16 19:30:00 UTC+0000                                 
0xfffffa8032b5e920 conhost.exe             280    352      2       34      0      0 2019-09-16 19:30:17 UTC+0000                                 
0xfffffa8032a27b10 java.exe               1772   1908     34      428      0      1 2019-09-16 19:30:43 UTC+0000                                 
0xfffffa8032b9cb10 WmiPrvSE.exe           2688    636      9      308      0      0 2019-09-16 19:33:13 UTC+0000                                 
0xfffffa8032c47200 taskhost.exe           2672    500      8      178      1      0 2019-09-16 19:34:12 UTC+0000                                 
0xfffffa8032c956a0 dwm.exe                2012    864      5      127      1      0 2019-09-16 19:34:59 UTC+0000                                 
0xfffffa803288f060 explorer.exe           2376   1012     20      628      1      0 2019-09-16 19:35:00 UTC+0000                                 
0xfffffa8032b3b810 vmtoolsd.exe           1824   2376      7      146      1      0 2019-09-16 19:35:30 UTC+0000                                 
0xfffffa803127f4e0 wsmprovhost.ex         3224    636     11      609      0      0 2019-09-18 17:15:00 UTC+0000                                 
0xfffffa8031edf910 HOSTNAME.EXE           3096   3224      0 --------      0      0 2019-09-18 17:15:01 UTC+0000   2019-09-18 17:15:01 UTC+0000  
0xfffffa8031344550 systeminfo.exe          608   3224      0 --------      0      0 2019-09-18 17:15:01 UTC+0000   2019-09-18 17:16:42 UTC+0000  
0xfffffa8032e95060 DumpIt.exe             3368   3224      3      100      0      0 2019-09-18 17:16:43 UTC+0000                                 
0xfffffa80315c0060 conhost.exe            3284    352      2       34      0      0 2019-09-18 17:16:43 UTC+0000                                 
