Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec7720 System                    4      0     90      658 ------      0 2019-09-16 18:51:56 UTC+0000                                 
0xfffffa8031f8bb10 smss.exe                248      4      2       30 ------      0 2019-09-16 18:52:04 UTC+0000                                 
0xfffffa8031bf3b10 csrss.exe               348    336     10      590      0      0 2019-09-16 18:56:55 UTC+0000                                 
0xfffffa80320a3060 csrss.exe               408    396      9       79      1      0 2019-09-16 18:58:13 UTC+0000                                 
0xfffffa8031d95900 wininit.exe             416    336      3       77      0      0 2019-09-16 18:58:14 UTC+0000                                 
0xfffffa8031024060 winlogon.exe            448    396      4       82      1      0 2019-09-16 18:59:22 UTC+0000                                 
0xfffffa8031df9b10 services.exe            492    416      6      210      0      0 2019-09-16 18:59:44 UTC+0000                                 
0xfffffa8031e0cb10 lsass.exe               500    416      7      645      0      0 2019-09-16 18:59:52 UTC+0000                                 
0xfffffa8031d4a6f0 lsm.exe                 508    416     10      186      0      0 2019-09-16 18:59:52 UTC+0000                                 
0xfffffa8031ef0b10 svchost.exe             676    492      9      357      0      0 2019-09-16 19:06:41 UTC+0000                                 
0xfffffa8031f93b10 svchost.exe             904    492      6      228      0      0 2019-09-16 19:29:32 UTC+0000                                 
0xfffffa8032058b10 svchost.exe             228    492     21      512      0      0 2019-09-16 19:30:38 UTC+0000                                 
0xfffffa8032192b10 svchost.exe             216    492     18      326      0      0 2019-09-16 19:31:15 UTC+0000                                 
0xfffffa80321beb10 svchost.exe             332    492     13      573      0      0 2019-09-16 19:31:16 UTC+0000                                 
0xfffffa80321f0b10 svchost.exe             400    492     29      900      0      0 2019-09-16 19:31:16 UTC+0000                                 
0xfffffa8031fa5b10 svchost.exe             692    492      3       86      0      0 2019-09-16 19:32:02 UTC+0000                                 
0xfffffa80322a4060 LogonUI.exe             772    448      8      194      1      0 2019-09-16 19:32:08 UTC+0000                                 
0xfffffa80322bc6f0 svchost.exe             392    492     24      648      0      0 2019-09-16 19:33:03 UTC+0000                                 
0xfffffa8031066060 spoolsv.exe            1100    492     14      308      0      0 2019-09-16 19:34:12 UTC+0000                                 
0xfffffa8032385380 svchost.exe            1140    492     17      318      0      0 2019-09-16 19:34:24 UTC+0000                                 
0xfffffa803240eb10 svchost.exe            1288    492     10      166      0      0 2019-09-16 19:34:52 UTC+0000                                 
0xfffffa8032438b10 esensor.exe            1320    492     47      660      0      0 2019-09-16 19:34:56 UTC+0000                                 
0xfffffa8030ff78f0 VGAuthService.         1656    492      4       98      0      0 2019-09-16 19:37:49 UTC+0000                                 
0xfffffa80326c9060 vmtoolsd.exe           1772    492     10      294      0      0 2019-09-16 19:37:54 UTC+0000                                 
0xfffffa803272e280 winlogbeat.exe         1812    492     18      174      0      0 2019-09-16 19:37:58 UTC+0000                                 
0xfffffa8032889b10 taskeng.exe            1820    400      5       98      0      0 2019-09-16 19:37:58 UTC+0000                                 
0xfffffa803299bb10 svchost.exe            1396    492      5      100      0      0 2019-09-16 19:38:58 UTC+0000                                 
0xfffffa80328ad6d0 dllhost.exe            1916    492     13      200      0      0 2019-09-16 19:39:02 UTC+0000                                 
0xfffffa803286b060 prunsrv.exe            2176    492      8       63      0      0 2019-09-16 19:39:05 UTC+0000                                 
0xfffffa80329f5060 conhost.exe            2228    348      2       35      0      0 2019-09-16 19:39:06 UTC+0000                                 
0xfffffa8032638360 msdtc.exe              2316    492     12      145      0      0 2019-09-16 19:39:11 UTC+0000                                 
0xfffffa80328beb10 java.exe               2324   2176     32      408      0      1 2019-09-16 19:39:11 UTC+0000                                 
0xfffffa8032bf0b10 WmiPrvSE.exe           3012    676      9      304      0      0 2019-09-16 19:40:35 UTC+0000                                 
0xfffffa8032c89b10 svchost.exe            2468    492     14      391      0      0 2019-09-16 19:41:09 UTC+0000                                 
0xfffffa8032a77b10 GoogleUpdate.e         1364   1368      5      134      0      1 2019-09-16 19:41:12 UTC+0000                                 
0xfffffa8031120b10 sc.exe                 2588   2132      0 --------      0      0 2019-09-17 15:11:10 UTC+0000   2019-09-17 15:11:10 UTC+0000  
0xfffffa80312a45c0 sc.exe                 2540   2132      0 --------      0      0 2019-09-17 15:11:10 UTC+0000   2019-09-17 15:11:10 UTC+0000  
0xfffffa8031299b10 sc.exe                 1352   2132      0 --------      0      0 2019-09-17 15:11:10 UTC+0000   2019-09-17 15:11:10 UTC+0000  
0xfffffa80312a4060 sc.exe                 2620   2132      0 --------      0      0 2019-09-17 15:11:10 UTC+0000   2019-09-17 15:11:10 UTC+0000  
0xfffffa80310b9b10 wsmprovhost.ex          320    676     11      596      0      0 2019-09-18 17:15:01 UTC+0000                                 
0xfffffa80315c6440 HOSTNAME.EXE            888    320      0 --------      0      0 2019-09-18 17:15:01 UTC+0000   2019-09-18 17:15:01 UTC+0000  
0xfffffa803162f060 systeminfo.exe         3620    320      0 --------      0      0 2019-09-18 17:15:02 UTC+0000   2019-09-18 17:15:15 UTC+0000  
0xfffffa803167d360 DumpIt.exe             3520    320      3       99      0      0 2019-09-18 17:15:15 UTC+0000                                 
0xfffffa80313d92d0 conhost.exe            4056    348      2       33      0      0 2019-09-18 17:15:15 UTC+0000                                 
