Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0     90      689 ------      0 2019-09-16 18:34:43 UTC+0000                                 
0xfffffa8031fd8880 smss.exe                244      4      2       30 ------      0 2019-09-16 18:34:43 UTC+0000                                 
0xfffffa80327b7400 csrss.exe               344    336     10      627      0      0 2019-09-16 18:34:58 UTC+0000                                 
0xfffffa80326466e0 wininit.exe             396    336      3       78      0      0 2019-09-16 18:34:59 UTC+0000                                 
0xfffffa8032635b10 csrss.exe               412    388     10      173      1      0 2019-09-16 18:34:59 UTC+0000                                 
0xfffffa803297d060 winlogon.exe            456    388      3      121      1      0 2019-09-16 18:34:59 UTC+0000                                 
0xfffffa80329ae2a0 services.exe            500    396      7      246      0      0 2019-09-16 18:34:59 UTC+0000                                 
0xfffffa803299cb10 lsass.exe               516    396      9      699      0      0 2019-09-16 18:34:59 UTC+0000                                 
0xfffffa80329b0060 lsm.exe                 524    396     11      194      0      0 2019-09-16 18:34:59 UTC+0000                                 
0xfffffa80329d5600 svchost.exe             628    500      9      357      0      0 2019-09-16 18:35:00 UTC+0000                                 
0xfffffa803299ab10 svchost.exe             704    500      8      259      0      0 2019-09-16 18:35:02 UTC+0000                                 
0xfffffa8032871b10 svchost.exe             780    500     21      538      0      0 2019-09-16 18:35:02 UTC+0000                                 
0xfffffa8032631b10 svchost.exe             856    500     16      420      0      0 2019-09-16 18:35:02 UTC+0000                                 
0xfffffa8032af3330 svchost.exe             884    500     15      608      0      0 2019-09-16 18:35:02 UTC+0000                                 
0xfffffa8032afa560 svchost.exe             912    500     31      958      0      0 2019-09-16 18:35:02 UTC+0000                                 
0xfffffa8032704600 svchost.exe             996    500      9      196      0      0 2019-09-16 18:35:02 UTC+0000                                 
0xfffffa8031e55b10 svchost.exe            1016    500     26      658      0      0 2019-09-16 18:35:05 UTC+0000                                 
0xfffffa8032c302f0 spoolsv.exe            1100    500     13      311      0      0 2019-09-16 18:35:05 UTC+0000                                 
0xfffffa8032c4e600 svchost.exe            1128    500     18      315      0      0 2019-09-16 18:35:05 UTC+0000                                 
0xfffffa8032cde5d0 svchost.exe            1260    500     10      167      0      0 2019-09-16 18:35:05 UTC+0000                                 
0xfffffa8032cd7b10 esensor.exe            1300    500     48      682      0      0 2019-09-16 18:35:05 UTC+0000                                 
0xfffffa8032cf0b10 prunsrv.exe            1412    500      8       65      0      0 2019-09-16 18:35:09 UTC+0000                                 
0xfffffa8032d4cb10 conhost.exe            1424    344      2       35      0      0 2019-09-16 18:35:09 UTC+0000                                 
0xfffffa8032d9db10 rubyw.exe              1456    500     12      187      0      0 2019-09-16 18:35:09 UTC+0000                                 
0xfffffa8031038b10 java.exe               1472   1412     34      429      0      1 2019-09-16 18:35:09 UTC+0000                                 
0xfffffa8032da1b10 ruby.exe               1652    500     10      116      0      0 2019-09-16 18:35:17 UTC+0000                                 
0xfffffa8032e9b550 VGAuthService.         1728    500      3       90      0      0 2019-09-16 18:35:19 UTC+0000                                 
0xfffffa8032dd0b10 vmtoolsd.exe           1764    500     10      298      0      0 2019-09-16 18:35:19 UTC+0000                                 
0xfffffa8032ef6a40 winlogbeat.exe         1812    500     18      181      0      0 2019-09-16 18:35:19 UTC+0000                                 
0xfffffa8032d13b10 svchost.exe            2200    500      5      101      0      0 2019-09-16 18:35:26 UTC+0000                                 
0xfffffa8032d5d9c0 dllhost.exe            2268    500     13      196      0      0 2019-09-16 18:35:26 UTC+0000                                 
0xfffffa8032dfbb10 msdtc.exe              2424    500     12      147      0      0 2019-09-16 18:35:27 UTC+0000                                 
0xfffffa803328db10 WmiPrvSE.exe           2868    628      8      313      0      0 2019-09-16 18:35:36 UTC+0000                                 
0xfffffa8032b6c5d0 taskhost.exe           3164    500      8      177      1      0 2019-09-16 18:35:54 UTC+0000                                 
0xfffffa8031ff2b10 taskeng.exe            3172    912      5      104      0      0 2019-09-16 18:35:54 UTC+0000                                 
0xfffffa8032b92060 svchost.exe            3200    500     14      386      0      0 2019-09-16 18:35:54 UTC+0000                                 
0xfffffa8032daa060 GoogleUpdate.e         3352   3172      5      132      0      1 2019-09-16 18:35:56 UTC+0000                                 
0xfffffa803116c5e0 dwm.exe                3384    856      5      127      1      0 2019-09-16 18:36:19 UTC+0000                                 
0xfffffa80333f7060 explorer.exe           3396   3424     20      626      1      0 2019-09-16 18:36:19 UTC+0000                                 
0xfffffa80311a5b10 vmtoolsd.exe           3768   3396      6      143      1      0 2019-09-16 18:36:26 UTC+0000                                 
0xfffffa80317396c0 conhost.exe            2684    344      0 --------      0      0 2019-09-17 16:16:12 UTC+0000   2019-09-17 16:16:12 UTC+0000  
0xfffffa80316c1060 sc.exe                 3964    724      0 --------      0      0 2019-09-17 16:17:40 UTC+0000   2019-09-17 16:17:40 UTC+0000  
0xfffffa80317b2600 sc.exe                 3640   1332      0 --------      0      0 2019-09-17 17:58:43 UTC+0000   2019-09-17 17:58:43 UTC+0000  
0xfffffa803177c5c0 sc.exe                  356   1380      0 --------      0      0 2019-09-17 19:53:43 UTC+0000   2019-09-17 19:53:43 UTC+0000  
0xfffffa80317a9b10 sc.exe                 1892   1380      0 --------      0      0 2019-09-17 19:54:29 UTC+0000   2019-09-17 19:54:29 UTC+0000  
0xfffffa80321bf720 wsmprovhost.ex          260    628     11      599      0      0 2019-09-18 17:15:01 UTC+0000                                 
0xfffffa803239db10 HOSTNAME.EXE           3876    260      0 --------      0      0 2019-09-18 17:15:01 UTC+0000   2019-09-18 17:15:01 UTC+0000  
0xfffffa80321ceb10 systeminfo.exe         3872    260      0 --------      0      0 2019-09-18 17:15:02 UTC+0000   2019-09-18 17:15:18 UTC+0000  
0xfffffa803237d310 DumpIt.exe             3492    260      3       95      0      0 2019-09-18 17:15:19 UTC+0000                                 
0xfffffa8032310900 conhost.exe            3216    344      2       34      0      0 2019-09-18 17:15:19 UTC+0000                                 
