Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0     90      772 ------      0 2019-09-16 18:40:33 UTC+0000                                 
0xfffffa8031a7a790 smss.exe                264      4      2       30 ------      0 2019-09-16 18:40:34 UTC+0000                                 
0xfffffa8030f0d060 csrss.exe               352    344     11      628      0      0 2019-09-16 18:41:14 UTC+0000                                 
0xfffffa8031025800 csrss.exe               404    396      9       79      1      0 2019-09-16 18:41:42 UTC+0000                                 
0xfffffa80310266d0 wininit.exe             412    344      3       78      0      0 2019-09-16 18:41:42 UTC+0000                                 
0xfffffa8031fe8060 winlogon.exe            448    396      4       93      1      0 2019-09-16 18:41:42 UTC+0000                                 
0xfffffa803276bb10 services.exe            508    412      7      238      0      0 2019-09-16 18:41:54 UTC+0000                                 
0xfffffa803276e060 lsass.exe               516    412      7      637      0      0 2019-09-16 18:42:01 UTC+0000                                 
0xfffffa8032778590 lsm.exe                 528    412     10      188      0      0 2019-09-16 18:42:02 UTC+0000                                 
0xfffffa80327d34d0 svchost.exe             616    508      9      357      0      0 2019-09-16 18:42:14 UTC+0000                                 
0xfffffa80327f5b10 svchost.exe             696    508      7      226      0      0 2019-09-16 18:42:22 UTC+0000                                 
0xfffffa8031a808e0 LogonUI.exe             780    448      8      196      1      0 2019-09-16 18:42:25 UTC+0000                                 
0xfffffa8031a827e0 svchost.exe             788    508     21      505      0      0 2019-09-16 18:42:26 UTC+0000                                 
0xfffffa8031f12460 svchost.exe             840    508     15      317      0      0 2019-09-16 18:42:31 UTC+0000                                 
0xfffffa80326f9230 svchost.exe             872    508     14      605      0      0 2019-09-16 18:42:33 UTC+0000                                 
0xfffffa80326fdb10 svchost.exe             928    508     29      920      0      0 2019-09-16 18:42:34 UTC+0000                                 
0xfffffa8030f4c600 svchost.exe             992    508      4      175      0      0 2019-09-16 18:42:35 UTC+0000                                 
0xfffffa8032826620 svchost.exe             396    508     24      673      0      0 2019-09-16 18:42:40 UTC+0000                                 
0xfffffa8031fb7b10 spoolsv.exe            1104    508     14      308      0      0 2019-09-16 18:42:49 UTC+0000                                 
0xfffffa80327bc400 svchost.exe            1132    508     18      319      0      0 2019-09-16 18:42:50 UTC+0000                                 
0xfffffa80328e76a0 svchost.exe            1268    508     10      163      0      0 2019-09-16 18:42:54 UTC+0000                                 
0xfffffa8032900270 esensor.exe            1304    508     47      680      0      0 2019-09-16 18:42:55 UTC+0000                                 
0xfffffa803293c060 prunsrv.exe            1360    508      8       63      0      0 2019-09-16 18:42:58 UTC+0000                                 
0xfffffa803278a190 conhost.exe            1372    352      2       34      0      0 2019-09-16 18:43:02 UTC+0000                                 
0xfffffa803290aa50 rubyw.exe              1452    508     12      185      0      0 2019-09-16 18:43:05 UTC+0000                                 
0xfffffa8031053a50 java.exe               1472   1360     32      411      0      1 2019-09-16 18:43:06 UTC+0000                                 
0xfffffa8032a258f0 taskeng.exe            1516    928      4       98      0      0 2019-09-16 18:43:15 UTC+0000                                 
0xfffffa8031074b10 ruby.exe               1808    508     10      114      0      0 2019-09-16 18:43:32 UTC+0000                                 
0xfffffa8032884b10 VGAuthService.         1904    508      3       90      0      0 2019-09-16 18:43:37 UTC+0000                                 
0xfffffa8032c90380 vmtoolsd.exe           2000    508     10      300      0      0 2019-09-16 18:43:42 UTC+0000                                 
0xfffffa8032ce1060 winlogbeat.exe         2032    508     19      179      0      0 2019-09-16 18:43:44 UTC+0000                                 
0xfffffa8032d7b600 svchost.exe            2100    508      5      101      0      0 2019-09-16 18:44:02 UTC+0000                                 
0xfffffa8032ecdb10 dllhost.exe            2556    508     13      197      0      0 2019-09-16 18:44:28 UTC+0000                                 
0xfffffa8032ef6060 msdtc.exe              2632    508     12      146      0      0 2019-09-16 18:44:30 UTC+0000                                 
0xfffffa803108c060 svchost.exe            2876    508     13      403      0      0 2019-09-16 18:44:58 UTC+0000                                 
0xfffffa80311f54a0 GoogleUpdate.e         1736   2272      5      134      0      1 2019-09-16 18:46:51 UTC+0000                                 
0xfffffa8031245b10 WmiPrvSE.exe            900    616      8      305      0      0 2019-09-16 19:26:34 UTC+0000                                 
0xfffffa80330afb10 conhost.exe            2748    352      0 --------      0      0 2019-09-17 19:53:42 UTC+0000   2019-09-17 19:53:42 UTC+0000  
0xfffffa803329eb10 wsmprovhost.ex         1588    616     12      590      0      0 2019-09-18 17:15:01 UTC+0000                                 
0xfffffa803333d060 HOSTNAME.EXE           3080   1588      0 --------      0      0 2019-09-18 17:15:01 UTC+0000   2019-09-18 17:15:02 UTC+0000  
0xfffffa80330eeb10 systeminfo.exe         3856   1588      0 --------      0      0 2019-09-18 17:15:02 UTC+0000   2019-09-18 17:15:15 UTC+0000  
0xfffffa80333ef7f0 DumpIt.exe             2400   1588      3      104      0      0 2019-09-18 17:15:15 UTC+0000                                 
0xfffffa80333ad060 conhost.exe            3716    352      2       34      0      0 2019-09-18 17:15:15 UTC+0000                                 
